Date,EFM CEEC ex RU
2002-05,177.3601238084355
2002-06,162.471548220226
2002-07,154.576524859916
2002-08,166.43932462200584
2002-09,157.96876952265205
2002-10,170.2352274013151
2002-11,183.1470270086988
2002-12,184.09134570928856
2003-01,179.98035435462398
2003-02,175.1639552843416
2003-03,173.9665167154983
2003-04,193.8438779812658
2003-05,209.83098070798042
2003-06,193.75376334710674
2003-07,206.91625305779584
2003-08,225.37629114764133
2003-09,224.60713836162617
2003-10,234.03181694601625
2003-11,229.1889292090014
2003-12,252.68213043519927
2004-01,261.3689851456264
2004-02,277.01517457374786
2004-03,293.1499639699111
2004-04,286.7389887834937
2004-05,292.08365320171634
2004-06,299.1084726950219
2004-07,300.1877119216308
2004-08,312.04360287315575
2004-09,336.8727234780357
2004-10,366.8178645012574
2004-11,414.15383179331764
2004-12,451.6111382879148
2005-01,443.89856407560546
2005-02,527.3347456839132
2005-03,475.58682346151255
2005-04,439.59302151123137
2005-05,440.25660430907527
2005-06,473.4283988265761
2005-07,514.9437790402948
2005-08,551.0099188138518
2005-09,592.5124982118745
2005-10,532.785361575871
2005-11,545.253453247364
2005-12,561.4296641208489
2006-01,608.9161670315457
2006-02,617.5544698844352
2006-03,609.4434709440729
2006-04,681.3210140033269
2006-05,616.2418838624418
2006-06,604.3876520633272
2006-07,665.9207228854777
2006-08,639.5896477638988
2006-09,632.1276660404055
2006-10,690.263062527034
2006-11,752.3761470136508
2006-12,796.925082305965
2007-01,796.2706326383847
2007-02,774.7620248934097
2007-03,833.449090617751
2007-04,890.8116136229752
2007-05,901.618874339214
2007-06,958.8625765030598
2007-07,968.7047247186563
2007-08,919.5245090868181
2007-09,985.1442557654175
2007-10,1048.1516748264062
2007-11,999.9999999999997
2007-12,1009.2902440033396
2008-01,885.0842689057115
2008-02,917.2206312795612
2008-03,937.1116721702564
2008-04,936.3240420755018
2008-05,986.5634753938509
2008-06,928.2127998983414
2008-07,976.0308000486772
2008-08,860.8773932514231
2008-09,718.6989111234229
2008-10,476.80427692236935
2008-11,430.74229686457016
2008-12,446.0015116282042
2009-01,350.972475119781
2009-02,295.6655931873573
2009-03,338.67480746019015
2009-04,411.5160854472336
2009-05,465.6894363253263
2009-06,475.61885923002427
2009-07,571.3409137056718
2009-08,608.3594283414187
2009-09,622.2984454323978
2009-10,640.2391977970783
2009-11,673.7964216772708
2009-12,656.392257750682
2010-01,660.1417882337466
2010-02,629.8605285247914
2010-03,694.5594955996143
2010-04,690.6430402253443
2010-05,578.9994068218425
2010-06,539.7904812675821
2010-07,624.1125880699284
2010-08,600.2884011123948
2010-09,686.4600403699706
2010-10,710.8153848853761
2010-11,635.7509329748488
2010-12,695.8239462316465
2011-01,727.080349731998
2011-02,735.0572293666496
2011-03,769.2624065065569
2011-04,843.4795103554351
2011-05,807.2698683881184
2011-06,789.3501332607166
2011-07,761.3404350012418
2011-08,671.5714066370604
2011-09,536.0953433269623
2011-10,598.6195501189652
2011-11,548.9548313691961
2011-12,509.9517209047583
2012-01,574.4210412900145
2012-02,603.6634928582051
2012-03,592.7100917541512
2012-04,577.5060423880924
2012-05,481.9432389814932
2012-06,547.3925533730929
2012-07,541.0681059117416
2012-08,572.2860499716418
2012-09,609.8474938784857
2012-10,604.363116692456
2012-11,617.2669356792351
2012-12,655.007587640064
2013-01,649.6944774707654
2013-02,626.6853065179823
2013-03,593.1275756258904
2013-04,601.7110095994343
2013-05,614.756817667647
2013-06,573.6846827492813
2013-07,609.7455903185684
2013-08,616.0164171327032
2013-09,647.8350454927978
2013-10,687.8858770583906
2013-11,690.9112110284202
2013-12,667.982387117537
2014-01,633.2642862836946
2014-02,687.6916645035126
2014-03,677.0989959572074
2014-04,679.814029340026
2014-05,691.5623570067128
2014-06,688.1589210491708
2014-07,650.6205066450339
2014-08,661.3557306046591
2014-09,667.540465106817
2014-10,637.3057562964912
2014-11,626.1997217484869
2014-12,574.278176790947
2015-01,545.0938080245293
2015-02,561.7768842565331
2015-03,559.8215385029353
2015-04,618.8067386458571
2015-05,581.1129598239343
2015-06,564.6785889784081
2015-07,556.550674444261
2015-08,534.274636378159
2015-09,508.9901158282587
2015-10,507.7429646530521
2015-11,468.7027574765914
2015-12,466.07653609367907
2016-01,441.1528590016663
2016-02,448.24981974747095
2016-03,523.3884371656056
2016-04,498.6865530555709
2016-05,467.1561816770165
2016-06,455.3179242364515
2016-07,476.61783414151955
2016-08,480.0336361288717
2016-09,478.2650138446931
2016-10,492.7884093025443
2016-11,458.5391030336325
2016-12,489.7788150640283
2017-01,530.9373489988637
2017-02,549.4343176959117
2017-03,553.0498034445513
2017-04,600.479362
2017-05,618.68257
2017-06,627.216508
2017-07,670.05132
2017-08,708.421792
2017-09,682.978717
2017-10,703.989763
2017-11,699.951318
2017-12,725.246922
2018-01,788.408076
2018-02,723.574717
2018-03,697.335334
2018-04,700.111812487021
2018-05,628.3392547001409
2018-06,621.435815487346
2018-07,672.443152733636
2018-08,676.1996748645159
2018-09,670.8198030295115
2018-10,618.8935529449699
2018-11,659.9788703155849
2018-12,652.58586955583
2019-01,681.4679049335123
2019-02,668.9075689489782
2019-03,661.3686348570842
2019-04,669.9603801257185
2019-05,648.8139765114033
2019-06,683.3618466849068
2019-07,664.4009833325977
2019-08,617.4910345417885
2019-09,620.8695588100841
2019-10,658.4856269163298
2019-11,644.844258279897
2019-12,673.1612022584865
2020-01,634.5492709553946
2020-02,554.0684243592563
2020-03,432.8807664298284
2020-04,468.7440654855984
2020-05,505.1958301353697
2020-06,518.3496208262599
