Date,FM ex GCC
2002-05,198.04834028720396
2002-06,207.61422773077297
2002-07,195.29389943981036
2002-08,202.76270588297854
2002-09,197.26933768106508
2002-10,196.51486268873086
2002-11,210.6748478933825
2002-12,217.5518194564334
2003-01,228.17142406686358
2003-02,225.1275983134984
2003-03,222.489374294061
2003-04,236.94067712513632
2003-05,250.90547029604687
2003-06,249.6133813376114
2003-07,249.9393194383704
2003-08,252.88862632365448
2003-09,273.1911503702061
2003-10,285.86081831528094
2003-11,298.17288538514646
2003-12,314.43517010667244
2004-01,340.51653148708556
2004-02,352.5664199476656
2004-03,343.03526822861113
2004-04,375.23502640764866
2004-05,385.11539898661425
2004-06,394.9269814562302
2004-07,385.2252011888021
2004-08,366.01043188767187
2004-09,368.87115386851764
2004-10,379.854983282593
2004-11,394.1801920644484
2004-12,398.5776184819991
2005-01,392.81381831305
2005-02,397.057991781103
2005-03,375.26659257409557
2005-04,387.7871686888925
2005-05,387.12985519562704
2005-06,390.6239928625006
2005-07,409.9286304312994
2005-08,421.16537505191434
2005-09,447.13024324281474
2005-10,461.199414209737
2005-11,453.8261382421808
2005-12,479.2031087141542
2006-01,536.3507197766729
2006-02,528.3924642790488
2006-03,546.1730573772719
2006-04,577.4268539961955
2006-05,578.0374442261904
2006-06,571.9008908193811
2006-07,594.5303365231201
2006-08,651.4628848737061
2006-09,659.1017224992262
2006-10,695.859819132864
2006-11,712.4190479663691
2006-12,777.3438733478599
2007-01,813.2287691188785
2007-02,830.1594801682177
2007-03,855.4230221164851
2007-04,886.850588514766
2007-05,899.1349824419804
2007-06,949.3289960655658
2007-07,964.5147497175324
2007-08,924.9720627716556
2007-09,977.8332382663034
2007-10,983.9695351321774
2007-11,1000.0
2007-12,1049.3879782726515
2008-01,985.2912242848266
2008-02,1011.7695855119981
2008-03,978.3408285331145
2008-04,967.7255662999471
2008-05,989.1702739083902
2008-06,954.509561458069
2008-07,914.0934367630865
2008-08,829.13500618628
2008-09,712.9964712087435
2008-10,520.8645784125921
2008-11,479.676794150261
2008-12,455.84617414843166
2009-01,367.6275384091427
2009-02,361.25270537163925
2009-03,367.62371763360954
2009-04,405.42282897570567
2009-05,515.9646545056369
2009-06,513.4806620387712
2009-07,519.4377686768722
2009-08,531.2102423995465
2009-09,558.27666767124
2009-10,566.1594160074839
2009-11,558.2446209319944
2009-12,557.7282868926809
2010-01,572.1207202084538
2010-02,564.5521000897239
2010-03,606.9995068342894
2010-04,609.4398114990032
2010-05,557.8516541172432
2010-06,559.7453735003252
2010-07,587.6150970010513
2010-08,567.6018695448438
2010-09,593.9325887100056
2010-10,622.3673798160645
2010-11,624.8363913453612
2010-12,652.000455238105
2011-01,662.8887532999485
2011-02,618.5979399229401
2011-03,625.3968183702929
2011-04,632.9873094374428
2011-05,620.7923705701618
2011-06,620.0346887114378
2011-07,606.5341589050821
2011-08,557.6313818959622
2011-09,506.03236886485325
2011-10,514.7663057275953
2011-11,490.2008176699888
2011-12,481.95393149971983
2012-01,491.74804759313315
2012-02,498.9524733717673
2012-03,515.0945397585236
2012-04,509.14886297620933
2012-05,472.31871472793637
2012-06,467.8286541159779
2012-07,486.11037669785753
2012-08,503.7626997624718
2012-09,527.1202134870282
2012-10,523.3391159749899
2012-11,526.2340372294875
2012-12,562.0851033113075
2013-01,609.2328695238165
2013-02,607.9947635746267
2013-03,614.7975426814289
2013-04,620.9150586556767
2013-05,658.6582224026317
2013-06,609.8033414605162
2013-07,636.9278267303234
2013-08,618.8280840592532
2013-09,642.7355143969261
2013-10,667.018691411892
2013-11,693.1167533719785
2013-12,694.9009662436414
2014-01,668.2447832237896
2014-02,673.3832218527024
2014-03,683.9390267253362
2014-04,711.5460280086146
2014-05,742.8890051677068
2014-06,756.5732669104369
2014-07,767.9767581768825
2014-08,752.9676437629879
2014-09,760.1738355495261
2014-10,726.0437689958162
2014-11,691.6568600712714
2014-12,672.7798772329384
2015-01,631.8026846393757
2015-02,648.1693022405501
2015-03,651.9918016799448
2015-04,675.9712734071844
2015-05,655.0425285745963
2015-06,651.3406976666165
2015-07,625.8792766969284
2015-08,597.9261448272827
2015-09,576.8107332588528
2015-10,607.997837482519
2015-11,575.7370093870051
2015-12,578.8635594609199
2016-01,545.785388656009
2016-02,561.5405498270869
2016-03,576.3867755518943
2016-04,594.7637718155735
2016-05,610.6294832855941
2016-06,587.5836726774195
2016-07,593.8759085426358
2016-08,587.9503520286462
2016-09,604.8785041664624
2016-10,600.7865842055938
2016-11,580.4332053561251
2016-12,593.4245663726421
2017-01,624.2601369161299
2017-02,624.4634598116832
2017-03,646.0314677174857
2017-04,658.532093
2017-05,695.719453
2017-06,706.421926
2017-07,712.521105
2017-08,733.987667
2017-09,751.900775
2017-10,771.885658
2017-11,792.398131
2017-12,823.59436
2018-01,876.161628
2018-02,856.778044
2018-03,863.626655
2018-04,836.6190320104052
2018-05,742.1766714996943
2018-06,699.2990398977147
2018-07,716.1509892775246
2018-08,665.7464767999339
2018-09,660.4590837638427
2018-10,634.1577946013425
2018-11,650.451316504355
2018-12,626.5186157887844
2019-01,660.4351071136493
2019-02,664.6799389881188
2019-03,651.8436422715596
2019-04,642.3839029973564
2019-05,651.3707220196412
2019-06,666.5529801519235
2019-07,668.6792621011168
2019-08,662.0594776546017
2019-09,664.2070602910787
2019-10,668.7892351411525
2019-11,666.4026881725616
2019-12,679.6930479325666
2020-01,677.0108720701863
2020-02,629.6884587575289
2020-03,494.1927549747836
2020-04,533.1959490419878
2020-05,575.9388995582322
2020-06,579.1463391998304
2020-07,582.1098371938789
2020-08,624.3790562453273
2020-09,624.7768017703359
2020-10,640.5374769794341
2020-11,685.4090140674843
2020-12,730.0787723443486
2021-01,733.0245555858569
2021-02,733.8681514013034
2021-03,736.2671343134434
2021-04,788.9407609823453
2021-05,821.341154657506
2021-06,839.4566762131547
2021-07,834.7172245381247
2021-08,853.8477113883697
2021-09,860.7112865213112
2021-10,895.6956802297143
2021-11,856.5726290695917
2021-12,867.0504988855
2022-01,830.9993355108612
2022-02,785.7798070469839
2022-03,774.6324512724589
2022-04,747.06836862325
2022-05,702.0766072016222
2022-06,662.0818350746091
2022-07,662.7489212110095
2022-08,676.0153022395493
2022-09,606.4740666659742
2022-10,579.0813050259372
2022-11,610.6650247034067
2022-12,600.2595083712912
2023-01,628.9715961650709
2023-02,611.5815520132537
2023-03,617.8442142201573
2023-04,621.504672133138
2023-05,616.6739899839152
2023-06,630.6733010901577
2023-07,676.8922536673407
