Date,ACWI ex EM LATIN AMERICA
1998-12,1000.0
1999-01,1021.5689819207537
1999-02,994.3087049774755
1999-03,1037.5902492642535
1999-04,1080.5272248202766
1999-05,1042.7004847046285
1999-06,1094.7671368039257
1999-07,1090.7541517674624
1999-08,1089.8254822283484
1999-09,1077.438885126093
1999-10,1131.5806462243575
1999-11,1164.9335044415095
1999-12,1260.1890050339289
2000-01,1191.1843571738968
2000-02,1193.5438557328632
2000-03,1273.277758023515
2000-04,1217.0724065190202
2000-05,1186.4008035967854
2000-06,1225.3586943205705
2000-07,1188.5084709367916
2000-08,1225.6935504358335
2000-09,1158.0717014040063
2000-10,1134.994386011828
2000-11,1064.7896313282986
2000-12,1081.5595049363474
2001-01,1107.1037154728642
2001-02,1013.9032199667395
2001-03,945.2525155880224
2001-04,1013.8110779634305
2001-05,1001.3287230189427
2001-06,969.7879574336595
2001-07,955.1678890811016
2001-08,910.8271286237436
2001-09,828.255974497027
2001-10,845.5168549284298
2001-11,897.2739308134828
2001-12,904.614014992063
2002-01,879.3897190384921
2002-02,872.2658320871818
2002-03,911.3251638152547
2002-04,881.9211939899342
2002-05,883.3814737593688
2002-06,829.6104757182841
2002-07,760.2486241903304
2002-08,761.5180646727583
2002-09,678.1156835791959
2002-10,727.5724644526464
2002-11,767.1983917014464
2002-12,730.0332575737954
2003-01,708.5573518957444
2003-02,695.8845999033439
2003-03,692.5617403186676
2003-04,753.5077871852116
2003-05,796.9967135081137
2003-06,811.8776576462776
2003-07,829.4771369172016
2003-08,848.7561226461199
2003-09,853.7542266747585
2003-10,905.1864908008076
2003-11,918.5625357452469
2003-12,976.2123557779671
2004-01,992.7835661295655
2004-02,1010.4986066683111
2004-03,1004.5220418313513
2004-04,981.6522481200265
2004-05,989.3891957831821
2004-06,1008.8538811518575
2004-07,976.0381764641147
2004-08,981.6617978884453
2004-09,1001.5264388810094
2004-10,1025.9418169351056
2004-11,1081.563166290035
2004-12,1122.9570962542628
2005-01,1099.1035201887519
2005-02,1136.1080796365848
2005-03,1111.799103850302
2005-04,1087.3709817500703
2005-05,1107.0734806838113
2005-06,1117.8134224793841
2005-07,1158.7925533990324
2005-08,1166.9485924433711
2005-09,1200.2722799106637
2005-10,1168.3637499768208
2005-11,1210.216193804784
2005-12,1240.22109755003
2006-01,1299.1822360022518
2006-02,1297.0630869445024
2006-03,1325.2403547522879
2006-04,1368.4394476692437
2006-05,1316.610164167934
2006-06,1315.2553932918834
2006-07,1323.7783065935328
2006-08,1358.4099144014024
2006-09,1374.3150403028878
2006-10,1425.0489345039862
2006-11,1464.7082239974757
2006-12,1496.2918206527943
2007-01,1511.003406895696
2007-02,1503.5930242382879
2007-03,1532.4943100573191
2007-04,1600.2640629293348
2007-05,1645.7345658141157
2007-06,1639.9804300305998
2007-07,1614.0044375930477
2007-08,1610.388642865618
2007-09,1694.6185520479623
2007-10,1757.8941881324413
2007-11,1680.6922320060116
2007-12,1661.1440267314167
2008-01,1524.3079761682038
2008-02,1525.4578269378783
2008-03,1503.8646384987926
2008-04,1586.075936057131
2008-05,1607.4814913018715
2008-06,1475.2185841410378
2008-07,1439.5971891512365
2008-08,1411.0801785320075
2008-09,1237.4170972901088
2008-10,995.8136920420383
2008-11,930.3806122862484
2008-12,964.2128939687096
2009-01,880.2111997671126
2009-02,793.1331003696562
2009-03,857.9630733762651
2009-04,958.0713403394875
2009-05,1050.9614988601259
2009-06,1045.5537983865113
2009-07,1137.525929488762
2009-08,1178.6519171888544
2009-09,1230.3853912883756
2009-10,1210.2617602317382
2009-11,1258.4589656847277
2009-12,1284.539807286397
2010-01,1230.9081327110462
2010-02,1245.4895410996066
2010-03,1325.3666757016529
2010-04,1327.8296893363038
2010-05,1201.5843372462805
2010-06,1164.6699366632772
2010-07,1258.062123059617
2010-08,1213.5608300429137
2010-09,1329.2681979939327
2010-10,1377.4941436726092
2010-11,1347.404530351916
2010-12,1446.5306567952416
2011-01,1472.1730144769065
2011-02,1515.4914108666703
2011-03,1512.2130038396929
2011-04,1575.879335165635
2011-05,1542.282524957681
2011-06,1517.3751220462025
2011-07,1493.533209871359
2011-08,1383.5243998230915
2011-09,1256.4774240764157
2011-10,1388.6016708107836
2011-11,1348.3044564816264
2011-12,1346.1527340750033
2012-01,1421.6948604711226
2012-02,1493.1715497167193
2012-03,1504.9490562443555
2012-04,1488.9537828382583
2012-05,1357.3058421379683
2012-06,1424.7572202718613
2012-07,1444.271073111949
2012-08,1476.7887603676702
2012-09,1523.0136364358063
2012-10,1512.7465993085575
2012-11,1533.3231185806274
2012-12,1566.2607015395422
2013-01,1638.804093740067
2013-02,1639.8328706233565
2013-03,1670.6565001189047
2013-04,1719.8418338536296
2013-05,1718.1612193062165
2013-06,1670.5559127589593
2013-07,1752.8067015167414
2013-08,1716.6939056517524
2013-09,1804.0743100796847
2013-10,1876.2664058089586
2013-11,1905.3647818898332
2013-12,1939.962983442844
2014-01,1864.5547419470572
2014-02,1955.7213789732414
2014-03,1961.2891218278644
2014-04,1979.2612387387476
2014-05,2022.27993966486
2014-06,2059.419140186462
2014-07,2033.4612586935548
2014-08,2075.863730356455
2014-09,2013.340025527114
2014-10,2027.8603381421392
2014-11,2064.3444061516375
2014-12,2027.2956654031425
2015-01,1997.2332146341107
2015-02,2108.869644156405
2015-03,2078.217203143009
2015-04,2136.178378186907
2015-05,2135.816601155744
2015-06,2084.47438865011
2015-07,2105.5319142412927
2015-08,1962.273621369946
2015-09,1892.2517179924503
2015-10,2041.1783272697078
2015-11,2025.1874092418595
2015-12,1989.2637530149386
2016-01,1868.9622831364322
2016-02,1855.1228784696407
2016-03,1989.666946682564
2016-04,2017.8070998896385
2016-05,2023.5386465132099
2016-06,2008.1783209651833
2016-07,2094.3778130707315
2016-08,2101.3129098069717
2016-09,2114.6330877904625
2016-10,2075.1951342861453
2016-11,2094.7799349832717
2016-12,2140.4229102877284
2017-01,2197.475327000438
2017-02,2258.8692046909487
2017-03,2286.7291527374555
2017-04,2322.897536
2017-05,2375.750345
2017-06,2386.486637
2017-07,2451.343661
2017-08,2459.198729
2017-09,2506.84505
2017-10,2561.095735
2017-11,2612.519214
2017-12,2653.618395
2018-01,2800.506573
2018-02,2682.638925
2018-03,2624.727915
2018-04,2650.690673694861
2018-05,2659.6496592263907
2018-06,2646.113852593082
2018-07,2723.8350739447433
2018-08,2748.5746542322463
2018-09,2759.1122338771315
2018-10,2548.5088891082087
2018-11,2587.10775360001
2018-12,2402.675
2019-01,2589.9062052062127
2019-02,2661.754248533409
2019-03,2696.7001025597615
2019-04,2788.8732347546857
2019-05,2621.9033010177404
2019-06,2793.7360605591775
2019-07,2801.991571421727
2019-08,2737.9141258418945
2019-09,2795.3283487807557
2019-10,2871.1637797714643
2019-11,2943.9302081359097
2019-12,3044.95309214997
2020-01,3013.2543706532565
2020-02,2771.494730602682
2020-03,2404.890099482403
2020-04,2663.552703412103
2020-05,2778.865505866867
2020-06,2867.10768616376
2020-07,3017.1403800697058
2020-08,3205.6779197971073
2020-09,3102.878491440113
2020-10,3027.0863282318783
2020-11,3397.5544190761084
2020-12,3552.8471236482205
2021-01,3539.0563677985037
2021-02,3622.8947199136273
2021-03,3718.995218697581
2021-04,3881.836993891757
2021-05,3939.881988808692
2021-06,3991.243082
2021-07,4020.696811551802
2021-08,4121.988017392624
2021-09,3954.145282819943
2021-10,4159.588461158909
2021-11,4059.610058
2021-12,4221.397142826155
2022-01,4010.124194745287
2022-02,3903.9888398443113
2022-03,3984.608148423274
2022-04,3667.6821136530125
2022-05,3669.1421947424265
2022-06,3363.052416876389
2022-07,3598.752739200796
2022-08,3464.186695034833
2022-09,3130.4996515892226
2022-10,3318.269330898254
2022-11,3578.1737042460504
2022-12,3437.408584901852
2023-01,3682.8976865049385
2023-02,3578.5573602084323
2023-03,3689.657490159458
2023-04,3742.2574986310815
2023-05,3702.09732592858
2023-06,3914.899734839951
2023-07,4057.6431603834753
