Date,ACWI WITH BRAZIL + INDIA + RUSSIA DR
2010-02,1000.0
2010-03,1063.9941396905276
2010-04,1065.639143598717
2010-05,964.1229031789404
2010-06,934.0427985766868
2010-07,1010.3477971345726
2010-08,974.7688517122966
2010-09,1067.761451462459
2010-10,1106.451082472515
2010-11,1082.812340669154
2010-12,1162.3741387729387
2011-01,1182.4767406744368
2011-02,1217.3581860975212
2011-03,1214.7245754919927
2011-04,1265.2571128433055
2011-05,1238.113753560567
2011-06,1218.1535594501013
2011-07,1198.5032795813052
2011-08,1111.3043846281314
2011-09,1006.9324920135468
2011-10,1114.1835392906255
2011-11,1082.4108714971442
2011-12,1080.8002920270178
2012-01,1141.7190029871545
2012-02,1198.876729922138
2012-03,1208.0466457674838
2012-04,1194.8331977387718
2012-05,1088.1920359661592
2012-06,1142.1238721353593
2012-07,1157.631805574221
2012-08,1183.112138852504
2012-09,1219.722984864176
2012-10,1211.7556832676305
2012-11,1227.1697691031516
2012-12,1255.1042845101795
2013-01,1312.7671518582445
2013-02,1313.2575462868933
2013-03,1337.791458125214
2013-04,1375.9266980274595
2013-05,1372.7399503378183
2013-06,1333.6221607826137
2013-07,1398.6446209572869
2013-08,1370.2078159842883
2013-09,1440.3445713477086
2013-10,1497.632671751066
2013-11,1520.1107709718497
2013-12,1546.8170493247687
2014-01,1485.122773516586
2014-02,1557.3117321378033
2014-03,1562.5705490488026
2014-04,1577.737561290566
2014-05,1610.7761453193316
2014-06,1640.5036030389917
2014-07,1620.3970101247885
2014-08,1655.6251215075497
2014-09,1603.1768568529283
2014-10,1614.0290932230264
2014-11,1641.5848715321215
2014-12,1611.2119318280363
2015-01,1584.947396058459
2015-02,1673.8312971285143
2015-03,1648.3799238796873
2015-04,1696.7201262660005
2015-05,1694.8304605848787
2015-06,1654.010029949313
2015-07,1668.9548424963964
2015-08,1555.1888164727818
2015-09,1498.5610661638866
2015-10,1616.9893267322961
2015-11,1604.2054055220326
2015-12,1574.648678286861
2016-01,1479.8410904277725
2016-02,1469.9592421621828
2016-03,1577.698413153618
2016-04,1600.9236880709486
2016-05,1603.2837131036422
2016-06,1592.412956849812
2016-07,1660.3931154006873
2016-08,1665.9993202611277
2016-09,1676.4657818922894
2016-10,1647.1979185605496
2016-11,1661.7010223607488
2016-12,1697.6008785925615
2017-01,1743.498306438739
2017-02,1791.821115224652
2017-03,1813.4506639936058
2017-04,1841.4002608783057
2017-05,1882.7641709796524
2017-06,1891.7486676997923
2017-07,1943.2985295295236
2017-08,1950.5245240483223
2017-09,1988.918306390142
2017-10,2029.8192273916507
2017-11,2069.8623835736385
2017-12,2102.7830242125347
2018-01,2221.2641586203617
2018-02,2128.466501406684
2018-03,2083.180824580208
2018-04,2102.80134183196
2018-05,2107.114650926269
2018-06,2096.2134546174098
2018-07,2158.4215622388347
2018-08,2176.3642255888117
2018-09,2187.4048046962293
2018-10,2022.0498332281727
2018-11,2050.2527393071427
2018-12,1904.0511480019443
2019-01,2055.6098457503945
2019-02,2111.505098747817
2019-03,2137.161951381765
2019-04,2210.2357335193324
2019-05,2076.845077953628
2019-06,2214.415196111696
2019-07,2221.5298208849176
2019-08,2169.3626428919024
2019-09,2214.782554515035
2019-10,2274.432566184872
2019-11,2331.2313323734934
2019-12,2413.1725318458675
2020-01,2386.651849935381
2020-02,2194.2044229446924
2020-03,1902.4000454243505
2020-04,2105.4249740331165
2020-05,2198.0221854982033
2020-06,2267.4157852749404
2020-07,2385.638451772316
2020-08,2533.5602282185073
2020-09,2451.6268398402467
2020-10,2391.5323250727665
2020-11,2686.9598716271485
2020-12,2809.714385385515
2021-01,2798.398784920907
2021-02,2863.1403743260194
2021-03,2940.1289324691447
2021-04,3070.4029757558537
2021-05,3115.5368318302912
2021-06,3157.366989
2021-07,3179.76624930186
2021-08,3256.461058865233
2021-09,3120.576168987759
2021-10,3283.693436507422
2021-11,3204.682394
2021-12,3334.3085183935177
2022-01,3168.2943566470813
2022-02,3085.0964164442594
2022-03,3153.34185326456
2022-04,2898.4442622117895
2022-05,2903.9467779904285
2022-06,2659.4894575895482
2022-07,2844.439990043259
2022-08,2735.780497453687
2022-09,2472.3103232525136
2022-10,2622.6168436595663
2022-11,2828.5520611003135
2022-12,2717.375012086615
2023-01,2916.370855715475
2023-02,2834.0027513413183
2023-03,2922.1643778071393
2023-04,2962.4604038567927
2023-05,2928.9351452257824
2023-06,3098.5891743986185
2023-07,3212.3431040626224
