Date,ACFM EUROPE + CIS (E+C)
2002-05,421.67260412384513
2002-06,406.4602709561011
2002-07,362.59210820902337
2002-08,363.5665438866274
2002-09,315.76558029536034
2002-10,347.26473729993035
2002-11,363.96183960552776
2002-12,350.46639498123926
2003-01,333.37949609171005
2003-02,323.4660085912693
2003-03,318.42648848895266
2003-04,361.52385791583254
2003-05,384.891760567608
2003-06,388.228758611565
2003-07,394.90585500213155
2003-08,393.90457338073554
2003-09,401.98566163368605
2003-10,428.4937958356863
2003-11,446.4512056838393
2003-12,483.67823215818817
2004-01,489.0109140691025
2004-02,503.2220839203234
2004-03,487.7453522721416
2004-04,482.6547664075447
2004-05,490.27787052525565
2004-06,496.40083688174025
2004-07,483.070153274541
2004-08,484.1284269608191
2004-09,503.2967645637677
2004-10,522.0849049383861
2004-11,558.9665920121954
2004-12,582.3488268042288
2005-01,571.2378701280228
2005-02,600.4765494797145
2005-03,584.8423889929833
2005-04,570.8607419618584
2005-05,572.7391664985819
2005-06,581.2659104991434
2005-07,603.6108244684535
2005-08,613.1172546029056
2005-09,629.1812963333072
2005-10,609.8077015985169
2005-11,620.5509019165582
2005-12,642.0117712928366
2006-01,685.1881426037032
2006-02,686.5703789184055
2006-03,711.4465783293388
2006-04,748.6391199279034
2006-05,726.8781624266798
2006-06,729.6166322659429
2006-07,742.974024557058
2006-08,766.1166513173463
2006-09,769.9159291436462
2006-10,803.0129396271433
2006-11,832.0252842869058
2006-12,858.0925630422194
2007-01,861.4644762721148
2007-02,858.450707847985
2007-03,889.1065695064596
2007-04,944.832291164845
2007-05,959.8283733272527
2007-06,962.892462373788
2007-07,945.5023288166101
2007-08,933.1334762075485
2007-09,981.5911285347278
2007-10,1030.1902979481117
2007-11,1000.0000000000017
2007-12,984.801856245227
2008-01,878.6048674457182
2008-02,894.9206723590815
2008-03,897.0495603755664
2008-04,937.0524577028863
2008-05,947.4710125254664
2008-06,865.8464330237725
2008-07,838.6899957672971
2008-08,801.074923585193
2008-09,677.8815469584715
2008-10,529.2630711082289
2008-11,491.2035186667189
2008-12,515.5345894165134
2009-01,457.88142560466616
2009-02,411.8575935941811
2009-03,441.92185032595376
2009-04,505.0671121592116
2009-05,568.9914469876143
2009-06,556.2532284180484
2009-07,615.2125518221601
2009-08,653.4167287024553
2009-09,685.1603423185305
2009-10,678.5070771519854
2009-11,697.8894552553005
2009-12,709.143816727206
2010-01,669.8812648802766
2010-02,655.1373945348794
2010-03,699.023555109232
2010-04,681.2478597806735
2010-05,598.1920446106511
2010-06,592.6457477310967
2010-07,662.1196471796783
2010-08,637.8375812354695
2010-09,707.4310399081081
2010-10,738.2114117915207
2010-11,683.3843771151534
2010-12,740.755158911633
2011-01,769.2186488214181
2011-02,794.7178683367949
2011-03,790.7916697961365
2011-04,852.1627382958512
2011-05,822.4220316941951
2011-06,807.3435090062586
2011-07,781.4101781161861
2011-08,701.7096116287939
2011-09,621.6714790439382
2011-10,697.5796359558574
2011-11,666.7061195502599
2011-12,653.5137146422934
2012-01,687.4120921719534
2012-02,731.6624636599171
2012-03,725.9201290242336
2012-04,709.1097213303779
2012-05,620.124701219487
2012-06,670.4369729006696
2012-07,678.3061076893387
2012-08,707.5657816201683
2012-09,729.0991307581164
2012-10,738.9571166829289
2012-11,757.3652524709156
2012-12,780.0201985550899
2013-01,824.7727512963504
