Date,EM WITH BRAZIL ADR
2003-05,1000.0
2003-06,1061.5746974029028
2003-07,1128.2313260814085
2003-08,1200.4993462973111
2003-09,1208.909124107775
2003-10,1309.2584741017615
2003-11,1318.8434619457519
2003-12,1401.6266656431433
2004-01,1461.0460172863432
2004-02,1529.1624713003077
2004-03,1549.2854633168413
2004-04,1431.484592486758
2004-05,1402.538789672976
2004-06,1403.246976034874
2004-07,1365.8316849539963
2004-08,1419.6159741607685
2004-09,1496.1010304982374
2004-10,1532.805902581309
2004-11,1672.9384420122094
2004-12,1745.1573255857288
2005-01,1754.5269915007073
2005-02,1891.789481852778
2005-03,1770.9437750085665
2005-04,1726.343909776142
2005-05,1778.6423126584323
2005-06,1838.1477952377795
2005-07,1972.6238103960056
2005-08,1978.430525724056
2005-09,2156.475753681173
2005-10,2018.1312891059083
2005-11,2183.1620670669895
2005-12,2317.371345575295
2006-01,2572.919821102855
2006-02,2561.0240889184147
2006-03,2590.3057229745073
2006-04,2772.2547297813217
2006-05,2487.4982534591195
2006-06,2475.891179053822
2006-07,2512.2119102109164
2006-08,2575.618608746662
2006-09,2598.8465859883013
2006-10,2721.941145279283
2006-11,2924.6553049982426
2006-12,3053.0177984636357
2007-01,3021.143623837551
2007-02,3000.625152562405
2007-03,3115.835301045425
2007-04,3264.5040966092233
2007-05,3421.129020000219
2007-06,3577.627640993485
2007-07,3770.197168873525
2007-08,3695.0105335974313
2007-09,4102.976863291721
2007-10,4561.312340579601
2007-11,4235.90453669754
2007-12,4250.12370028102
2008-01,3727.092606223269
2008-02,3985.9697070129378
2008-03,3778.3993484945627
2008-04,4079.4489242380396
2008-05,4132.63412085298
2008-06,3716.790958278975
2008-07,3581.8242285102615
2008-08,3305.5058369269414
2008-09,2749.700032036074
2008-10,1993.1178108239353
2008-11,1842.2809825114616
2008-12,1996.8995645774005
2009-01,1858.0483814079262
2009-02,1751.7989851711322
2009-03,2001.9394181953835
2009-04,2329.9773088843835
2009-05,2726.6179369628335
2009-06,2689.7873791277057
2009-07,2991.7266765153895
2009-08,2973.3573990632244
2009-09,3243.33092973519
2009-10,3245.8839959353863
2009-11,3390.316020512814
2009-12,3522.2205151447406
2010-01,3324.735377393035
2010-02,3333.8558669282706
2010-03,3606.151306490406
2010-04,3648.3028569011053
2010-05,3318.478730442163
2010-06,3305.0222325049876
2010-07,3569.2782229165505
2010-08,3499.0349736920234
2010-09,3896.1211346282503
2010-10,4009.1748481416475
2010-11,3912.590457315466
2010-12,4202.8603491717895
