Date,ACWI ex BRAZIL
1998-12,1000.0
1999-01,1021.0738972472569
1999-02,994.5734208221883
1999-03,1038.815194443851
1999-04,1082.9793151246279
1999-05,1045.1331054269447
1999-06,1097.315040039133
1999-07,1092.5700863819643
1999-08,1091.3705459262155
1999-09,1079.0978524076659
1999-10,1132.9989885435186
1999-11,1167.101759567708
1999-12,1262.8477412851073
2000-01,1193.8393500528605
2000-02,1197.2722287338931
2000-03,1276.3399897051947
2000-04,1219.3840949032556
2000-05,1188.1729915140686
2000-06,1227.5725111329687
2000-07,1190.6874028727586
2000-08,1227.9038346688546
2000-09,1160.109685394224
2000-10,1137.11993509089
2000-11,1066.6226309171216
2000-12,1083.2152929221065
2001-01,1109.8775171243653
2001-02,1016.4877642040276
2001-03,947.998550188714
2001-04,1016.7476149371197
2001-05,1005.0290389988494
2001-06,973.5977682369822
2001-07,958.6044974408694
2001-08,914.4185405728576
2001-09,830.9855280485281
2001-10,848.3777852339346
2001-11,900.1561395394891
2001-12,907.9732242105785
2002-01,883.037264509701
2002-02,875.7710073869592
2002-03,915.1717290357888
2002-04,885.7406597788488
2002-05,886.717019738342
2002-06,832.615077217644
2002-07,763.0781259063083
2002-08,764.4067980842033
2002-09,680.7044944872194
2002-10,730.3304014362117
2002-11,770.0931144305428
2002-12,732.8812741090968
2003-01,711.2941304721699
2003-02,698.595329884592
2003-03,695.3151640981768
2003-04,756.6863042543457
2003-05,800.2846216456818
2003-06,815.3049661655258
2003-07,833.0602560455102
2003-08,852.3301002031151
2003-09,857.493583442063
2003-10,909.1188708489265
2003-11,922.5654569944584
2003-12,980.4266688814449
2004-01,997.2258989271267
2004-02,1015.1990399246007
2004-03,1009.351100294352
2004-04,986.1498686792902
2004-05,993.8920881210609
2004-06,1013.4509863444863
2004-07,980.6146387297199
2004-08,986.363574124079
2004-09,1006.5224705983309
2004-10,1031.1554231898892
2004-11,1087.1271877153476
2004-12,1128.883542042445
2005-01,1104.9609165896818
2005-02,1142.4700140971024
2005-03,1117.7089215504664
2005-04,1093.1713108523263
2005-05,1113.2567652620285
2005-06,1124.3293803779256
2005-07,1165.900903171348
2005-08,1174.0792800827041
2005-09,1208.2362398891344
2005-10,1175.9777699558117
2005-11,1218.372224872969
2005-12,1248.64314936085
2006-01,1308.3608287508014
2006-02,1306.2074473423552
2006-03,1334.4468752669977
2006-04,1378.1964406321938
2006-05,1325.291162675954
2006-06,1324.0985892861768
2006-07,1333.0748105824468
2006-08,1367.9665442609025
2006-09,1384.2308590075324
2006-10,1435.653869074853
2006-11,1475.8826515988442
2006-12,1508.0918362202226
2007-01,1523.0980892094774
2007-02,1515.3788805415534
2007-03,1544.9815184262934
2007-04,1613.3010594877126
2007-05,1659.9605859318347
2007-06,1654.331676587232
2007-07,1628.0772320467086
2007-08,1624.1703566010954
2007-09,1708.7654730701977
2007-10,1772.9327108564632
2007-11,1694.670209341923
2007-12,1674.91009960548
2008-01,1537.7433432300568
2008-02,1539.2895802524117
2008-03,1518.3709273382137
2008-04,1600.6218477004002
2008-05,1622.7611198520474
2008-06,1489.4126860374647
2008-07,1453.148183026096
2008-08,1423.980152561482
2008-09,1248.6986960522145
2008-10,1003.6563376606318
2008-11,938.0714386776914
2008-12,972.3116642566268
2009-01,887.6568226161478
2009-02,799.8688501693256
2009-03,865.4525496854998
2009-04,966.4637844667777
2009-05,1060.7981369769757
2009-06,1055.5273330798068
