Date,AC FAR EAST ex JAPAN ex HK
2000-12,100.00000000000001
2001-01,117.79381840125568
2001-02,110.96399310600306
2001-03,99.05411471283507
2001-04,99.59080889858555
2001-05,99.2262185085236
2001-06,98.30106134941816
2001-07,93.26830272065504
2001-08,93.60074365851926
2001-09,78.55496509687393
2001-10,83.03397897493231
2001-11,94.66497100686347
2001-12,104.51145236233373
2002-01,110.7650252501228
2002-02,112.41289063123115
2002-03,120.97773975993329
2002-04,121.27783341701397
2002-05,119.67170934798376
2002-06,113.43181171208606
2002-07,109.39369453803057
2002-08,107.77353595032217
2002-09,94.2888656368189
2002-10,99.81788819428466
2002-11,104.52025566577834
2002-12,97.51995448725802
2003-01,98.83938000067104
2003-02,93.46687342733279
2003-03,89.33722637934467
2003-04,93.56120278334454
2003-05,101.70561228027412
2003-06,108.84096996822464
2003-07,118.7778008821462
2003-08,125.95861759443233
2003-09,124.81758350537757
2003-10,136.86134118876822
2003-11,134.4477456649452
2003-12,142.6377707402667
2004-01,151.07225092691976
2004-02,156.84110690575827
2004-03,155.3561002872811
2004-04,145.93602862331386
2004-05,141.55183233671778
2004-06,139.8186470033197
2004-07,134.5689093214234
2004-08,140.90898994809064
2004-09,146.5508657855943
2004-10,147.4634095300299
2004-11,159.95520677632612
2004-12,164.4576994217772
2005-01,167.82068339086112
2005-02,178.5245814740599
2005-03,169.57155649850893
2005-04,165.8644855143832
2005-05,170.70801134941905
2005-06,174.152661329561
2005-07,185.82316942789052
2005-08,178.9087229803898
2005-09,188.71119779164889
2005-10,176.98086782322164
2005-11,191.28111736068826
2005-12,204.36703270924045
2006-01,219.77007907344864
2006-02,218.99459419556317
2006-03,221.2284530915997
2006-04,237.6929057239357
2006-05,221.19809752765534
2006-06,219.43505757157106
2006-07,218.9713867146316
2006-08,225.08582660285708
2006-09,232.77300521404086
2006-10,239.20516389732595
2006-11,259.21314697940454
2006-12,269.7973211541033
2007-01,263.90309286672397
2007-02,267.6670823273919
2007-03,273.7968064022806
2007-04,284.49742333138187
2007-05,302.45657894112594
2007-06,321.0589746335626
2007-07,344.79580592463697
2007-08,340.1402949805366
2007-09,378.0482283790712
2007-10,415.17565992617835
2007-11,372.5208532801084
2007-12,366.19129308641067
2008-01,314.13586158190066
2008-02,341.39812622692
2008-03,323.82096440365035
2008-04,348.9775271204293
2008-05,339.3953442490332
2008-06,301.6701288181604
2008-07,296.5740566859689
2008-08,273.1990555598016
2008-09,228.96430292350638
2008-10,174.034297889392
2008-11,163.1507972238482
2008-12,181.47238071434467
2009-01,169.0538838737064
2009-02,158.33881679379695
2009-03,183.22954011262746
2009-04,213.3006784041886
2009-05,241.67753218281572
2009-06,241.55164046964688
2009-07,274.07598839919376
2009-08,265.9527290606853
2009-09,288.90014863543695
2009-10,287.4229246486889
2009-11,294.6107698179044
2009-12,308.72757262919606
2010-01,289.9884337313095
2010-02,289.7324204889494
2010-03,310.5771628448465
2010-04,319.01062082579574
2010-05,291.20271604321226
2010-06,294.51685010427684
2010-07,313.7768992609423
2010-08,309.38968599862847
2010-09,341.0751485389268
2010-10,350.755737452786
2010-11,346.55074231061354
2010-12,367.29730763736706
2011-01,368.7189887246715
2011-02,353.13935195740885
2011-03,375.7841281708061
2011-04,393.11790409672676
2011-05,388.24535321836754
