Date,ACWI ex IRELAND
1998-12,1000.0
1999-01,1019.7461473074301
1999-02,993.5308198069878
1999-03,1038.8930588821506
1999-04,1083.4338035089495
1999-05,1045.7468478964115
1999-06,1098.0711784164646
1999-07,1092.777344966832
1999-08,1091.4787737292147
1999-09,1079.5076268979371
1999-10,1133.5557951832232
1999-11,1168.3866259294157
1999-12,1265.3066117768117
2000-01,1196.2244019778964
2000-02,1199.9715714602191
2000-03,1279.0470706268227
2000-04,1221.516618562042
2000-05,1190.371759274681
2000-06,1230.4534564200815
2000-07,1193.6614544283702
2000-08,1230.9808190926383
2000-09,1162.7207028730568
2000-10,1139.2707533152247
2000-11,1068.2828540815358
2000-12,1085.3880873081157
2001-01,1112.7546381146547
2001-02,1018.7682201245527
2001-03,949.888444066599
2001-04,1018.7583811121232
2001-05,1006.6741256468614
2001-06,975.0976811536858
2001-07,959.8297637362174
2001-08,915.3366654587587
2001-09,831.5972075556427
2001-10,849.1241138679999
2001-11,901.1246213617799
2001-12,909.256389365781
2002-01,884.4805811047589
2002-02,877.9162610506643
2002-03,917.1946503675825
2002-04,887.6649660785299
2002-05,888.2395548155747
2002-06,833.6823994977551
2002-07,763.6898942905084
2002-08,765.2774405824638
2002-09,681.15588044986
2002-10,731.0091982527257
2002-11,770.7634005694084
2002-12,733.8162215528768
2003-01,712.0673791109924
2003-02,699.3414981889048
2003-03,696.2018911185232
2003-04,757.8508605374249
2003-05,801.4928009801149
2003-06,816.5694712817584
2003-07,834.4909117591512
2003-08,854.0190252943127
2003-09,859.1839316292458
2003-10,911.1322053722942
2003-11,924.7505197395639
2003-12,983.0337898465408
2004-01,999.5796692763374
2004-02,1017.7519763462252
2004-03,1011.8060399214859
2004-04,987.9383117590925
2004-05,995.6035650817946
2004-06,1015.1948702055138
2004-07,982.7201307466871
2004-08,988.6164644796761
2004-09,1009.0492507631457
2004-10,1033.671251327439
2004-11,1089.918951721435
2004-12,1131.969262952956
2005-01,1107.977736559495
2005-02,1146.6031164207998
2005-03,1121.5236102611827
2005-04,1096.7949719136338
2005-05,1117.260478153483
2005-06,1128.4595433001014
2005-07,1170.2119907839804
2005-08,1179.1791890920565
2005-09,1214.777456246754
2005-10,1182.13332684404
2005-11,1225.196182631234
2005-12,1255.1650797796576
2006-01,1316.8866379399824
2006-02,1314.8090802662846
2006-03,1342.3461372446188
2006-04,1387.0302159512842
2006-05,1332.2384268075805
2006-06,1331.7321500827925
2006-07,1340.8604095212756
2006-08,1375.3527591613122
2006-09,1391.3904375606603
2006-10,1443.559749574543
2006-11,1484.3003291257312
2006-12,1517.0952248970966
2007-01,1532.5316816736972
2007-02,1524.233747999662
2007-03,1554.891106608448
2007-04,1623.9930060938555
2007-05,1672.1768072017906
2007-06,1667.4954954814004
2007-07,1642.4259307609302
2007-08,1637.982444319437
2007-09,1726.3550121343953
2007-10,1793.7879912120636
2007-11,1714.7020788492948
2007-12,1695.9261102947175
2008-01,1556.6961920965025
2008-02,1561.1736156026382
2008-03,1538.1346318884825
2008-04,1624.1364071547353
2008-05,1649.801951899327
2008-06,1514.6401103313344
2008-07,1475.940320828632
2008-08,1444.143682005651
2008-09,1264.0517172052264
2008-10,1013.6581761332901
2008-11,947.2614864779823
2008-12,981.696806939251
2009-01,897.7888536591408
2009-02,809.9086365465195
2009-03,876.6023324991368
2009-04,980.0530457724379
2009-05,1077.8710944576253
2009-06,1071.8861477785745
2009-07,1166.2864669931103
2009-08,1207.9717561595298
2009-09,1263.3456641699838
2009-10,1243.9690640516833
2009-11,1295.1309372368335
2009-12,1321.9053531029876
2010-01,1264.7903444100764
2010-02,1280.968710886936
2010-03,1363.3452924016556
2010-04,1365.532161002363
2010-05,1236.2284260093268
2010-06,1198.2138531649448
2010-07,1295.7221004573107
2010-08,1250.5977363419777
2010-09,1370.27424891768
2010-10,1419.8160302589936
2010-11,1388.3050892619242
2010-12,1489.8896504350394
2011-01,1513.2598994971052
2011-02,1557.2818605422813
2011-03,1555.72088207437
2011-04,1619.2690373018581
2011-05,1584.538178669551
2011-06,1559.4879696322032
2011-07,1534.1878344861782
2011-08,1422.1011660807656
2011-09,1287.821853085705
2011-10,1425.7788166951188
2011-11,1383.0248888187218
2011-12,1380.1365081133567
2012-01,1460.4793435271167
2012-02,1533.9474953176707
2012-03,1544.079973431807
2012-04,1526.438944433591
2012-05,1389.584182911039
2012-06,1458.1829443027916
2012-07,1478.2585516724366
2012-08,1510.4434491339503
2012-09,1557.9887728401561
2012-10,1547.5970632190827
2012-11,1567.4423349066756
2012-12,1602.893917130828
2013-01,1676.7366752401467
2013-02,1676.4128979407346
2013-03,1707.0264990200983
2013-04,1755.8642992269072
2013-05,1751.0570891960265
2013-06,1699.8553842605806
2013-07,1781.1827584914627
2013-08,1743.932852827232
2013-09,1834.033206241255
2013-10,1907.6670214394487
2013-11,1934.6094974033017
2013-12,1968.0454976146068
2014-01,1889.1727126189535
2014-02,1980.1243943807356
2014-03,1989.1225545933205
2014-04,2008.0558410622878
2014-05,2050.9116114981384
2014-06,2089.720810475536
2014-07,2064.428878929981
2014-08,2110.01073196208
2014-09,2041.5725368271278
2014-10,2056.017683306319
2014-11,2090.2865700731613
2014-12,2049.966255960886
2015-01,2017.9771476956435
2015-02,2130.1366296694705
2015-03,2097.2204222323394
2015-04,2157.9862052055864
2015-05,2155.1627532709076
2015-06,2104.316466233676
2015-07,2122.4884684499552
2015-08,1976.846577702877
2015-09,1905.2898643152118
2015-10,2054.926941059449
2015-11,2037.859480245666
2015-12,2001.0554758295764
2016-01,1880.4137156666536
2016-02,1867.4818504361067
2016-03,2005.9730626701244
2016-04,2035.6480674570362
2016-05,2038.1426713373578
2016-06,2026.1773579755343
2016-07,2113.5068042794646
2016-08,2120.4502046752273
2016-09,2133.5372674909518
2016-10,2097.446224126353
2016-11,2113.371198621428
2016-12,2158.949521524217
2017-01,2218.056337416837
2017-02,2280.3820496252765
2017-03,2308.1989204986403
2017-04,2344.103079
2017-05,2395.877552
2017-06,2406.850062
2017-07,2474.195751
2017-08,2483.717334
2017-09,2531.543027
2017-10,2584.173051
2017-11,2634.334643
2017-12,2676.680124
2018-01,2827.820101
2018-02,2709.180619
2018-03,2651.152765
2018-04,2676.412091409774
2018-05,2679.6245833045987
2018-06,2665.26000295531
2018-07,2745.7816451263734
2018-08,2767.476418725176
2018-09,2779.7064915713004
2018-10,2571.4269078812395
2018-11,2609.330240544526
2018-12,2425.456746
2019-01,2617.079369040581
2019-02,2686.9446425129763
2019-03,2720.7896507443866
2019-04,2812.524264513821
2019-05,2645.671737391794
2019-06,2819.0084808976017
2019-07,2827.351277096183
2019-08,2760.273051165917
2019-09,2818.301554221837
2019-10,2895.234569280926
2019-11,2965.7489515694983
2019-12,3070.140687454964
2020-01,3036.4042494300893
2020-02,2791.110114246087
2020-03,2414.429090200551
2020-04,2673.16022963704
2020-05,2789.2798950817973
2020-06,2878.4241095722277
2020-07,3030.479621539566
2020-08,3215.9469375104736
2020-09,3112.1209122556124
2020-10,3036.3732005690044
2020-11,3410.7834083809694
2020-12,3569.216093809387
2021-01,3553.1990542356702
2021-02,3635.6112782505606
2021-03,3732.3283220382395
