Date,AC FAR EAST ex JAPAN
2000-12,100.0
2001-01,113.43238783704534
2001-02,107.91711308451154
2001-03,96.39284785952152
2001-04,96.76491509421061
2001-05,96.21203712593484
2001-06,94.16888965649036
2001-07,90.55317830031746
2001-08,89.10117118873185
2001-09,74.92622527236986
2001-10,78.77100045447972
2001-11,89.63665095063753
2001-12,97.75748310918566
2002-01,101.76148722099674
2002-02,102.02059452243584
2002-03,109.44618266604834
2002-04,110.99864465874178
2002-05,108.84072825592445
2002-06,102.96562217541634
2002-07,99.17290615513873
2002-08,96.97610010062233
2002-09,85.95133186227677
2002-10,90.5600616152219
2002-11,95.13143061920061
2002-12,88.59404076665959
2003-01,89.64216610503041
2003-02,85.58525940462191
2003-03,81.661639366692
2003-04,84.64290490313442
2003-05,91.98001164977498
2003-06,97.30991930297506
2003-07,105.6379930943091
2003-08,113.3675049203026
2003-09,113.88934907145976
2003-10,123.53502955033407
2003-11,121.67379642965089
2003-12,128.03395824442987
2004-01,136.6061962167286
2004-02,141.65510348335636
2004-03,138.81567237955073
2004-04,130.73561833751185
2004-05,127.68889280239789
2004-06,126.43278733135688
2004-07,122.98408861022205
2004-08,129.39540467904322
2004-09,133.946383920858
2004-10,134.51090293922906
2004-11,146.08316873337168
2004-12,150.04822671272314
2005-01,151.26705360178462
2005-02,160.04428867449008
2005-03,152.52345555090452
2005-04,151.0204987571798
2005-05,154.60812552648025
2005-06,158.1474348041438
2005-07,168.4708747331425
2005-08,163.00615789305454
2005-09,171.25174637207198
2005-10,160.51563652470557
2005-11,171.99467460145965
2005-12,182.05360486226724
2006-01,195.15439032331125
2006-02,194.63218220270429
2006-03,196.73093426656632
2006-04,210.79695965637984
2006-05,196.5982119256263
2006-06,195.36583145149854
2006-07,195.55938732049603
2006-08,201.25765131416742
2006-09,207.3241785210774
2006-10,212.75798054852243
2006-11,229.67918460951685
2006-12,239.84229174586176
2007-01,236.02115013720186
2007-02,237.86315278367618
2007-03,243.0395068283969
2007-04,251.93731458634898
2007-05,266.16766875829086
2007-06,280.75777313099735
2007-07,301.3581879001604
2007-08,298.04355928924275
2007-09,332.9623513658756
2007-10,366.20933259225336
2007-11,332.05364665732156
2007-12,327.3718238844307
2008-01,282.14381554279106
2008-02,301.7115690967144
2008-03,285.7596392308141
2008-04,308.11584308759757
2008-05,300.6271234890583
2008-06,267.39627239098274
2008-07,262.9629811615399
2008-08,243.2018949359696
2008-09,203.4050685656972
2008-10,155.41124137483118
2008-11,146.9820731213575
2008-12,161.84374034302132
2009-01,152.4478034962224
2009-02,143.12734656349997
2009-03,163.11788464410415
2009-04,189.9886244314288
2009-05,216.49790643094147
2009-06,215.93008844793877
2009-07,245.09394657086153
2009-08,236.48274498404712
2009-09,256.7657223426113
2009-10,256.50925135436796
2009-11,261.67347080106566
2009-12,273.32836526141983
2010-01,256.5663943657843
2010-02,257.58373318190525
2010-03,275.58008647532756
2010-04,281.3258667383142
2010-05,257.58492443079376
2010-06,261.0998449757821
2010-07,277.94675511225876
2010-08,274.8699713204865
2010-09,304.2721750954745
2010-10,312.66983117619196
2010-11,310.1336784474781
2010-12,326.4743374912949
2011-01,328.28562257930645
2011-02,314.8084336523618
2011-03,332.874226119612
2011-04,347.3436614754722
2011-05,343.8031231458119
2011-06,334.27693536227787
2011-07,339.42521629809687
2011-08,306.7783400727196
2011-09,264.1583259725224
2011-10,296.9314603555202
2011-11,274.78635174435254
2011-12,278.2203587258332
2012-01,305.4920570584498
2012-02,324.18217805611414
2012-03,314.7082784945896
2012-04,316.3149759943162
2012-05,286.62732772320066
2012-06,294.1117849257814
2012-07,302.64005640430145
2012-08,300.60990561170934
2012-09,319.5700796193278
2012-10,319.8679301550406
2012-11,328.16568217773755
2012-12,339.4800080655174
2013-01,344.01139298236615
2013-02,346.146941983826
2013-03,338.59668436757954
2013-04,343.7651870023812
2013-05,339.95199715929255
2013-06,320.7966059155264
2013-07,328.05835767642924
2013-08,325.81695826524253
2013-09,342.519375082721
2013-10,355.77399245570564
2013-11,357.4832259864955
2013-12,352.25156041120204
2014-01,334.23790746937334
2014-02,345.80463240715903
2014-03,346.9451789772753
2014-04,350.0399729304215
2014-05,362.3850205801165
2014-06,370.24779523083436
2014-07,385.1238572865558
2014-08,387.0616297515616
2014-09,362.6879100664686
2014-10,369.04809408862917
2014-11,369.7108598026323
2014-12,363.3841459132921
2015-01,370.5961408541523
2015-02,377.62037316760274
2015-03,380.96285259570254
2015-04,413.6681887024009
2015-05,400.9605603726029
2015-06,384.5411727810307
2015-07,357.00284466656717
2015-08,321.523946450631
2015-09,315.0211729320321
2015-10,342.4637736017383
2015-11,331.42068229579365
2015-12,328.8099070675036
2016-01,303.41445969599
2016-02,302.7775097843693
2016-03,336.1986884699242
2016-04,332.7006065598166
2016-05,327.12164320942185
2016-06,336.34619878184213
2016-07,352.34318427379554
2016-08,365.0755011273168
2016-09,372.0683951383315
2016-10,366.0108500843564
2016-11,357.3197318429415
2016-12,349.238706142317
2017-01,371.60163739870967
2017-02,383.1723281900407
2017-03,394.5437226542721
2017-04,403.241261
2017-05,421.971015
2017-06,429.899047
2017-07,451.831513
2017-08,459.035696
2017-09,460.323851
2017-10,480.790374
2017-11,484.547919
2017-12,496.472613
2018-01,536.326488
2018-02,510.596673
2018-03,503.991552
2018-04,505.81479057223976
2018-05,500.40149733707426
2018-06,474.4421016507536
2018-07,475.5037560080167
2018-08,469.57833600229833
2018-09,467.33848005489364
2018-10,414.68458011856643
2018-11,434.3904782125492
2018-12,421.32168410879353
2019-01,456.8165287178164
2019-02,467.39063035419224
2019-03,471.6647029280974
2019-04,481.3772840462898
2019-05,435.4400826097259
2019-06,467.8726359226683
2019-07,461.4975476182276
2019-08,440.5384192292063
2019-09,447.15192321432266
2019-10,467.5983523797015
2019-11,469.16369213796827
2019-12,503.2562476491564
2020-01,478.7623485734548
2020-02,467.52424394949185
2020-03,418.02662695915103
2020-04,452.6352777116794
2020-05,448.12156127248
2020-06,486.34897361307895
2020-07,526.7601859650114
2020-08,545.4859354452042
2020-09,536.1505424483873
2020-10,552.0374762703361
2020-11,596.0837615229059
2020-12,634.3146838548072
2021-01,664.9721300782194
2021-02,670.3539036517847
2021-03,649.611457754099
2021-04,668.4131857819642
2021-05,670.7124005952803
2021-06,670.4115332491077
2021-07,612.9996730904807
2021-08,619.5540966888577
2021-09,589.1549716898929
2021-10,599.2022891183215
2021-11,575.232328
2021-12,580.901870907206
2022-01,561.2061687853286
2022-02,549.6184704092026
2022-03,528.6523696195874
2022-04,498.1026346606149
2022-05,506.1550557847945
2022-06,485.354420174775
2022-07,471.01743766400574
2022-08,467.36392803869785
2022-09,401.9174179550859
2022-10,370.0123865658549
2022-11,451.5017314462394
2022-12,455.60103880435884
2023-01,502.9535226025102
2023-02,466.722178411193
2023-03,484.86023352340203
2023-04,469.6035342193402
2023-05,456.9032431839431
2023-06,467.52633938680935
2023-07,499.13978218639494
