Date,NEXT 11 ex IRAN
2002-05,1000.0
2002-06,946.3117038855625
2002-07,907.8342817345875
2002-08,914.8137514453186
2002-09,796.5370656618625
2002-10,833.0704764560311
2002-11,925.9516828678653
2002-12,829.5548488503813
2003-01,793.1901708637309
2003-02,763.2146404579192
2003-03,708.2314238994688
2003-04,812.4798624967123
2003-05,854.0360674570429
2003-06,912.2489205326987
2003-07,983.5395572750962
2003-08,1023.7569336708042
2003-09,994.8716830524227
2003-10,1081.5918072501413
2003-11,1081.5460056857962
2003-12,1123.094527173092
2004-01,1236.0264640061557
2004-02,1286.9011087742747
2004-03,1333.172845243532
2004-04,1263.0413558404582
2004-05,1205.494438092935
2004-06,1197.0306404967046
2004-07,1135.2009796440789
2004-08,1203.5871690111712
2004-09,1261.0969458955199
2004-10,1303.3355715176856
2004-11,1421.7056289534255
2004-12,1488.9502787157403
2005-01,1576.6237925590904
2005-02,1716.9059806648663
2005-03,1601.7915910061713
2005-04,1537.9900672362858
2005-05,1632.474892165905
2005-06,1663.4102539484904
2005-07,1842.3741016395338
2005-08,1784.975527238418
2005-09,1987.4649508960533
2005-10,1891.5988691093146
2005-11,2088.810045145508
2005-12,2276.589328567372
2006-01,2489.1201086247015
2006-02,2434.18838338498
2006-03,2409.72882909891
2006-04,2570.5183230419793
2006-05,2320.4868342877485
2006-06,2295.7897474033266
2006-07,2355.2162888735656
2006-08,2439.2183182068634
2006-09,2514.1858035269906
2006-10,2559.989011146302
2006-11,2674.0556660368647
2006-12,2727.4898846694978
2007-01,2680.6797319903158
2007-02,2723.2611370406557
2007-03,2838.266725761556
2007-04,2976.466990343626
2007-05,3231.081986155182
2007-06,3294.912586169215
2007-07,3523.2617003892606
2007-08,3372.199418733624
2007-09,3613.4657523820097
2007-10,3880.7326248634936
2007-11,3614.1746533426763
2007-12,3600.3362234904002
2008-01,3225.616525888203
2008-02,3365.2264779367874
2008-03,3243.6048077595246
2008-04,3372.3258755170637
2008-05,3372.2251609356754
2008-06,3018.3515462708187
2008-07,3005.254774236247
2008-08,2694.706786583242
2008-09,2375.7025070780055
2008-10,1691.930088878925
2008-11,1482.0301062972267
2008-12,1675.8173988392605
2009-01,1543.2453328120444
2009-02,1321.135115563621
2009-03,1589.228064652151
2009-04,1915.910766023015
2009-05,2088.1051384815546
2009-06,2091.489326794663
2009-07,2437.612987358248
2009-08,2492.8643676929305
2009-09,2708.676143099691
2009-10,2599.589149183473
2009-11,2646.1834996197413
2009-12,2838.927235523587
2010-01,2744.6159936207564
2010-02,2728.38602999073
2010-03,2999.164505719992
2010-04,3138.770921133489
2010-05,2794.5310248647647
2010-06,2809.6699123067056
2010-07,3018.0104553722863
2010-08,2933.3819338708913
2010-09,3279.6876230127455
2010-10,3386.629524160656
2010-11,3340.1600081867027
2010-12,3606.3435209906584
2011-01,3560.153161630423
2011-02,3431.4952301747903
2011-03,3739.8699580892385
2011-04,3942.606170088496
2011-05,3809.812263791701
2011-06,3777.863587355254
2011-07,3834.3219919395797
2011-08,3417.209690655048
2011-09,3011.154767112977
2011-10,3387.2330385055325
2011-11,3203.971644563648
2011-12,3154.538769073197
2012-01,3453.6489447866925
2012-02,3596.337509027213
2012-03,3624.23337950677
2012-04,3623.311300698061
2012-05,3224.9267790487042
2012-06,3408.1913127285843
2012-07,3531.562905095709
2012-08,3500.0120349377125
2012-09,3716.9594669123617
2012-10,3689.9076247196276
2012-11,3744.962029105807
2012-12,3922.4935855762296
2013-01,3910.400174656208
2013-02,4039.5675420907323
2013-03,3997.6695466659503
2013-04,3947.8956520705296
2013-05,3888.7772183897227
2013-06,3600.1197460509284
2013-07,3656.2952338737714
2013-08,3568.0958389156
2013-09,3754.8604227751116
2013-10,3943.583203673716
2013-11,3933.9474294603697
2013-12,3859.8800084563736
2014-01,3665.729036212346
2014-02,3761.237485918834
2014-03,3856.6080272230815
2014-04,3930.3899192834765
2014-05,4072.5394436144306
2014-06,4108.778319543985
2014-07,4210.298031907962
2014-08,4221.840801466476
2014-09,3950.4085426395504
2014-10,3888.7202617345074
2014-11,3814.156752043338
2014-12,3686.8165105044973
2015-01,3694.9168279020037
2015-02,3739.005205484272
2015-03,3739.110625145279
2015-04,3852.649187759677
2015-05,3731.4547501421994
2015-06,3602.43882958692
2015-07,3383.2116107483325
2015-08,3161.8161869507826
2015-09,3124.3497109908403
2015-10,3435.566377717136
2015-11,3315.956592227862
2015-12,3262.218565078333
2016-01,3120.2120197006616
2016-02,3109.050831919091
2016-03,3483.064643320802
2016-04,3477.583934925659
