Date,NORTH AMERICA
1969-12,100.0
1970-01,93.555738
1970-02,98.581283
1970-03,99.154641
1970-04,90.433713
1970-05,85.092558
1970-06,82.188946
1970-07,88.154078
1970-08,91.674566
1970-09,94.915443
1970-10,94.116156
1970-11,99.061395
1970-12,104.416184
1971-01,109.006465
1971-02,110.046183
1971-03,114.43415
1971-04,118.337253
1971-05,113.876029
1971-06,114.513671
1971-07,110.789338
1971-08,115.219412
1971-09,113.776728
1971-10,109.569228
1971-11,110.029911
1971-12,117.149816
1972-01,119.714343
1972-02,123.056406
1972-03,124.849346
1972-04,125.058147
1972-05,125.356739
1972-06,123.476309
1972-07,122.874576
1972-08,127.533956
1972-09,127.802973
1972-10,129.178328
1972-11,134.084305
1972-12,136.511875
1973-01,133.732649
1973-02,127.958565
1973-03,126.627547
1973-04,121.873218
1973-05,119.777821
1973-06,120.124785
1973-07,124.809992
1973-08,120.914227
1973-09,125.122797
1973-10,126.137775
1973-11,113.141627
1973-12,114.932088
1974-01,113.607167
1974-02,113.964681
1974-03,111.230352
1974-04,106.80453
1974-05,103.097089
1974-06,101.304
1974-07,94.191032
1974-08,85.885186
1974-09,76.308544
1974-10,88.859982
1974-11,84.61297
1974-12,83.250975
1975-01,93.575357
1975-02,98.919132
1975-03,100.814772
1975-04,104.790488
1975-05,109.170286
1975-06,113.98574
1975-07,107.233342
1975-08,105.012962
1975-09,101.468474
1975-10,107.364138
1975-11,110.802889
1975-12,109.610014
1976-01,121.996086
1976-02,121.302922
1976-03,125.500219
1976-04,124.363371
1976-05,123.012941
1976-06,127.677473
1976-07,126.818265
1976-08,126.488781
1976-09,127.69377
1976-10,124.165778
1976-11,123.140952
1976-12,130.507486
1977-01,123.943756
1977-02,121.641115
1977-03,120.489196
1977-04,120.570094
1977-05,118.316879
1977-06,123.663536
1977-07,122.230193
1977-08,119.83713
1977-09,119.961641
1977-10,115.355853
1977-11,118.385548
1977-12,119.637543
1978-01,113.519734
1978-02,111.890522
1978-03,114.736349
1978-04,124.997023
1978-05,126.10156
1978-06,124.87154
1978-07,131.858229
1978-08,135.123631
1978-09,135.216619
1978-10,125.47615
1978-11,128.179849
1978-12,131.797612
1979-01,140.544133
1979-02,139.288573
1979-03,150.247249
1979-04,150.746155
1979-05,148.024719
1979-06,153.567699
1979-07,154.33262
1979-08,162.539881
1979-09,162.986593
1979-10,151.583606
1979-11,158.459129
1979-12,161.523133
1980-01,172.128278
1980-02,172.573036
1980-03,154.602759
1980-04,160.794066
1980-05,169.035388
1980-06,174.736578
1980-07,185.393682
1980-08,186.655886
1980-09,190.297026
1980-10,193.923725
1980-11,212.706156
1980-12,205.061041
1981-01,197.925792
1981-02,200.936287
1981-03,207.960109
1981-04,203.842869
1981-05,203.522568
1981-06,202.701432
1981-07,202.409347
1981-08,191.588339
1981-09,180.746933
1981-10,188.197205
1981-11,197.346399
1981-12,191.596083
1982-01,187.833232
1982-02,177.157582
1982-03,175.271052
1982-04,181.940458
1982-05,175.715795
1982-06,171.998752
1982-07,169.404954
1982-08,190.23378
1982-09,192.304305
1982-10,213.406988
1982-11,221.093384
1982-12,225.727246
1983-01,234.416473
1983-02,239.380013
1983-03,247.276689
1983-04,266.89705
1983-05,263.295427
1983-06,272.982547
1983-07,264.676101
1983-08,269.509698
1983-09,272.872581
1983-10,268.610134
1983-11,275.351089
1983-12,273.770705
1984-01,269.867005
1984-02,259.134763
1984-03,262.640242
1984-04,264.35151
1984-05,249.54473
1984-06,253.878696
1984-07,251.289823
1984-08,278.993278
1984-09,278.998877
1984-10,279.643514
1984-11,276.87538
1984-12,283.3352
1985-01,305.756441
1985-02,307.959466
1985-03,308.987269
1985-04,308.175628
1985-05,326.220711
1985-06,330.221597
1985-07,330.080194
1985-08,326.850597
1985-09,315.509881
1985-10,328.908655
1985-11,351.356074
1985-12,367.994852
1986-01,368.985046
1986-02,395.027
1986-03,417.532
1986-04,412.218
1986-05,431.277994
1986-06,435.579927
1986-07,412.298443
1986-08,441.628592
1986-09,405.852438
1986-10,427.667655
1986-11,437.089742
1986-12,426.930154
1987-01,483.526312
1987-02,501.154718
1987-03,516.6281
1987-04,511.305954
1987-05,513.732865
1987-06,539.394566
1987-07,566.577236
1987-08,587.606568
1987-09,575.453223
1987-10,451.683431
1987-11,413.583178
1987-12,442.312892
1988-01,459.07831
1988-02,478.642291
1988-03,464.865938
1988-04,468.961293
1988-05,470.909745
1988-06,493.749184
1988-07,491.177262
1988-08,473.54904
1988-09,492.574635
1988-10,507.335106
1988-11,499.509078
1988-12,507.718288
1989-01,546.154726
1989-02,529.249468
1989-03,540.246371
1989-04,567.964878
1989-05,588.04675
1989-06,586.611149
1989-07,639.232618
1989-08,648.44529
1989-09,645.865115
1989-10,631.912292
1989-11,643.938
1989-12,657.829963
1990-01,613.203021
1990-02,621.191888
1990-03,634.668209
1990-04,618.564395
1990-05,674.392055
1990-06,671.395837
1990-07,670.938086
1990-08,611.04418
1990-09,582.295551
1990-10,578.758241
1990-11,614.578365
1990-12,631.836549
1991-01,659.223888
1991-02,704.171236
1991-03,719.530354
1991-04,722.188426
1991-05,751.398208
1991-06,717.573584
1991-07,749.082278
1991-08,766.06598
1991-09,752.063177
1991-10,765.90126
1991-11,735.253351
1991-12,812.8561649999999
1992-01,800.3472339
1992-02,807.9103951999999
1992-03,790.5259016
1992-04,810.956096
1992-05,813.7697716
1992-06,801.7080744
1992-07,833.6275241999999
1992-08,813.1891647
1992-09,817.224881
1992-10,822.5136936
1992-11,845.5754519999999
1992-12,855.0194882999999
1993-01,860.6762729999999
1993-02,873.361377
1993-03,891.0752669999999
1993-04,873.670859
1993-05,894.868618
1993-06,896.5456829999999
1993-07,894.6869019999999
1993-08,924.951203
1993-09,913.2389109999999
1993-10,932.4858927471172
1993-11,924.7506507245798
1993-12,937.2250174674928
1994-01,972.3068469705217
1994-02,943.1628170602543
1994-03,901.7855461755709
1994-04,912.6984765890728
1994-05,927.1158490389874
1994-06,898.560969164656
1994-07,929.0478013638402
1994-08,966.0516949964928
1994-09,947.5802266769
1994-10,966.8467490156446
1994-11,932.1647251302529
1994-12,945.5144712237146
1995-01,966.8364143578884
1995-02,1005.3267566336345
1995-03,1032.6923491392618
1995-04,1063.8761713409015
1995-05,1105.1300509302628
1995-06,1131.427055382777
1995-07,1168.408443359696
1995-08,1168.0922673665907
1995-09,1216.932162571079
1995-10,1215.4196829855896
1995-11,1267.9920445633304
1995-12,1286.3408904723635
1996-01,1332.8413457719187
1996-02,1344.9391595818784
1996-03,1358.7548766592056
1996-04,1380.2341091214616
1996-05,1415.8272080698491
1996-06,1421.2421812023563
1996-07,1359.208352427631
1996-08,1390.7152117025678
1996-09,1466.9428675895977
1996-10,1508.0097736469556
1996-11,1621.2972833310232
1996-12,1588.6856025321733
1997-01,1695.3058436600838
1997-02,1705.414057307175
1997-03,1628.0930538528635
1997-04,1731.1016073926767
1997-05,1831.1304670728323
1997-06,1911.4376471736098
1997-07,2060.7601463456476
1997-08,1938.6715222865212
1997-09,2040.0529938419168
1997-10,1981.9051504824633
1997-11,2069.5943271596348
1997-12,2100.749259706124
1998-01,2124.320980765487
1998-02,2274.309734901284
1998-03,2394.2269931500837
1998-04,2421.0531443782274
1998-05,2372.887158609183
1998-06,2465.1666657072096
1998-07,2433.8065391703967
1998-08,2086.8583697724184
1998-09,2220.400180605181
1998-10,2393.6253928687033
1998-11,2552.915371546446
1998-12,2698.6571564433216
1999-01,2818.162489223855
1999-02,2735.7013760625755
1999-03,2848.618052463407
1999-04,2957.4218920116878
1999-05,2887.3115989870885
1999-06,3040.481098956895
1999-07,2945.5758077853593
1999-08,2924.9955868487823
1999-09,2843.609020211791
1999-10,3028.9800007330805
1999-11,3095.274460702651
1999-12,3319.37831560662
2000-01,3148.5632487634152
2000-02,3084.2246589845395
2000-03,3389.771241705247
2000-04,3278.6466393946885
2000-05,3192.319124059112
2000-06,3283.107193320151
2000-07,3231.4438328921988
2000-08,3404.690165210898
2000-09,3210.5395956497205
2000-10,3174.114959915508
2000-11,2921.054872638148
2000-12,2918.9016589323874
2001-01,3026.444440269779
2001-02,2745.378951203862
2001-03,2566.4641619637696
2001-04,2765.0231150165064
2001-05,2781.8198090682477
2001-06,2715.910126062454
2001-07,2690.2891669216397
2001-08,2511.7437569942804
2001-09,2317.3223877207915
2001-10,2349.314474573937
2001-11,2530.5540291918273
2001-12,2546.607680385213
2002-01,2510.5708338912114
2002-02,2461.2485510683323
2002-03,2552.249453131
2002-04,2391.5490331470314
2002-05,2375.4147622603655
2002-06,2195.2817078733724
2002-07,2033.3128248267826
2002-08,2042.6371306969513
2002-09,1813.8097628772948
2002-10,1973.4484857593013
2002-11,2091.0479066908924
2002-12,1967.851315622463
2003-01,1923.6051799581735
2003-02,1897.2099428891395
2003-03,1912.2944958549965
2003-04,2069.718672875306
2003-05,2182.39375631722
2003-06,2209.813920862718
2003-07,2248.518296492385
2003-08,2292.779531491605
2003-09,2268.2507672265815
2003-10,2397.7236478275886
2003-11,2421.9260066783013
2003-12,2546.8331253524943
2004-01,2591.2688331140853
2004-02,2622.5963938801274
2004-03,2581.310727280411
2004-04,2532.6326716722797
2004-05,2566.6460266674694
2004-06,2616.740999013517
2004-07,2530.9279021298203
2004-08,2542.0153746283995
2004-09,2576.6559828765207
2004-10,2621.3236581474503
2004-11,2727.657188417028
2004-12,2819.604678832661
2005-01,2746.8099109714976
2005-02,2808.5676971396747
2005-03,2767.086927138049
2005-04,2710.590622977817
2005-05,2796.2221877872616
2005-06,2810.59986116558
2005-07,2917.9708673186683
2005-08,2900.5164387721957
2005-09,2933.41847426609
2005-10,2874.059665182656
2005-11,2990.3856836912487
2005-12,2998.783393065433
2006-01,3091.107235296246
2006-02,3088.398603885406
2006-03,3127.277430636006
2006-04,3174.6171283482463
2006-05,3079.427757701456
2006-06,3077.9637397193414
2006-07,3087.253203143302
2006-08,3163.176956087269
2006-09,3230.101430733675
2006-10,3342.464594474298
2006-11,3408.4133592263247
2006-12,3443.945608522191
2007-01,3500.4870352110443
2007-02,3440.1182457847794
2007-03,3480.0015208795717
2007-04,3632.4458423570804
2007-05,3770.100768993791
2007-06,3709.9234411076377
2007-07,3601.8819080906906
2007-08,3650.343638629403
2007-09,3803.710265043513
2007-10,3889.6046830390264
2007-11,3700.9049229137563
2007-12,3687.568831918612
2008-01,3461.5939228120087
2008-02,3377.597811309972
2008-03,3348.358817036304
2008-04,3518.923710942014
2008-05,3590.951070014346
2008-06,3311.341608709658
2008-07,3253.949332435122
2008-08,3286.868734245389
2008-09,2969.380725511132
2008-10,2436.048852128943
2008-11,2257.3114445260953
2008-12,2277.814110907211
2009-01,2098.95322831079
2009-02,1884.527338837492
2009-03,2046.0030588977586
2009-04,2248.3692134750368
2009-05,2399.080346677297
2009-06,2390.7021731293316
2009-07,2579.309308576112
2009-08,2655.677320077718
2009-09,2765.2904001964484
2009-10,2702.694126157664
2009-11,2865.0511571481643
2009-12,2925.5372935173914
2010-01,2811.6788994000904
2010-02,2903.250711735202
2010-03,3081.8514832831793
2010-04,3129.8632360540196
2010-05,2879.2281310555454
2010-06,2725.2032006070654
2010-07,2915.1139375315815
2010-08,2790.748123177265
2010-09,3039.606899094729
2010-10,3155.9219138707317
2010-11,3160.2248085724113
