Date,PAN-EURO
1996-12,610.19324407
1997-01,612.18407518
1997-02,620.22280275
1997-03,640.86622488
1997-04,639.48353617
1997-05,666.94486658
1997-06,702.0831317
1997-07,737.21324153
1997-08,693.03167385
1997-09,762.03422787
1997-10,723.74614225
1997-11,735.97406284
1997-12,765.16555618
1998-01,798.93593767
1998-02,861.40844479
1998-03,921.17931703
1998-04,938.11831204
1998-05,956.50410179
1998-06,973.40332735
1998-07,995.32751925
1998-08,870.37910354
1998-09,835.64828185
1998-10,904.48055937
1998-11,956.22207786
1998-12,1000.0
1999-01,995.9984652023695
1999-02,970.0635314673565
1999-03,980.6491753516667
1999-04,1007.7637386985507
1999-05,957.6197903645301
1999-06,974.5423494479984
1999-07,981.3959477136451
1999-08,992.1245182430517
1999-09,985.1178601241543
1999-10,1027.4487155391582
1999-11,1060.2448118159268
1999-12,1173.891685343527
2000-01,1088.021747082307
2000-02,1150.0116904575525
2000-03,1177.496038870167
2000-04,1125.699052648011
2000-05,1115.8247710537405
2000-06,1138.0188850230775
2000-07,1117.3815172084162
2000-08,1103.0692625660495
2000-09,1049.1601621757395
2000-10,1043.5676380931563
2000-11,1002.7281398721966
2000-12,1072.3143652834838
2001-01,1071.789589827351
2001-02,969.6825659219812
2001-03,900.0549397646446
2001-04,967.2616546725498
2001-05,916.1097095692256
2001-06,882.4007132355781
2001-07,884.1077965131852
2001-08,858.561688763442
2001-09,777.1547279906666
2001-10,800.5756407250539
2001-11,830.8839414317479
2001-12,852.3481517770612
2002-01,805.3574383420356
2002-02,804.9201228394315
2002-03,846.01552388418
2002-04,837.954919807478
2002-05,833.9477229412538
2002-06,804.7814888757731
2002-07,715.8089715127949
2002-08,716.19108903433
2002-09,621.8860876361871
2002-10,684.2061668309468
2002-11,716.6534518392696
2002-12,689.7428760388365
2003-01,656.0579685971915
2003-02,635.2541233776385
2003-03,625.7858544675909
2003-04,710.2708146534702
2003-05,754.2641522977871
2003-06,760.949921940569
2003-07,773.335418650395
2003-08,768.5539611436482
2003-09,783.3397268083309
2003-10,833.5975426584059
2003-11,869.6530453782478
2003-12,943.7578164642586
2004-01,951.2521185123849
2004-02,977.2440702001497
2004-03,945.388900192613
2004-04,937.7794859924588
2004-05,952.7030907317547
2004-06,963.8105000743262
2004-07,937.4125348955354
2004-08,937.5812791781111
2004-09,974.672655746181
2004-10,1009.6782969887495
2004-11,1081.5381355267798
2004-12,1125.4972921215096
2005-01,1102.4071954190651
2005-02,1156.6603010181893
2005-03,1128.3069824521228
2005-04,1101.5067151218236
2005-05,1103.5738807636533
2005-06,1118.569616635295
2005-07,1158.9308482899623
2005-08,1174.7731242613024
2005-09,1202.6249062165277
2005-10,1167.2482315683474
2005-11,1185.872874108243
2005-12,1226.2196552588216
2006-01,1304.5556700776099
2006-02,1302.859014942719
2006-03,1351.966793649586
2006-04,1420.9791388519407
2006-05,1383.0836694549973
2006-06,1388.4506942517037
2006-07,1410.6771665933331
2006-08,1454.1039279176482
2006-09,1464.31170800223
2006-10,1525.7212725630454
2006-11,1576.39926452868
2006-12,1623.8107045666036
2007-01,1632.4838657259907
2007-02,1625.005324866458
2007-03,1680.4150388287608
2007-04,1791.565506219086
2007-05,1823.9473601243812
2007-06,1829.6706398414065
2007-07,1790.848449778769
2007-08,1775.1693674673377
2007-09,1871.7384791134157
2007-10,1958.52472059598
2007-11,1904.262978442927
2007-12,1872.9691093172655
2008-01,1674.1329517594436
2008-02,1698.7477913370687
2008-03,1703.2948805045085
2008-04,1784.470421102472
2008-05,1790.144435968588
2008-06,1638.2425622994665
2008-07,1599.5284492792646
2008-08,1529.8172867620995
2008-09,1305.765083133554
2008-10,1039.2390411666545
2008-11,966.3038317115364
2008-12,1018.506291587429
2009-01,900.6745413966693
2009-02,807.644264405336
2009-03,864.6284028865147
2009-04,979.7212337008895
2009-05,1099.433164398483
2009-06,1079.1395440225715
2009-07,1193.1742715922258
2009-08,1266.7729317332196
2009-09,1322.252143656822
2009-10,1310.449692330588
2009-11,1348.6040448519832
2009-12,1368.5629050103078
2010-01,1282.7800490988432
2010-02,1258.407487733821
2010-03,1336.6077030759943
2010-04,1295.6322087267854
2010-05,1139.5498282185872
2010-06,1130.1655802750734
2010-07,1260.74678133869
2010-08,1216.9118341795124
2010-09,1344.526956117655
2010-10,1404.0424959482957
2010-11,1294.3697472141105
2010-12,1400.5305570864405
2011-01,1457.83373271424
2011-02,1505.0511333607585
2011-03,1488.8841911529298
2011-04,1610.8043849052058
2011-05,1556.6035514409064
2011-06,1530.2735944707917
2011-07,1481.532554427306
2011-08,1331.2827345652984
2011-09,1190.6856425499286
2011-10,1337.0829609368325
2011-11,1278.7596243314508
2011-12,1260.2915220550306
2012-01,1315.5974246404587
2012-02,1396.7757863248323
2012-03,1385.1570349566896
2012-04,1354.1073710923556
2012-05,1189.8879505381776
2012-06,1287.1058054626842
2012-07,1301.9175099254696
2012-08,1359.2589693463262
2012-09,1396.8816105056458
2012-10,1418.0469137991547
2012-11,1453.4529833279162
2012-12,1493.4930164226357
2013-01,1583.8775487656796
2013-02,1535.161241341771
2013-03,1531.6116620541698
2013-04,1599.4654853465806
2013-05,1600.2674939113444
2013-06,1520.3506132153934
2013-07,1627.2942683300316
2013-08,1605.1596744268375
2013-09,1721.9829951706665
2013-10,1796.575680609334
2013-11,1819.3893915424792
2013-12,1857.0869605183682
2014-01,1778.7421723028867
2014-02,1905.4410139598092
2014-03,1887.3183042711016
2014-04,1938.6468511144403
2014-05,1956.7249697904094
2014-06,1957.6578185397586
2014-07,1886.7496943321746
2014-08,1896.1008463322194
2014-09,1831.4979569414734
2014-10,1778.787137377187
2014-11,1823.1537412217294
2014-12,1735.81287129144
2015-01,1734.005825073045
2015-02,1841.6050492690686
2015-03,1793.0641038668896
2015-04,1869.1950136164658
2015-05,1850.790402339144
2015-06,1791.3380104934986
2015-07,1848.9077119501778
2015-08,1710.7007130547358
2015-09,1627.7621221563486
2015-10,1746.426038770962
2015-11,1711.039428605832
2015-12,1662.9256104106485
2016-01,1555.8813280626632
2016-02,1524.995379287787
2016-03,1613.977366287774
2016-04,1656.2164680109204
2016-05,1646.8319573722438
2016-06,1583.9628742032528
2016-07,1643.5182658066428
2016-08,1647.4128366968448
2016-09,1660.1605042216277
2016-10,1612.249073144206
2016-11,1575.704226668205
2016-12,1663.4033322929884
2017-01,1692.3176227454458
2017-02,1712.6032515851387
2017-03,1783.1224419075465
2017-04,1839.670715
2017-05,1931.115962
2017-06,1910.578834
2017-07,1962.899635
2017-08,1961.463757
2017-09,2027.030591
2017-10,2033.476542
2017-11,2040.432596
2017-12,2068.72717
2018-01,2180.612465
2018-02,2046.298447
2018-03,2022.856175
2018-04,2082.4334484095625
2018-05,2004.2578961687425
2018-06,1994.8452815196417
2018-07,2063.504096454267
2018-08,1995.3993836741772
2018-09,2009.0782275190004
2018-10,1866.6352043429822
2018-11,1858.4149038958135
2018-12,1774.9303469081078
2019-01,1884.6578677735952
2019-02,1948.3005739894659
2019-03,1965.1465993051256
2019-04,2032.0954683081459
2019-05,1923.965711767386
2019-06,2053.581962598738
2019-07,2012.8565055177862
2019-08,1960.4607208766165
2019-09,2014.6525044115901
2019-10,2073.797364807783
2019-11,2099.226709905098
2019-12,2179.3600255189062
2020-01,2122.8904780279177
2020-02,1921.89749087919
2020-03,1663.620877044856
2020-04,1750.0934137846823
2020-05,1820.3983738602
2020-06,1898.5427726855735
2020-07,1963.1949972354296
2020-08,2032.8511009184003
2020-09,1961.8955581054902
2020-10,1843.9041183203317
2020-11,2159.1247791757837
2020-12,2252.7231626333887
2021-01,2217.0794050395116
2021-02,2275.470640491754
2021-03,2351.4416281094022
2021-04,2452.8798004823007
2021-05,2558.04786902551
2021-06,2524.5328150283217
2021-07,2563.3244871150887
2021-08,2604.918008784695
2021-09,2488.4766800125876
2021-10,2607.1600256006172
2021-11,2469.85362754145
2021-12,2639.001500302128
2022-01,2539.655332696256
2022-02,2469.9094334634037
2022-03,2471.2385683782795
2022-04,2334.4331823451153
2022-05,2360.356232574448
2022-06,2135.262385730958
2022-07,2235.456688981491
2022-08,2104.5011221636823
2022-09,1932.0873404748522
2022-10,2067.1782809889105
2022-11,2303.604260595431
2022-12,2300.02865865664
2023-01,2490.9354419512892
2023-02,2475.7343739765342
2023-03,2545.367195744029
2023-04,2654.2183517698195
2023-05,2503.357658459609
2023-06,2630.5324779697926
2023-07,2699.1478329683787
