Date,GOLDEN DRAGON WITH CHINA ALL SHARES
2008-11,1055.5091089290434
2008-12,1113.9047862216678
2009-01,1065.9391956448524
2009-02,1060.2521541135025
2009-03,1192.8513999201598
2009-04,1341.593327513507
2009-05,1535.8077399050323
2009-06,1569.574512690431
2009-07,1773.6273551865431
2009-08,1603.0744814944107
2009-09,1724.5884780440663
2009-10,1781.7000461545479
2009-11,1832.4160401933025
2009-12,1886.6607722264878
2010-01,1729.2749208517876
2010-02,1745.942356186482
2010-03,1836.2406306457178
2010-04,1810.5408780394296
2010-05,1674.9539773648355
2010-06,1669.3219576909555
2010-07,1784.514340136446
2010-08,1758.546954983549
2010-09,1920.8684388551214
2010-10,2020.1675589928848
2010-11,1990.0714237373593
2010-12,2050.5436828467145
2011-01,2067.108576237528
2011-02,2004.6697250268621
2011-03,2061.00265233533
2011-04,2120.1356582027165
2011-05,2105.6946388662977
2011-06,2045.4209633360415
2011-07,2041.0482706881576
2011-08,1882.701492470276
2011-09,1624.4347867187455
2011-10,1798.2191071783031
2011-11,1651.6928333315875
2011-12,1674.1191016448488
2012-01,1826.087451884616
2012-02,1954.11655290825
2012-03,1851.1638730226282
2012-04,1880.6443225133014
2012-05,1740.4823833951864
2012-06,1752.2130732592686
2012-07,1763.8062474353555
2012-08,1739.1532108379413
2012-09,1855.1270977358117
2012-10,1870.3923499002408
2012-11,1909.5366613409426
2012-12,2018.5552465092724
2013-01,2098.4107031535623
2013-02,2062.810504463565
2013-03,1987.8852745687357
2013-04,2018.6533062827489
2013-05,2034.4964473022085
2013-06,1884.4473306048378
2013-07,1932.733772165412
2013-08,1967.0326482661878
2013-09,2056.2509682800555
2013-10,2098.423455296493
2013-11,2148.3653066847523
2013-12,2110.770968128652
2014-01,1996.9721506797516
2014-02,2029.0451080869534
2014-03,2008.0307408239287
2014-04,2004.2410757499142
2014-05,2075.8804153179394
2014-06,2136.260524996741
2014-07,2269.889493840552
2014-08,2286.4518730631057
2014-09,2184.9998527875455
2014-10,2273.7552611782794
2014-11,2353.280056698043
2014-12,2476.040759358341
2015-01,2499.2378986891104
2015-02,2570.4543518997225
2015-03,2711.718484352176
2015-04,3099.956310125903
2015-05,3081.1022626770514
2015-06,2902.658489426133
2015-07,2604.2916430478617
2015-08,2287.838830597457
2015-09,2216.901358822505
2015-10,2422.1965212832265
2015-11,2364.6395822228096
2015-12,2364.2984322310276
2016-01,2011.0733605142293
2016-02,1996.603205117132
2016-03,2227.0515872843944
2016-04,2189.4214703207813
2016-05,2177.7133969160845
2016-06,2204.694090029418
2016-07,2298.201469248994
2016-08,2397.873594428875
2016-09,2427.6797633374417
2016-10,2418.043305773063
2016-11,2416.6788618686674
2016-12,2301.5429798499076
2017-01,2428.7170640873737
2017-02,2507.196807568407
2017-03,2543.733782184524
2017-04,2585.7951565957524
2017-05,2671.5672063256916
2017-06,2762.9591554788294
2017-07,2916.981515138439
2017-08,3015.9066363813317
2017-09,3012.449377875345
2017-10,3125.643988266576
2017-11,3119.9669951888636
2017-12,3181.650962850154
2018-01,3485.068641648325
2018-02,3291.096347532944
2018-03,3219.3795652789127
2018-04,3167.8903920544435
2018-05,3188.929461128414
2018-06,2998.619094410059
2018-07,2980.9874968254867
2018-08,2881.488386866442
2018-09,2880.0162718494466
2018-10,2560.198747427175
2018-11,2674.845854842816
2018-12,2576.1295785246675
2019-01,2792.770859555301
2019-02,2977.3858353176834
2019-03,3067.632956847794
2019-04,3122.417376822595
2019-05,2801.8909517582474
2019-06,2992.9716277485663
2019-07,2989.762241023387
2019-08,2861.464719306273
2019-09,2880.672367507304
2019-10,3011.823693117365
2019-11,3029.525324631312
2019-12,3259.5386169084245
2020-01,3138.865671093628
2020-02,3126.117682856268
2020-03,2860.03347006744
2020-04,3083.0793052409385
2020-05,3022.2351080601884
2020-06,3307.497401268009
2020-07,3667.0968476048506
2020-08,3827.6928449632896
2020-09,3721.4527369948582
2020-10,3858.7627820910493
2020-11,4068.9592079061663
2020-12,4281.323130822114
2021-01,4536.3039711265355
2021-02,4553.1185843135
2021-03,4335.777216917047
2021-04,4480.757535350773
2021-05,4566.89061122262
2021-06,4548.881433287851
2021-07,4145.850688734106
2021-08,4185.420084548111
2021-09,4048.391808660088
2021-10,4139.469860974885
2021-11,4027.060051
2021-12,4027.1660858446635
2022-01,3860.499367390047
2022-02,3797.345845193941
2022-03,3555.475984349648
2022-04,3309.0733985986813
2022-05,3384.7241889220923
2022-06,3471.996030484507
2022-07,3272.350475889628
2022-08,3216.113482477645
2022-09,2804.1528545577767
2022-10,2471.5879354079325
2022-11,3009.17458068658
2022-12,3083.8744573881663
2023-01,3413.651437137926
2023-02,3191.4132528267537
2023-03,3272.796371814588
2023-04,3155.639118135865
2023-05,2997.9365693358113
2023-06,3056.135915787085
2023-07,3260.157073668067
