Date,ACWI WITH BRAZIL ADR
2003-05,1000.0
2003-06,1018.7483247822115
2003-07,1040.9959852095765
2003-08,1065.3279187852597
2003-09,1071.885804792457
2003-10,1136.4597143552746
2003-11,1153.4088865259296
2003-12,1226.2051707635367
2004-01,1247.0103508306572
2004-02,1269.5717416448458
2004-03,1262.256725740138
2004-04,1232.6760911363099
2004-05,1242.2767282997
2004-06,1266.8514186330672
2004-07,1226.132124903595
2004-08,1233.5895507881937
2004-09,1259.1569662339139
2004-10,1289.9403866452094
2004-11,1360.213690463831
2004-12,1412.8181780835573
2005-01,1382.8666376993224
2005-02,1430.6106487943273
2005-03,1399.1479913383423
2005-04,1368.3411216181573
2005-05,1393.8507291088774
2005-06,1407.976856211644
2005-07,1459.9805832953018
2005-08,1470.9871866378637
2005-09,1514.8817710003161
2005-10,1474.2626584409245
2005-11,1527.7880944134833
2005-12,1565.5335059842494
2006-01,1642.344914911003
2006-02,1639.532198273299
2006-03,1674.3568032810329
2006-04,1729.8907551269322
2006-05,1662.100761785818
2006-06,1661.1261193699631
2006-07,1672.4860867571404
2006-08,1715.810078118198
2006-09,1735.9011270153062
2006-10,1800.9757107720081
2006-11,1851.7854946761727
2006-12,1892.8721112335577
2007-01,1911.8228994142112
2007-02,1901.6293206122803
2007-03,1939.5239249237002
2007-04,2025.6526571421343
2007-05,2085.7294155185095
2007-06,2079.2445928250213
2007-07,2047.4609282483916
2007-08,2042.1214070277986
2007-09,2151.5512131932383
2007-10,2235.2576054470296
2007-11,2136.4447134707275
2007-12,2112.635046415833
2008-01,1940.3604580179117
2008-02,1944.4616034018643
2008-03,1916.4169067657706
2008-04,2022.831397342801
2008-05,2053.174961653451
2008-06,1884.5522227804386
2008-07,1836.0133608002945
2008-08,1797.493597327869
2008-09,1574.511009133134
2008-10,1262.6615320315816
2008-11,1179.7072096575323
2008-12,1222.9543403093628
2009-01,1117.8470232842967
2009-02,1008.1705049322982
2009-03,1090.9282338669855
2009-04,1219.2255842204208
2009-05,1340.2926125656172
2009-06,1332.8274822738479
2009-07,1449.9767677094594
2009-08,1501.6417830552653
2009-09,1570.2306226801384
