Date,EM WITH BRAZIL + INDIA + RUSSIA DR
2010-02,1000.0
2010-03,1079.8279578520924
2010-04,1092.9673373614642
2010-05,993.5074291424839
2010-06,985.8771367412653
2010-07,1070.9561369736691
2010-08,1050.000806875472
2010-09,1166.4577103602048
2010-10,1200.1436963474775
2010-11,1176.4363144989309
2010-12,1262.471898518687
2011-01,1237.5375608650781
2011-02,1224.21628958428
2011-03,1292.9547272502841
2011-04,1338.6609976424124
2011-05,1303.200390566849
2011-06,1279.3592554797453
2011-07,1277.0938998542567
2011-08,1163.4107267087002
2011-09,991.2809867106777
2011-10,1120.210070219617
2011-11,1053.928846993905
2011-12,1044.8928413479434
2012-01,1153.2553983324444
2012-02,1221.1794497830113
2012-03,1184.9623632032778
2012-04,1175.7098210684962
2012-05,1045.1991156668062
2012-06,1085.9345520623817
2012-07,1106.7156450929613
2012-08,1102.7720308198798
2012-09,1167.1277745864563
2012-10,1161.5041725542535
2012-11,1175.5476022562461
2012-12,1237.486644879988
2013-01,1249.1190409052756
2013-02,1237.45031266396
2013-03,1215.5130111923213
2013-04,1221.1375117028467
2013-05,1191.3588155885282
2013-06,1119.027731515004
2013-07,1135.6836098006274
2013-08,1122.3786876838954
2013-09,1191.6248975496085
2013-10,1245.6574963722708
2013-11,1234.028224391988
2013-12,1215.867408820026
2014-01,1135.1248706278009
2014-02,1174.4625325065672
2014-03,1200.3812297657182
2014-04,1205.9131264932282
2014-05,1245.711105760778
2014-06,1275.1654243607861
2014-07,1302.7954692864791
2014-08,1327.7301291275544
2014-09,1232.3277304789058
2014-10,1244.102533339881
2014-11,1231.1723698601315
2014-12,1180.707156716472
2015-01,1182.2584556800075
2015-02,1220.427746209908
2015-03,1207.0262521648071
2015-04,1309.9298806816225
2015-05,1255.0009110203796
2015-06,1215.1088016334447
2015-07,1124.772267848895
2015-08,1025.0388137168268
2015-09,992.7822191648829
2015-10,1068.9883638057936
2015-11,1027.88160876429
2015-12,1000.0463529444861
2016-01,935.8623854755459
2016-02,936.9973573813342
2016-03,1057.6407058907082
2016-04,1061.958469981184
2016-05,1020.6065924514801
2016-06,1058.2181523265726
2016-07,1107.785844726836
2016-08,1138.1110239732743
2016-09,1155.3861281581708
2016-10,1154.9969824693978
2016-11,1108.4551764771486
2016-12,1108.571612025426
2017-01,1169.071955696748
2017-02,1201.189111982221
2017-03,1231.352963051379
2017-04,1257.0840928942496
2017-05,1300.1404609956485
2017-06,1316.917397718211
2017-07,1391.1284116659212
2017-08,1423.6298084244934
2017-09,1419.0161076786378
2017-10,1468.3372028953563
2017-11,1473.480715957948
2017-12,1526.6231373936948
2018-01,1657.4553904711534
2018-02,1583.5733972756238
2018-03,1556.478548637757
2018-04,1545.4299554880974
2018-05,1495.7284207437806
2018-06,1431.1747274438344
2018-07,1454.8418335968627
2018-08,1416.1196544608104
2018-09,1417.1163070134808
2018-10,1282.7237639847044
2018-11,1330.7468699169924
2018-12,1291.0331535144728
2019-01,1413.147509652527
2019-02,1418.123662039362
2019-03,1423.7180189748815
2019-04,1457.2297453647934
2019-05,1334.982053905737
2019-06,1427.3108838358864
2019-07,1411.0132847245202
2019-08,1341.1084595769141
2019-09,1364.985895359252
2019-10,1419.2969074306568
2019-11,1420.3242667364718
2019-12,1532.528763597115
2020-01,1455.0893024201728
2020-02,1385.461832018276
2020-03,1194.0287407936075
2020-04,1297.1067755024026
2020-05,1307.936151094907
2020-06,1405.1427805233336
2020-07,1526.6362896896376
2020-08,1564.5718101229702
2020-09,1540.8460594712735
2020-10,1577.1898387600588
2020-11,1721.6008557642358
2020-12,1842.656079593126
2021-01,1914.8410661227765
2021-02,1925.7758878941506
2021-03,1890.3634782494898
2021-04,1942.6428387414887
2021-05,1975.066504784553
2021-06,1979.8564867773966
2021-07,1832.101825828036
2021-08,1864.7745573188417
2021-09,1783.7702428436942
2021-10,1811.4707750960972
2021-11,1733.848914
2021-12,1768.894375175604
2022-01,1730.728369452445
2022-02,1670.7383186770853
2022-03,1629.5269087938739
2022-04,1531.6598133282287
2022-05,1550.3890893399903
2022-06,1453.1821121048863
2022-07,1430.5481138970565
2022-08,1424.9970768739506
2022-09,1244.5632325158263
2022-10,1191.2640714845115
2022-11,1397.5021888388098
2022-12,1384.5996412382772
2023-01,1517.5546419016866
2023-02,1417.2566368341143
2023-03,1464.1176088231055
2023-04,1433.110806895053
2023-05,1398.3292847141595
2023-06,1444.5645429705514
2023-07,1542.3318966347413
