Date,ACWI ex TAIWAN
2000-12,100.0
2001-01,102.35552904197355
2001-02,93.7143007962338
2001-03,87.33490849312018
2001-04,93.75836943897845
2001-05,92.69463280315071
2001-06,89.82824059850176
2001-07,88.44591030385749
2001-08,84.30827127178046
2001-09,76.65329857299886
2001-10,78.23440715816426
2001-11,82.98735397578795
2001-12,83.65408112001464
2002-01,81.30379391107
2002-02,80.70589291129217
2002-03,84.29636989871264
2002-04,81.58824623804722
2002-05,81.67587516554674
2002-06,76.67166310465875
2002-07,70.21588308903867
2002-08,70.39193733818281
2002-09,62.66294376403815
2002-10,67.24758880922987
2002-11,70.9134858300704
2002-12,67.5150518485023
2003-01,65.47524647574252
2003-02,64.3409275374403
2003-03,64.06667274700465
2003-04,69.7844700741492
2003-05,73.78199200350667
2003-06,75.1428804726432
2003-07,76.74911456373816
2003-08,78.5160784627759
2003-09,78.99298874770051
2003-10,83.75828712344871
2003-11,85.05112953245796
2003-12,90.43673700896693
2004-01,91.9293080240523
2004-02,93.58152411842002
2004-03,93.0580772358112
2004-04,90.89681421612227
2004-05,91.62103782559387
2004-06,93.45878828556995
2004-07,90.49105915442256
2004-08,91.01163349650031
2004-09,92.9109916453244
2004-10,95.19547092904097
2004-11,100.37959101536791
2004-12,104.24158842750832
2005-01,102.03806249967204
2005-02,105.5551691331498
2005-03,103.258596
2005-04,100.97423207427968
2005-05,102.84362409673213
2005-06,103.86251878364314
2005-07,107.7295814750699
2005-08,108.62312148519787
2005-09,111.9139273994448
2005-10,108.9438807166486
2005-11,112.85877457799434
2005-12,115.5836904325331
2006-01,121.2949071044506
2006-02,121.12161021627047
2006-03,123.69317345938889
2006-04,127.7297918688444
2006-05,122.73098820038264
2006-06,122.70119187224971
2006-07,123.60269276897843
2006-08,126.79761800178674
2006-09,128.23896522023807
2006-10,133.0861187583661
2006-11,136.75090169454813
2006-12,139.81446019827786
2007-01,141.25982509817788
2007-02,140.48355655143027
2007-03,143.3657854154405
2007-04,149.78303421020456
2007-05,154.23617323722814
2007-06,153.61586857932798
2007-07,151.18528938528775
2007-08,150.81326298682913
2007-09,158.89778209840986
2007-10,165.06803408015915
2007-11,157.905615896157
2007-12,156.16124729616908
2008-01,143.41203999248427
2008-02,143.58548456651488
2008-03,141.40667148606684
2008-04,149.32123194216032
2008-05,151.7498845528784
2008-06,139.35016923672129
2008-07,135.801718709166
2008-08,132.8592645504955
2008-09,116.35327528422306
2008-10,93.28320977327456
2008-11,87.19773822174402
2008-12,90.34590519761878
2009-01,82.64128927007401
2009-02,74.4324653557561
2009-03,80.49701968094595
2009-04,89.94159538502694
2009-05,98.83972368505236
2009-06,98.39334084674303
2009-07,107.01188581181022
2009-08,110.93781372308649
