Date,ACWI ex CHILE
1998-12,1000.0
1999-01,1019.8143766312907
1999-02,993.5446136964016
1999-03,1038.6034332154013
1999-04,1083.0250082067016
1999-05,1045.1535026809431
1999-06,1097.2817657536239
1999-07,1092.080504349796
1999-08,1090.780152140763
1999-09,1078.8010140501199
1999-10,1132.7944322917285
1999-11,1167.431828172524
1999-12,1264.1016853486954
2000-01,1194.8506226311365
2000-02,1198.6012962191119
2000-03,1277.7583975899593
2000-04,1220.2374858138965
2000-05,1188.9693355861796
2000-06,1229.024368826635
2000-07,1192.2383353860334
2000-08,1229.497677759183
2000-09,1161.4923250631875
2000-10,1138.1495150515302
2000-11,1067.1931534620514
2000-12,1084.4570515867308
2001-01,1111.6660846479292
2001-02,1017.9899963900488
2001-03,949.0698668439849
2001-04,1017.8249485084297
2001-05,1005.7240849054531
2001-06,974.4179726534817
2001-07,959.190683979049
2001-08,914.6658666860432
2001-09,831.0338734758534
2001-10,848.5663864356727
2001-11,900.4514365641443
2001-12,908.6758510066346
2002-01,883.6124534696445
2002-02,876.8399740143835
2002-03,916.1239199161689
2002-04,886.727574845382
2002-05,887.4772286789378
2002-06,833.0064764843942
2002-07,762.9348489093107
2002-08,764.6399681668182
2002-09,680.535946513878
2002-10,730.4535533460925
2002-11,770.1471959221152
2002-12,733.1592544738899
2003-01,711.5526137796049
2003-02,698.8009625525177
2003-03,695.7704764144504
2003-04,757.3844059130254
2003-05,800.9512258762593
2003-06,815.9376796948474
2003-07,833.7561205360173
2003-08,853.2353407217165
2003-09,858.3724636228685
2003-10,910.1566428594798
2003-11,923.8043584527807
2003-12,982.1290055665397
2004-01,998.7540538611875
2004-02,1016.7738546629047
2004-03,1011.0090601851388
2004-04,987.2707192190056
2004-05,994.9522079691208
2004-06,1014.6237306747016
2004-07,982.12319405765
2004-08,988.0437596594504
2004-09,1008.5420414853528
2004-10,1033.186061299979
2004-11,1089.4890545227158
2004-12,1131.6175800887365
2005-01,1107.652159077338
2005-02,1145.990603822974
2005-03,1120.696735695122
2005-04,1095.961511370805
2005-05,1116.4301970159615
2005-06,1127.6514990347687
2005-07,1169.2971908288398
2005-08,1178.1840416108964
2005-09,1213.5649128792902
2005-10,1180.942784720729
2005-11,1223.9509477872632
2005-12,1254.1182124548973
2006-01,1315.8718198755646
2006-02,1313.872303905127
2006-03,1341.5549579711733
2006-04,1386.232593805328
2006-05,1331.6296427395691
2006-06,1331.0777872336657
2006-07,1340.1481558056169
2006-08,1374.87068092093
2006-09,1390.847406445492
2006-10,1442.965513112726
2006-11,1483.701296770587
2006-12,1516.7705034476303
2007-01,1531.7981705856068
2007-02,1523.749855725087
2007-03,1554.271809839709
2007-04,1623.1191729550083
2007-05,1671.3969205234089
2007-06,1666.3476926629564
2007-07,1640.9229383283284
2007-08,1636.391713661064
2007-09,1724.3521084925835
2007-10,1791.4719496852401
2007-11,1712.3966223157731
2007-12,1693.4513499300015
2008-01,1554.6036073703435
2008-02,1558.9232377097392
2008-03,1535.841536955625
2008-04,1621.688515561138
2008-05,1647.1033607639688
2008-06,1511.892685306742
2008-07,1472.4612837528443
2008-08,1440.7917154887637
2008-09,1260.6874493251223
2008-10,1010.9794564843189
2008-11,944.5169283473657
2008-12,978.7718830723132
2009-01,894.8957804769868
2009-02,807.1410603430494
2009-03,873.6984011726039
2009-04,976.8920442512948
2009-05,1074.0949074709554
2009-06,1067.9765885895413
2009-07,1162.104726160965
2009-08,1203.8266232721003
2009-09,1258.9951336575696
2009-10,1239.4953110790282
2009-11,1290.4407700303088
2009-12,1317.0182279518228
2010-01,1259.93177265775
2010-02,1276.0312667763494
2010-03,1358.3208486015403
2010-04,1360.535243425462
2010-05,1231.3524947353453
2010-06,1193.322745008493
2010-07,1290.3203028564587
2010-08,1244.9179618580763
2010-09,1363.9949677122972
2010-10,1413.3597287495356
2010-11,1381.8061043759026
2010-12,1483.1299886541042
2011-01,1506.7762399408805
2011-02,1550.8377416449978
2011-03,1549.1533654476677
2011-04,1612.3663385840948
2011-05,1577.6698117915516
2011-06,1552.7432985282678
2011-07,1527.5999997645738
2011-08,1415.907078802023
2011-09,1282.520718852994
2011-10,1419.7356892838698
2011-11,1377.4139439638911
2011-12,1374.613373572494
2012-01,1454.4884665360264
2012-02,1527.5362520055094
2012-03,1537.6844634879728
2012-04,1520.1160351393153
2012-05,1383.9514201932172
2012-06,1452.2825101919002
2012-07,1472.2207830395037
2012-08,1504.367271749005
2012-09,1551.7582455648933
2012-10,1541.442710900971
2012-11,1561.3204490063752
2012-12,1596.6132880691603
2013-01,1670.055775177009
2013-02,1669.827854571766
2013-03,1700.5209225089136
2013-04,1749.3518259241353
2013-05,1744.8603516311139
2013-06,1693.9212763739524
2013-07,1775.5287508908234
2013-08,1738.5204664460866
2013-09,1828.3026667043252
2013-10,1901.8932029734715
2013-11,1929.1050989470446
2013-12,1962.4997295757544
2014-01,1884.275152336412
2014-02,1975.1985588630087
2014-03,1983.9027965068365
2014-04,2002.7681592501579
2014-05,2045.3784511660836
2014-06,2083.9910119368024
2014-07,2058.842593714677
2014-08,2104.41249413206
2014-09,2036.1448276891003
2014-10,2050.528668192974
2014-11,2084.908193502243
2014-12,2044.7341251109663
2015-01,2012.8461600493692
2015-02,2124.8903668169096
2015-03,2091.9699994681523
2015-04,2152.611647671589
2015-05,2149.84003236731
2015-06,2099.358858224772
2015-07,2117.758693348694
2015-08,1972.499865972816
2015-09,1901.0833230054197
2015-10,2050.3335301057464
2015-11,2033.574684333167
2015-12,1996.835389057739
2016-01,1876.2479848659075
2016-02,1863.2776051032436
2016-03,2001.300063186038
2016-04,2030.811682523332
2016-05,2033.558086243718
2016-06,2021.0711636232393
2016-07,2108.2082188236845
2016-08,2115.419741008716
2016-09,2128.4118828474907
2016-10,2092.033347974499
2016-11,2108.0926699767806
2016-12,2153.70086101763
2017-01,2212.539858580784
2017-02,2274.597490952299
2017-03,2302.2386256258587
