Date,EFM EUROPE + CIS (E+C) ex RU
2002-05,173.55497255775066
2002-06,152.5091478004542
2002-07,144.7251026992839
2002-08,152.41701666229903
2002-09,144.32408170851568
2002-10,157.95583607685361
2002-11,179.720795389252
2002-12,167.81074938225888
2003-01,166.7733227932186
2003-02,167.1119968190924
2003-03,156.22594228865614
2003-04,180.61953401545793
2003-05,195.30720876804355
2003-06,182.97745389707393
2003-07,191.970919921693
2003-08,211.11989589066843
2003-09,218.73108989893962
2003-10,232.98915159657633
2003-11,224.98486269737685
2003-12,259.37121816773697
2004-01,263.80819882391575
2004-02,281.5234746007325
2004-03,297.1985244814478
2004-04,279.80489654453663
2004-05,277.640905420663
2004-06,288.1377418622636
2004-07,295.96569535785443
2004-08,305.93658638690465
2004-09,330.0200226003089
2004-10,355.92599663823813
2004-11,393.9205918943109
2004-12,438.82759032974616
2005-01,442.57978168615307
2005-02,514.0881691829804
2005-03,457.6197100794945
2005-04,421.2808433438141
2005-05,431.37396577626123
2005-06,463.97039960835303
2005-07,507.3715382655228
2005-08,539.5939503324155
2005-09,582.4108135653587
2005-10,530.2969964294094
2005-11,570.9701159696771
2005-12,588.2124737479102
2006-01,651.7436736542986
2006-02,670.5836108968796
2006-03,635.8385476428818
2006-04,695.3539999008726
2006-05,590.5706953618392
2006-06,573.0334222142072
2006-07,626.6062799519128
2006-08,618.5868848802206
2006-09,605.6850435663829
2006-10,668.2737619472933
2006-11,700.7164932172658
2006-12,741.1322308685216
2007-01,750.9624082456787
2007-02,734.521084220643
2007-03,789.2233085046058
2007-04,841.3020893851381
2007-05,865.0111993048982
2007-06,908.5338950519979
2007-07,947.5778401540854
2007-08,894.3340874611267
2007-09,980.3110493606499
2007-10,1056.694600266704
2007-11,1000.0000000000002
2007-12,1015.4607103548585
2008-01,857.5104154003528
2008-02,883.0849726935373
2008-03,849.723343244143
2008-04,879.6042748016038
2008-05,908.0345030606625
2008-06,839.1196242956536
2008-07,929.9553558451887
2008-08,826.2010119058987
2008-09,694.8863437904675
2008-10,459.5904887278132
2008-11,414.0660397733921
2008-12,431.8978141681069
2009-01,354.235035886253
2009-02,303.76859738707526
2009-03,341.8323969692103
2009-04,424.0068106665162
2009-05,482.17269422979257
2009-06,497.72738661889275
2009-07,599.0401728959052
2009-08,637.1075502364853
2009-09,654.0101896874617
2009-10,660.7823684178209
2009-11,668.8630925920368
2009-12,698.3585318194569
2010-01,706.5300721120055
2010-02,654.3170341267145
2010-03,734.4346194342994
2010-04,750.755838830717
2010-05,642.4678532356934
2010-06,616.9640882566472
2010-07,714.1901542236941
2010-08,693.6181924162382
2010-09,795.9206051187937
2010-10,830.5412693967519
2010-11,744.7459778673391
2010-12,778.4457954405713
2011-01,772.5070199144485
2011-02,772.0641547205429
2011-03,815.5824869366069
2011-04,896.182098862932
2011-05,833.0736237197578
2011-06,818.6207671032954
2011-07,787.6679545185738
2011-08,687.1990665355353
2011-09,599.3526902261052
2011-10,637.8927611835446
2011-11,591.7428422757885
2011-12,545.8963313551222
2012-01,626.3372832544693
2012-02,662.7354489033847
2012-03,655.3498182574788
2012-04,638.0490266712104
2012-05,543.4825707851692
2012-06,626.6339270640019
2012-07,632.751483016686
2012-08,664.7957624054998
2012-09,689.5180011912221
2012-10,715.7233737649881
2012-11,725.2753027101179
2012-12,772.3409908931532
2013-01,774.8992045919135
2013-02,754.4442314483471
2013-03,760.8335263186561
2013-04,773.5683949179946
2013-05,767.3699508574456
2013-06,690.7379085589475
2013-07,698.6266663695798
2013-08,663.6398151792934
2013-09,717.9585251266576
2013-10,759.8602266290404
2013-11,751.4252951632859
2013-12,694.7918776814774
2014-01,643.5266817445547
2014-02,694.5806571661425
2014-03,724.360095020983
2014-04,735.2717815942451
2014-05,766.0532491258583
2014-06,756.8626630216438
2014-07,736.679474680121
2014-08,733.0570563381331
2014-09,691.3635220326815
2014-10,684.52890135812
2014-11,699.2878225173599
2014-12,638.9887748044516
2015-01,601.2756220071874
2015-02,597.0301238727492
2015-03,571.3962326538591
2015-04,612.0500997532798
2015-05,591.4250408109654
2015-06,578.2244681378488
2015-07,560.9495446595922
2015-08,510.7330151086584
2015-09,487.6653550034618
2015-10,511.7072273766918
2015-11,469.8753956930044
2015-12,458.9947058095915
2016-01,436.0381971329841
2016-02,440.59025947616846
2016-03,515.684506516208
2016-04,513.0966541761278
2016-05,475.9596927265994
2016-06,458.16447057487153
2016-07,461.8945302429559
2016-08,466.1243604347982
2016-09,461.24750236087607
2016-10,469.07009536918537
2016-11,430.7213077479829
2016-12,451.11228993365563
2017-01,473.8593888481522
2017-02,493.1651838963087
2017-03,497.9986546846877
2017-04,546.390412
2017-05,568.842766
2017-06,584.008314
2017-07,618.73258
2017-08,648.84275
2017-09,606.014652
2017-10,615.975307
2017-11,598.229165
2017-12,643.352776
2018-01,693.772144
2018-02,649.699175
2018-03,614.526085
2018-04,604.9174953990016
2018-05,532.7584313955753
2018-06,524.66323789759
2018-07,541.0953959584637
2018-08,499.28008647506687
2018-09,510.8054767233096
2018-10,477.03738658396816
2018-11,510.9441444638298
2018-12,498.7757268016935
2019-01,536.4967875650099
2019-02,527.516171837571
2019-03,505.00812273919934
2019-04,508.36301769468105
2019-05,498.20484657181294
2019-06,527.6548770553691
2019-07,529.6339002504436
2019-08,489.10516658270114
2019-09,504.9807413876262
2019-10,519.897910066447
2019-11,521.1446184347726
2019-12,540.1479452768011
2020-01,517.8720560333071
2020-02,443.615420259457
2020-03,347.3242144171964
2020-04,373.35327218275773
2020-05,399.49818979390153
2020-06,412.6450342657565
2020-07,420.20901171757754
2020-08,423.63059517699276
2020-09,392.96717313956816
2020-10,348.1298090706421
2020-11,435.86678229884234
2020-12,482.9168372315441
2021-01,478.15206444766034
