Date,G7 INDEX
1976-12,100.0
1977-01,96.55726931
1977-02,95.85617756
1977-03,95.20418868
1977-04,96.16824392
1977-05,94.93454976
1977-06,98.8910237
1977-07,97.8533006
1977-08,98.42059687
1977-09,99.59034274
1977-10,97.54253875
1977-11,98.81415922
1977-12,100.39377373
1978-01,96.89440281
1978-02,96.02864549
1978-03,100.58624268
1978-04,105.70767834
1978-05,106.93434123
1978-06,107.74189574
1978-07,115.6972537
1978-08,117.7221885
1978-09,119.26762124
1978-10,116.28309897
1978-11,113.31992086
1978-12,116.73321053
1979-01,119.3572021
1979-02,116.7686345
1979-03,121.79070083
1979-04,121.78235478
1979-05,119.33200663
1979-06,122.96602858
1979-07,123.78339288
1979-08,128.67976589
1979-09,130.65316204
1979-10,120.61227733
1979-11,124.23848586
1979-12,126.96486977
1980-01,134.31025658
1980-02,134.38263714
1980-03,121.08287047
1980-04,128.24474278
1980-05,134.28668563
1980-06,140.26518192
1980-07,144.76264765
1980-08,147.43629577
1980-09,151.6395139
1980-10,155.47497711
1980-11,163.18621891
1980-12,159.81018072
1981-01,155.96179434
1981-02,156.6504297
1981-03,162.65210945
1981-04,163.07880926
1981-05,159.50959449
1981-06,159.21715525
1981-07,157.17611839
1981-08,153.94024529
1981-09,142.60053761
1981-10,147.00559823
1981-11,157.42338685
1981-12,154.00612539
1982-01,152.34280562
1982-02,143.60390225
1982-03,139.85598553
1982-04,146.43870081
1982-05,142.32180329
1982-06,136.68506098
1982-07,134.92311843
1982-08,145.97738212
1982-09,146.72285195
1982-10,157.70729041
1982-11,166.27570301
1982-12,172.96487177
1983-01,175.7955283
1983-02,179.66786826
1983-03,186.16048585
1983-04,199.24931066
1983-05,197.30661659
1983-06,203.73311503
1983-07,198.97876028
1983-08,200.36495422
1983-09,205.19519499
1983-10,202.93336365
1983-11,207.67222497
1983-12,209.96058246
1984-01,210.99950295
1984-02,206.47397627
1984-03,217.1275102
1984-04,216.5716839
1984-05,200.25156243
1984-06,202.73699345
1984-07,196.08173739
1984-08,216.07197559
1984-09,215.43929104
1984-10,218.21731342
1984-11,217.34790457
1984-12,222.82384947
1985-01,234.9130474
1985-02,236.32381019
1985-03,243.86779014
1985-04,242.57898227
1985-05,255.92998064
1985-06,260.61439196
1985-07,264.32678045
1985-08,266.77513034
1985-09,268.23226809
1985-10,282.10500731
1985-11,297.77931144
1985-12,312.07672545
1986-01,316.20254366
1986-02,345.79512579
1986-03,381.45750275
1986-04,389.86117849
1986-05,389.82622705
1986-06,406.2457555
1986-07,410.66299385
1986-08,445.45662847
1986-09,425.52365315
1986-10,416.10122042
1986-11,433.31473277
1986-12,441.24263588
1987-01,496.88704208
1987-02,512.24374045
1987-03,544.20898314
1987-04,577.91423484
1987-05,578.26093263
1987-06,574.99398123
1987-07,582.06632598
1987-08,617.31042539
1987-09,604.36663623
1987-10,509.07165332
1987-11,496.61184505
1987-12,518.16453738
1988-01,532.63715791
1988-02,564.38871671
1988-03,579.38471942
1988-04,586.20044647
1988-05,572.51007361
1988-06,571.43521169
1988-07,582.59356538
1988-08,549.81753088
1988-09,574.64325812
1988-10,611.82289189
1988-11,634.36022028
1988-12,640.02510987
1989-01,663.01851749
1989-02,659.48482374
1989-03,653.43752982
1989-04,667.61687646
1989-05,652.55667178
1989-06,642.08010967
1989-07,716.13554061
1989-08,696.32690353
1989-09,716.01199564
1989-10,692.42387768
1989-11,720.82808246
1989-12,741.20413341
1990-01,702.79777802
1990-02,670.63576138
1990-03,625.85361412
1990-04,617.30167249
1990-05,683.83901765
1990-06,675.77656795
1990-07,678.21201818
1990-08,614.43918216
1990-09,550.23792729
1990-10,605.44552055
1990-11,595.35144849
1990-12,609.55217846
1991-01,631.04801229
1991-02,689.40225774
1991-03,668.58091228
1991-04,674.44185381
1991-05,689.06948681
1991-06,645.28288394
1991-07,675.40119104
1991-08,673.2751415
1991-09,691.72486191
1991-10,703.7539206
1991-11,670.36918977
1991-12,720.6570294
1992-01,704.40137403
1992-02,689.54094953
1992-03,653.77918681
1992-04,661.97212168
1992-05,685.45615784
1992-06,659.85124234
1992-07,663.39878085
1992-08,684.6209423
1992-09,677.92493563
1992-10,660.85274518
1992-11,674.71642175
1992-12,679.30235272
1993-01,680.07299126
1993-02,695.13575924
1993-03,736.61121949
1993-04,771.76924559
1993-05,787.39748687
1993-06,781.74747914
1993-07,798.72963582
1993-08,830.73709381
1993-09,811.06092753
1993-10,823.2344507
1993-11,773.00431576
1993-12,798.79872938
1994-01,856.09938844
1994-02,849.59134172
1994-03,815.80002427
1994-04,840.25463933
1994-05,842.15232334
1994-06,842.64439134
1994-07,855.07797436
1994-08,878.97002407
1994-09,854.68269876
1994-10,878.48905802
1994-11,841.7878928
1994-12,850.93732179
1995-01,841.17943057
1995-02,847.17214116
1995-03,891.5004987
1995-04,922.51534283
1995-05,924.61582368
1995-06,922.58694763
1995-07,969.6601421
1995-08,950.05489553
1995-09,975.01312357
1995-10,958.52580647
1995-11,994.56050767
1995-12,1023.19647555
1996-01,1042.58416743
1996-02,1044.26786013
1996-03,1059.40597817
1996-04,1087.59213766
1996-05,1087.87834962
1996-06,1092.85810069
1996-07,1053.24347423
1996-08,1059.61305646
1996-09,1106.12917302
1996-10,1110.49079952
1996-11,1174.31199048
1996-12,1149.02965799
1997-01,1164.32676951
1997-02,1177.72261336
1997-03,1148.07982048
1997-04,1194.98246275
1997-05,1267.73947368
1997-06,1329.9411634
1997-07,1397.01458634
1997-08,1310.52642059
1997-09,1374.85202506
1997-10,1312.43554964
1997-11,1338.95884518
1997-12,1352.81153008
1998-01,1394.37885932
1998-02,1478.34717018
1998-03,1541.23500327
1998-04,1556.31942714
1998-05,1533.00257014
1998-06,1578.61136618
1998-07,1567.35573457
1998-08,1362.93635895
1998-09,1399.30817358
1998-10,1517.75301451
1998-11,1610.9236785
1998-12,1691.07852673
1999-01,1738.40434986
1999-02,1691.52056691
1999-03,1769.7183879
1999-04,1836.38920692
1999-05,1773.11529699
1999-06,1860.15489449
1999-07,1848.4719583
1999-08,1844.00515418
1999-09,1826.4315904
1999-10,1925.51557115
1999-11,1973.73837755
1999-12,2128.62456873082
2000-01,2012.7444878758472
2000-02,2002.8679385757218
2000-03,2157.0263162876768
2000-04,2062.129291261045
2000-05,2007.8683242072389
2000-06,2072.313064196557
2000-07,2013.746637012653
2000-08,2091.8980503975213
2000-09,1980.8351376483495
2000-10,1951.4292583560944
2000-11,1818.7511505294776
2000-12,1833.509293161264
2001-01,1873.4572264810245
2001-02,1714.3296958701162
2001-03,1610.5272369896998
2001-04,1730.0541644504922
2001-05,1713.6600648603883
2001-06,1662.3235428324708
2001-07,1638.5300288541607
2001-08,1553.280700346296
2001-09,1420.5417126460752
2001-10,1443.6522701870183
2001-11,1528.5750382027236
2001-12,1533.1908603815007
2002-01,1490.453498650445
2002-02,1475.110203315953
2002-03,1538.504822296344
2002-04,1479.9036779028559
2002-05,1479.2167136334456
2002-06,1384.5293028696078
2002-07,1275.1924825551364
2002-08,1275.4463156179231
2002-09,1134.96342510819
2002-10,1216.3061129724501
2002-11,1281.4439057858244
2002-12,1218.3817491720931
2003-01,1180.5042782734683
2003-02,1163.5603574463178
2003-03,1159.512976591266
2003-04,1257.1507718336093
2003-05,1328.6750537616824
2003-06,1352.7372388145795
2003-07,1378.640039715679
2003-08,1409.082546753697
2003-09,1414.2577550240253
2003-10,1498.1972405715146
2003-11,1516.9820483204742
2003-12,1608.228742691371
2004-01,1631.1739639451841
2004-02,1655.0022509935811
2004-03,1649.064315127054
2004-04,1616.3565689151876
2004-05,1631.2607267768992
2004-06,1666.369769526747
2004-07,1610.674435767591
2004-08,1616.4428281303108
2004-09,1640.0979171727479
2004-10,1675.9716334824036
2004-11,1756.0614802231435
2004-12,1821.9938147446665
2005-01,1779.9323622988916
2005-02,1829.5197581038187
2005-03,1798.5661524610225
2005-04,1758.4528125993345
2005-05,1793.038995679016
2005-06,1804.2561348829393
2005-07,1865.8772077216329
2005-08,1880.3866567289847
2005-09,1925.4220648407443
2005-10,1881.0978666645306
2005-11,1945.7509266381494
2005-12,1985.1784503569206
2006-01,2068.2989126160974
2006-02,2062.655689825001
2006-03,2104.262930820611
2006-04,2158.128841658524
2006-05,2088.331304976451
2006-06,2087.768432209312
2006-07,2097.092470215688
2006-08,2148.5021949170823
2006-09,2172.7862398078005
2006-10,2248.38880783748
2006-11,2296.9013998771716
2006-12,2336.2183764257047
2007-01,2362.870305534955
2007-02,2349.685968173361
2007-03,2382.1097598088477
2007-04,2479.329184364963
2007-05,2554.905068127749
2007-06,2533.457610760358
2007-07,2467.7516019217555
2007-08,2473.432976108235
