Date,AC FAR EAST ex JP ESG UNIVERSAL ex TC
2013-05,1000.0
2013-06,946.9082895493414
2013-07,970.2692900795754
2013-08,958.6653076075628
2013-09,1010.2511867860005
2013-10,1047.8303115886752
2013-11,1049.6705856126443
2013-12,1036.2997693632033
2014-01,984.452347683209
2014-02,1018.6692294301193
2014-03,1023.4324144248075
2014-04,1035.6833637069426
2014-05,1071.3787660276803
2014-06,1094.3875083927041
2014-07,1138.2552281315338
2014-08,1143.1657028072516
2014-09,1075.8522529534557
2014-10,1097.3662112362856
2014-11,1101.0984493097874
2014-12,1080.1035298319728
2015-01,1106.6012404188448
2015-02,1127.9746593439588
2015-03,1139.2722058862992
2015-04,1225.0223035245003
2015-05,1187.9085955852495
2015-06,1145.045584863289
2015-07,1068.9278796261997
2015-08,965.3259334104494
2015-09,946.8996720600294
2015-10,1029.7291482025432
2015-11,1000.9502761294863
2015-12,996.6405505683313
2016-01,927.3149956962502
2016-02,926.2540846294746
2016-03,1027.5158746337129
2016-04,1015.784374715519
2016-05,1001.5002096725802
2016-06,1033.8696478215843
2016-07,1084.2747761507294
2016-08,1120.0667520727877
2016-09,1139.133745678117
2016-10,1119.9582827402471
2016-11,1093.3480947060434
2016-12,1073.3094109407157
2017-01,1139.7935759436693
2017-02,1176.4838804309745
2017-03,1213.8372601568258
2017-04,1236.1231964963752
2017-05,1294.2304484979884
2017-06,1317.0343977822079
2017-07,1378.1270314077178
2017-08,1398.7172888433674
2017-09,1399.1106584693791
2017-10,1461.2245275484217
2017-11,1482.4889302356676
2017-12,1524.1890104572706
2018-01,1639.973590332048
2018-02,1568.6262630840927
2018-03,1549.1046450644644
2018-04,1557.5587599045891
2018-05,1528.8281519277682
2018-06,1448.405657908967
2018-07,1459.3415867477136
2018-08,1446.5410985123592
2018-09,1443.8273948228907
2018-10,1288.1189244131806
2018-11,1342.5075121785271
2018-12,1305.2509822757524
2019-01,1412.0592404105732
2019-02,1447.5028078119767
2019-03,1460.692220395171
2019-04,1494.1893743248818
2019-05,1360.943715262677
2019-06,1463.847880419173
2019-07,1444.5986449203856
2019-08,1377.4488280440326
2019-09,1399.2641047665281
2019-10,1466.3369162231759
2019-11,1469.7821203788312
2019-12,1570.2735080694704
2020-01,1494.2472787122203
2020-02,1454.7179949897704
2020-03,1293.1065084754416
2020-04,1403.5314426694506
2020-05,1387.0838666908894
2020-06,1502.6415844695266
2020-07,1609.5472929657924
2020-08,1656.6061443489455
2020-09,1621.7684850576197
2020-10,1664.598741211529
2020-11,1826.5850004709068
2020-12,1955.9842639718554
2021-01,2036.820272190472
2021-02,2062.895017559806
2021-03,2017.2966683296108
2021-04,2076.6334975707564
2021-05,2088.9532933133146
2021-06,2087.421811503469
2021-07,1928.8013430228227
2021-08,1950.0175024908647
2021-09,1857.169675754815
2021-10,1891.2811488480065
2021-11,1818.508475
2021-12,1835.9823182341843
2022-01,1783.0579518346283
2022-02,1742.0629149972406
2022-03,1687.2042445868378
2022-04,1599.1538861204729
2022-05,1620.6404860489713
2022-06,1567.2224347205213
2022-07,1512.8940361336745
2022-08,1502.1372494552477
2022-09,1297.9188216427685
2022-10,1194.6534286683677
2022-11,1455.9974440076774
2022-12,1478.0059572619975
2023-01,1621.9012919877996
2023-02,1501.868250277411
2023-03,1556.0012002797664
2023-04,1509.763809447073
2023-05,1463.3705080231205
2023-06,1497.3163144493524
2023-07,1605.1536919171062
