Date,AC EUROPE VALUE
2000-12,100.0
2001-01,101.30268406668233
2001-02,94.38936204677532
2001-03,88.3060004484195
2001-04,94.21926071746688
2001-05,90.47801131362826
2001-06,87.51789254239291
2001-07,88.03964056734223
2001-08,87.12852304756599
2001-09,77.67934440431512
2001-10,79.4061793185979
2001-11,82.238051007658
2001-12,84.45336845016936
2002-01,79.73691548839858
2002-02,79.07484294997253
2002-03,84.81532209782272
2002-04,84.51493799909895
2002-05,85.42820625851792
2002-06,80.99869286882472
2002-07,72.57287480052719
2002-08,73.07382711357452
2002-09,61.17998714784135
2002-10,67.5243685739107
2002-11,72.69596653404955
2002-12,69.10982883320635
2003-01,66.14321378910326
2003-02,63.896770378484696
2003-03,62.435152276307576
2003-04,71.72971670608216
2003-05,77.31117141428176
2003-06,78.60757438124266
2003-07,81.52947971507648
2003-08,82.0628179846082
2003-09,82.95478295388071
2003-10,88.97636511091831
2003-11,92.4620420559564
2003-12,101.05017005609692
2004-01,101.63892821803134
2004-02,104.79112728245725
2004-03,102.08622507350343
2004-04,101.5886568100994
2004-05,103.26963824607118
2004-06,105.34075641432344
2004-07,103.01914182870233
2004-08,103.67739427073496
2004-09,108.07314765542672
2004-10,112.21070283389827
2004-11,120.69543657345949
2004-12,126.26531232529815
2005-01,124.57649806531698
2005-02,131.47417220450194
2005-03,127.71952186700854
2005-04,123.38577242235274
2005-05,123.65658273010939
2005-06,126.44420869054015
2005-07,131.1721701555159
2005-08,133.23268903123272
2005-09,137.39586378788135
2005-10,132.66982884677205
2005-11,136.8843958046564
2005-12,141.53056704066458
2006-01,151.53972233706807
2006-02,152.89543042995567
2006-03,157.7594889236763
2006-04,165.9413857192373
2006-05,160.93730780356768
2006-06,161.46784067895433
2006-07,165.004037607947
2006-08,170.3325691600643
2006-09,172.96709094632922
2006-10,181.45764328336
2006-11,187.70963901278026
2006-12,193.63454587178364
2007-01,193.86637630515946
2007-02,192.65151208356235
2007-03,197.97437211583238
2007-04,211.1850355889253
2007-05,214.62544756594795
2007-06,215.43526990228153
2007-07,210.29463690187066
2007-08,206.43886926287354
2007-09,215.77395676040527
2007-10,226.54058514451793
2008-10,107.71455729699731
2016-11,151.95380465483197
2016-12,162.12056533386618
2017-01,164.5867086543613
2017-02,164.2930803458985
2017-03,171.55886273634795
2017-04,176.900278194077
2017-05,183.76219104107156
2017-06,182.73313857625433
2017-07,189.5558084994647
2017-08,189.01742597031154
2017-09,195.98275653250795
2017-10,195.7238183235318
2017-11,196.717668773068
2017-12,199.58392830747292
2018-01,212.29963528858306
2018-02,200.03191218514408
2018-03,196.11063126361927
2018-04,202.9944595697979
2018-05,191.56527133423842
2018-06,190.12748335801956
2018-07,196.83556650283614
2018-08,187.12440875859735
2018-09,190.92819837538065
2018-10,178.69229768004215
2018-11,176.79243892339747
2018-12,168.3342383374256
2019-01,179.74403129505805
2019-02,184.5153983150851
2019-03,182.97018841926246
2019-04,188.82235257776966
2019-05,175.9448479267729
2019-06,186.73712760540207
2019-07,181.63280563887736
2019-08,173.51115290010245
2019-09,182.3460721357415
2019-10,189.0569470041279
2019-11,190.4280416326995
2019-12,199.00918115619373
2020-01,190.23627248886336
2020-02,170.3997935589435
2020-03,137.21865327936464
2020-04,143.62060535311227
2020-05,148.481806256802
2020-06,155.97584000535326
2020-07,158.2065824032265
2020-08,165.2146201529274
2020-09,156.27819253897562
2020-10,147.05671179857228
2020-11,180.68627594403918
2020-12,188.48849571163487
