Date,ACWI WITH PARTIAL A SHARES
2008-11,1036.277126067318
2008-12,1073.818594409943
2009-01,982.1349364087976
2009-02,886.0257220837489
2009-03,959.0260839195706
2009-04,1072.1865683379547
2009-05,1178.9779371062093
2009-06,1172.5122459499682
2009-07,1275.8063051212466
2009-08,1321.119656601783
2009-09,1381.7600336426897
2009-10,1360.5076067035852
2009-11,1416.493365194458
2009-12,1445.827503393838
2010-01,1383.3098969362793
2010-02,1400.9874197980282
2010-03,1491.095625513137
2010-04,1493.5749146631924
2010-05,1351.9363239897982
2010-06,1310.3050446785999
2010-07,1416.9695252659963
2010-08,1367.448469196533
2010-09,1498.2065558302447
2010-10,1552.4613816373958
2010-11,1517.9514808665356
2010-12,1629.0120137255099
2011-01,1654.5308122539861
2011-02,1702.6893983071238
2011-03,1700.9750929608076
2011-04,1770.5551034403536
2011-05,1732.5451150913239
2011-06,1705.2844361576017
2011-07,1677.543032055977
2011-08,1555.024588683269
2011-09,1408.2069804455634
2011-10,1559.0284065878982
2011-11,1512.3259841473434
2011-12,1509.259699166282
2012-01,1596.9655520226245
2012-02,1677.3081921181963
2012-03,1688.3839584683162
2012-04,1669.1486771190553
2012-05,1519.5615914675016
2012-06,1594.524294475288
2012-07,1616.2907836302224
2012-08,1651.3552019438073
2012-09,1703.396049798725
2012-10,1692.051665549231
2012-11,1713.638298651877
2012-12,1752.7186927269854
2013-01,1833.4858803142859
2013-02,1833.1649253143823
2013-03,1866.5144389464801
2013-04,1919.785858699255
2013-05,1914.6945007941351
2013-06,1858.4531322751925
2013-07,1947.3346452261803
2013-08,1906.9347983882453
2013-09,2005.4036785088938
2013-10,2085.940564299747
2013-11,2115.561537392236
2013-12,2151.993488176354
2014-01,2065.932512411116
2014-02,2165.5633216087326
2014-03,2175.064859305482
2014-04,2195.6700838080314
2014-05,2242.363165400615
2014-06,2284.6344921653563
2014-07,2257.1998987386664
2014-08,2307.0425897356427
2014-09,2232.33343187107
2014-10,2248.1166625635014
2014-11,2285.8813276339547
2014-12,2242.234970266095
2015-01,2207.1874453451046
2015-02,2329.913336030572
2015-03,2294.493448711321
2015-04,2362.317434842205
2015-05,2359.3876911919783
2015-06,2303.3583604456558
2015-07,2322.47050536158
2015-08,2162.862251570146
2015-09,2084.5694549480586
2015-10,2248.323571701157
2015-11,2229.727357376022
2015-12,2189.539424147658
2016-01,2056.2226569936847
2016-02,2042.1019909538702
2016-03,2193.893023262481
2016-04,2226.1137676253834
2016-05,2228.9327901080937
2016-06,2215.4758361528297
2016-07,2310.8777577943824
2016-08,2319.027512439969
2016-09,2333.1871292339283
2016-10,2293.6415684749863
2017-04,2563.272786
2017-05,2619.822758
2017-06,2631.908417
2017-07,2705.612514
2017-08,2716.213234
2017-09,2768.67278
2017-10,2826.226688
2017-11,2880.595061
2017-12,2927.197874
2018-01,3092.714548
2018-02,2962.622411
2018-03,2899.3486611844646
2018-04,2926.876798438933
2018-05,2930.7153282289773
2018-06,2914.6378194950357
2018-07,3002.4344993991567
2018-08,3025.894977597412
2018-09,3039.057493659251
2018-10,2811.2938030996793
2018-11,2852.4205818640467
2018-12,2651.525814160248
2019-01,2860.8773655787986
2019-02,2937.4719559143637
2019-03,2974.4539805935783
2019-04,3074.8489971889576
2019-05,2892.448532101678
2019-06,3081.8122484581536
2019-07,3090.8170268606104
2019-08,3017.6064030025677
2019-09,3081.189978282747
2019-10,3165.4796349669805
2019-11,3243.041125920781
2019-12,3356.7019110300757
2020-01,3319.762366683831
2020-02,3050.6748200278707
2020-03,2638.042967061847
2020-04,2921.0843175946884
2020-05,3048.898905550525
2020-06,3145.4224814755767
2020-07,3310.469919315629
2020-08,3513.2761985639736
2020-09,3400.153193036745
2020-10,3316.628310539464
2020-11,3726.43542095933
2020-12,3898.871585222482
