Date,ACWI ex SPAIN
1998-12,1000.0
1999-01,1020.27562018988
1999-02,994.0281352568642
1999-03,1040.5126104576725
1999-04,1085.6476599969399
1999-05,1047.2560308166167
1999-06,1100.1576535421307
1999-07,1095.4815521411049
1999-08,1093.786318861203
1999-09,1081.7694298303845
1999-10,1136.2748104482205
1999-11,1170.3768575582928
1999-12,1267.6949122296128
2000-01,1198.8033217757318
2000-02,1201.0726400137457
2000-03,1281.359848224922
2000-04,1224.0779477686012
2000-05,1192.879364755761
2000-06,1233.0156247795683
2000-07,1195.9711052023713
2000-08,1234.1514597441878
2000-09,1164.9661982480463
2000-10,1142.331266779809
2000-11,1071.3822692332362
2000-12,1087.8021318282388
2001-01,1114.2012442603836
2001-02,1019.8941893434769
2001-03,950.7367331202596
2001-04,1019.9072877114676
2001-05,1008.7542199651417
2001-06,977.8288484552971
2001-07,962.3493348772057
2001-08,917.0201709398443
2001-09,833.3220892787446
2001-10,850.6089086783943
2001-11,902.6004196690317
2001-12,910.9911043064302
2002-01,886.4174658912866
2002-02,879.3941910561261
2002-03,919.0540777226302
2002-04,888.9064573249171
2002-05,889.559304435585
2002-06,835.2835330270092
2002-07,765.2717165463199
2002-08,766.5851806781936
2002-09,682.7542228969901
2002-10,732.226459206304
2002-11,771.582060947709
2002-12,734.5394068348817
2003-01,712.5006931529201
2003-02,699.4324466593511
2003-03,696.4464065944941
2003-04,757.6589295200351
2003-05,801.3380763733526
2003-06,816.1767468634754
2003-07,834.0867542766016
2003-08,854.0560358194738
2003-09,859.3839541457056
2003-10,911.1746307363825
2003-11,924.3555773733889
2003-12,981.8838192169103
2004-01,998.5670311169252
2004-02,1016.3216611855955
2004-03,1011.0538237183501
2004-04,987.1172530731831
2004-05,994.8324592666171
2004-06,1014.6172889314341
2004-07,982.0404014442632
2004-08,988.0913566876839
2004-09,1008.338673398244
2004-10,1032.0747356845955
2004-11,1087.8522779354328
2004-12,1129.4105159843805
2005-01,1105.5351242549182
2005-02,1143.816280995675
2005-03,1118.8447883244035
2005-04,1094.350651646916
2005-05,1115.05872140078
2005-06,1126.1908658263965
2005-07,1167.680860861252
2005-08,1176.6949142946107
2005-09,1211.4934130284532
2005-10,1179.0462700171427
2005-11,1222.806967254764
2005-12,1253.0368928057717
2006-01,1314.3975703420647
2006-02,1311.644604024809
2006-03,1339.2604482594163
2006-04,1383.5682500498428
2006-05,1328.6868017425209
2006-06,1327.8097440402512
2006-07,1336.3205315497796
2006-08,1370.7905315195312
2006-09,1385.7895592396546
2006-10,1436.8829640040992
2006-11,1477.015578400085
2006-12,1510.1306080581894
2007-01,1524.894709055524
2007-02,1516.8740417803886
2007-03,1547.0193123714678
2007-04,1616.6060819571208
2007-05,1663.8882074521343
2007-06,1659.654181236936
2007-07,1633.3038683777
2007-08,1629.316837748796
2007-09,1716.8025799319482
2007-10,1781.5052662464375
2007-11,1701.1624554249092
2007-12,1683.0549186605926
2008-01,1546.3986407440223
2008-02,1550.3214496017604
2008-03,1525.679305565917
2008-04,1611.5270733974376
2008-05,1637.4816559765002
2008-06,1503.6882594708834
2008-07,1464.2090870002712
2008-08,1433.9246323305508
2008-09,1254.1073833880835
2008-10,1006.8227988135749
2008-11,939.8579846514995
2008-12,972.3467203918016
2009-01,890.5007649796844
2009-02,803.4398908058605
2009-03,869.7391904867306
2009-04,971.6830446299298
2009-05,1068.02035115218
2009-06,1061.1570430979489
2009-07,1153.5263599099324
2009-08,1194.1988752238076
2009-09,1248.8521268643738
2009-10,1229.3765048976734
2009-11,1279.87369072697
2009-12,1307.4568036888688
2010-01,1252.8214431950785
2010-02,1270.6607869682698
2010-03,1353.0004789114532
2010-04,1356.3419810831972
2010-05,1229.1790913484963
2010-06,1190.8375719371122
2010-07,1285.4604476281752
2010-08,1240.9229759012203
2010-09,1359.4470047457382
2010-10,1408.3580020484535
2010-11,1381.0075695369385
2010-12,1481.7303225524024
2011-01,1502.6841577599896
2011-02,1546.8998569078349
2011-03,1545.5034845501093
2011-04,1607.887460054026
2011-05,1574.1331933948334
2011-06,1549.0379230115436
2011-07,1525.0893409657072
2011-08,1413.9471253313438
2011-09,1280.2125477467882
2011-10,1417.7184607249126
2011-11,1376.2657134121043
2011-12,1373.7891626607059
2012-01,1454.457620743072
2012-02,1528.1881050239751
2012-03,1539.5054068440918
2012-04,1523.7630969691447
2012-05,1388.3269711617907
2012-06,1455.02264721799
2012-07,1476.1365372441414
2012-08,1506.8032465710073
2012-09,1553.8721629154913
2012-10,1542.9251556639326
2012-11,1562.5645796501365
2012-12,1597.5616435983786
2013-01,1670.7865715062887
2013-02,1671.6388523956227
2013-03,1703.6320925926398
2013-04,1751.0165280135593
2013-05,1746.7159187256445
2013-06,1696.4806973888776
2013-07,1776.3013545460356
2013-08,1739.3709019325595
2013-09,1827.449976839805
2013-10,1899.7389956102634
2013-11,1927.061339678127
2013-12,1960.1741457681853
2014-01,1881.2676769846278
2014-02,1972.2425300441641
2014-03,1980.519442481689
2014-04,1998.83977485459
2014-05,2041.2821676620047
2014-06,2079.779804633854
2014-07,2055.1164714907204
2014-08,2101.482648966843
2014-09,2033.2975840670704
2014-10,2048.834067583642
2014-11,2082.7732988217604
2014-12,2043.9768167057694
2015-01,2013.221637887451
2015-02,2124.927768194403
2015-03,2091.8051636203154
2015-04,2152.348398748388
2015-05,2150.395924024899
2015-06,2099.714731796489
2015-07,2117.2247201784635
2015-08,1972.1879479551026
2015-09,1901.7209136789968
2015-10,2051.1337277184866
2015-11,2034.8778605866569
2015-12,1999.0912933909651
