Date,JORDAN + EGYPT + MOROCCO
2005-05,780.285567
2005-06,857.4144358
2005-07,877.2398105
2005-08,895.7893668
2005-09,966.264792
2005-10,975.3920537
2005-11,1000.0
2005-12,1044.916251666314
2006-01,1261.698610598555
2006-02,1170.6012247567742
2006-03,1137.295123013635
2006-04,1165.2622191402525
2006-05,1016.4151675796984
2006-06,932.7618092356186
2006-07,1018.4585947477204
2006-08,1114.7548706979933
2006-09,1137.4724043498459
2006-10,1157.6638972899489
2006-11,1155.423445862676
2006-12,1218.557414089061
2007-01,1231.2509466155664
2007-02,1308.4878470029398
2007-03,1326.5885788960934
2007-04,1382.7042744272876
2007-05,1421.1309649452953
2007-06,1409.3836228207758
2007-07,1466.6476287186388
2007-08,1417.9197459089446
2007-09,1560.661563533667
2007-10,1680.7604853734638
2007-11,1719.3504736513012
2007-12,1844.6397423869082
2008-01,1870.6781299010238
2008-02,2041.0612639351918
2008-03,2088.335311302626
2008-04,2144.3742807895765
2008-05,2072.1364362527
2008-06,1961.282918035318
2008-07,1896.0338338626245
2008-08,1748.7801200680158
2008-09,1477.720498737903
2008-10,1123.3944658496525
2008-11,990.5245420239912
2008-12,1093.2155051182165
2009-01,934.653369970335
2009-02,937.6744271661556
2009-03,986.5110806370449
2009-04,1126.2177162165729
2009-05,1220.5029000252425
2009-06,1239.6239310581304
2009-07,1273.9421476867371
2009-08,1346.1033679347515
2009-09,1355.2233598239395
2009-10,1389.0727767481878
2009-11,1228.0585448868515
2009-12,1279.1940161925343
2010-01,1352.3692693741173
2010-02,1355.1651401581528
2010-03,1392.301734844998
2010-04,1496.1204234586949
2010-05,1334.1313012878632
2010-06,1248.9402005154157
2010-07,1310.5970812446592
2010-08,1305.8000338840345
2010-09,1363.4731344007268
2010-10,1370.3338334123268
2010-11,1340.924059132587
2010-12,1425.9462456193169
2011-01,1223.1601627036755
2011-02,1229.8878957797708
2011-03,1200.0988050852184
2011-04,1145.9497164233003
2011-05,1233.6407554176153
2011-06,1183.935650323317
