Date,AC AP WITH PARTIAL A SHARES
2008-11,1033.354698358447
2008-12,1120.649079568125
2009-01,1040.6804399924295
2009-02,943.560074786815
2009-03,1021.3045929934599
2009-04,1148.6158466907632
2009-05,1291.418806075043
2009-06,1308.8215954487835
2009-07,1421.3633848113627
2009-08,1442.8610384695455
2009-09,1507.4482780687165
2009-10,1488.8012363447563
2009-11,1506.5736077780687
2009-12,1543.0099303283537
2010-01,1496.9072366864734
2010-02,1515.4720002240058
2010-03,1613.0678278868165
2010-04,1624.2068882890358
2010-05,1468.005493267178
2010-06,1461.288689020331
2010-07,1546.2736053721303
2010-08,1516.6743595179862
2010-09,1651.6780587079866
2010-10,1692.6316809379862
2010-11,1685.923994460524
2010-12,1805.4077016190024
2011-01,1791.8987641663336
2011-02,1806.2387571114373
2011-03,1792.6343966882807
2011-04,1843.3974882889454
2011-05,1805.8525805678637
2011-06,1792.8220132233766
2011-07,1819.854981694538
2011-08,1668.0306156889253
2011-09,1518.3940916017525
2011-10,1634.8021157528372
2011-11,1527.7136368563258
2011-12,1532.8737388381335
2012-01,1655.1075249266003
2012-02,1740.452447613668
2012-03,1716.3969112892962
2012-04,1700.7830297465591
2012-05,1533.6213090274293
2012-06,1600.939088444212
2012-07,1623.659554406538
2012-08,1615.5842603960766
2012-09,1689.467645686791
2012-10,1683.1372119157688
2012-11,1722.4152946483996
2012-12,1790.109104777453
2013-01,1844.5771001867795
2013-02,1872.9058296926173
2013-03,1887.097022614273
2013-04,1979.479705343904
2013-05,1885.4297305835878
2013-06,1829.37799309507
2013-07,1856.2346293058768
2013-08,1832.4168494531036
2013-09,1958.6775332653797
2013-10,2012.3925472807025
2013-11,2012.5977561165823
2013-12,2003.9628798501624
2014-01,1912.3861523095989
2014-02,1958.3286996704533
2014-03,1968.3348883524418
2014-04,1960.2789205784402
2014-05,2029.5289517745427
2014-06,2091.59884912609
2014-07,2141.791137552499
2014-08,2133.699704121572
2014-09,2033.2445069702364
2014-10,2056.3148653509334
2014-11,2043.674066730228
2014-12,2008.1222483863703
2015-01,2044.0148362775371
2015-02,2131.945734490717
2015-03,2144.5499631699963
2015-04,2255.284716596771
2015-05,2232.1881229154014
2015-06,2162.496945555809
2015-07,2099.5748705793826
2015-08,1923.635475120811
2015-09,1841.973540871483
2015-10,2001.439261673978
2015-11,1964.3771336728198
2015-12,1969.392431323674
2016-01,1806.9910912372652
2016-02,1777.177981257936
2016-03,1933.28277993996
2016-04,1967.845576014034
2016-05,1942.1608105211055
2016-06,1946.6292633335675
2016-07,2061.5337457514397
2016-08,2091.726628493831
2016-09,2126.9757443973353
2016-10,2116.852479632784
2017-04,2287.540524
2017-05,2351.15574
2017-06,2387.866543
2017-07,2482.420578
2017-08,2498.576448
2017-09,2513.028546
2017-10,2619.934476
2017-11,2658.688789
2017-12,2716.441443
2018-01,2878.125297
2018-02,2776.183237
2018-03,2716.4173046224805
2018-04,2739.3595749176916
2018-05,2716.1982551057863
2018-06,2626.203937119894
2018-07,2647.4661206379897
2018-08,2630.737535519745
2018-09,2638.6047654046843
2018-10,2386.3843727240833
2018-11,2454.6118830941427
2018-12,2349.313863795943
2019-01,2509.7886921982786
2019-02,2546.0056589618025
2019-03,2576.3740888030247
2019-04,2618.391541510172
2019-05,2465.0151845593145
2019-06,2597.372909859902
2019-07,2576.763451155001
2019-08,2496.2291641797847
2019-09,2562.5882886530385
2019-10,2674.2876393951624
2019-11,2687.6079726543016
2019-12,2804.045133233728
2020-01,2723.886107132701
2020-02,2556.000173513292
2020-03,2258.039785092731
2020-04,2443.1068260846564
2020-05,2492.542013836427
2020-06,2617.937783619388
2020-07,2730.968161039787
2020-08,2869.8465826309907
2020-09,2838.1779588993486
2020-10,2865.643030891815
2020-11,3161.907027521461
2020-12,3343.7286899469036
