Date,ACWI ex BELGIUM
1998-12,1000.0
1999-01,1020.1880416283617
1999-02,994.2058081607336
1999-03,1040.3054698840667
1999-04,1085.458923940724
1999-05,1047.6008963538263
1999-06,1100.0896078131284
1999-07,1094.7937272210083
1999-08,1093.1375332068865
1999-09,1081.1997475970322
1999-10,1135.48583539166
1999-11,1170.6427184087265
1999-12,1267.6703034896395
2000-01,1199.1610446429531
2000-02,1203.0521386622306
2000-03,1282.6144117200345
2000-04,1224.7524812771717
2000-05,1193.1432742259847
2000-06,1233.0449138035692
2000-07,1195.9424305427185
2000-08,1233.5051642771687
2000-09,1165.2896175089213
2000-10,1141.8164372474425
2000-11,1070.635562882038
2000-12,1087.6210207483143
2001-01,1115.2457298009442
2001-02,1020.9030120988403
2001-03,951.9532768429578
2001-04,1021.214080385747
2001-05,1009.3745340442786
2001-06,977.6639636101946
2001-07,962.0142154788682
2001-08,917.2163210557229
2001-09,833.234247078692
2001-10,851.0020928410393
2001-11,903.1910685548912
2001-12,911.2938286016346
2002-01,886.2416372065892
2002-02,879.4730268111742
2002-03,918.9488504945756
2002-04,889.1848249198989
2002-05,889.7801396128723
2002-06,834.9943219336008
2002-07,764.9729986533318
2002-08,766.6591578842533
2002-09,682.4981664911776
2002-10,732.519644662883
2002-11,772.3606913640542
2002-12,735.072678083627
2003-01,713.4908903923147
2003-02,700.9941358526461
2003-03,697.9845433301065
2003-04,759.6140594342629
2003-05,803.174027393981
2003-06,818.2720684341293
2003-07,836.1731185640897
2003-08,855.8603264328567
2003-09,860.8980602584048
2003-10,912.9172555305375
2003-11,926.4890572129467
2003-12,984.8888014514243
2004-01,1001.4067339148016
2004-02,1019.4234175002032
2004-03,1013.7919258747461
2004-04,989.8526538606714
2004-05,997.4580301095008
2004-06,1017.1465117681375
2004-07,984.525028333427
2004-08,990.330404777224
2004-09,1010.61674874852
2004-10,1035.1278113318206
2004-11,1091.4906878123359
2004-12,1133.65827053737
2005-01,1109.6084722639362
2005-02,1147.9328469109364
2005-03,1122.558829981108
2005-04,1097.852171254251
2005-05,1118.581654445685
2005-06,1129.9246612340035
2005-07,1171.6768816762792
2005-08,1180.541646896973
2005-09,1216.1707473453698
2005-10,1183.3983390614296
2005-11,1226.5708712771636
2005-12,1256.622925026517
2006-01,1318.349436658008
2006-02,1316.3208736770878
2006-03,1344.0233763377719
2006-04,1388.604604288088
2006-05,1333.8214071219525
2006-06,1333.3210330915856
2006-07,1342.263609080293
2006-08,1376.9011432354957
2006-09,1392.7875790863275
2006-10,1445.0965326841228
2006-11,1486.014419419423
2006-12,1518.958692824441
2007-01,1534.1333800422913
2007-02,1526.0597725752968
2007-03,1556.4748812063824
2007-04,1625.520570688512
2007-05,1674.1144971360961
2007-06,1669.2160037739573
2007-07,1643.9543239749826
2007-08,1639.6575156129743
2007-09,1727.9193258893474
2007-10,1795.2706203935506
2007-11,1716.2989446908541
2007-12,1697.364015591602
2008-01,1558.500187263289
2008-02,1562.732106212721
2008-03,1539.2606485222911
2008-04,1625.173444443626
2008-05,1651.200703622405
2008-06,1516.5086153095842
2008-07,1477.5190222302053
2008-08,1445.5517989627338
2008-09,1265.6941821270173
2008-10,1015.6704320977768
2008-11,949.0616829157117
2008-12,983.2671362271184
2009-01,899.0308512765832
2009-02,810.9778952910996
2009-03,877.8261975640653
2009-04,981.4288084161258
2009-05,1079.059656605079
2009-06,1073.0719787566395
2009-07,1167.537468201907
2009-08,1208.991847173969
2009-09,1264.3179527741263
2009-10,1244.804254612887
2009-11,1296.0154763289624
2009-12,1322.9704287011425
2010-01,1265.7165768954294
2010-02,1281.9676069908453
