Date,EAFE
1969-12,100.0
1970-01,98.829
1970-02,96.502
1970-03,97.957
1970-04,89.742
1970-05,85.226
1970-06,87.03
1970-07,90.442
1970-08,90.762
1970-09,91.377
1970-10,90.528
1970-11,86.578
1970-12,88.339223
1971-01,91.854
1971-02,92.605
1971-03,96.532
1971-04,100.187
1971-05,101.99
1971-06,104.325
1971-07,108.678
1971-08,107.075
1971-09,105.383
1971-10,101.97
1971-11,105.237
1971-12,114.48
1972-01,121.047
1972-02,128.897
1972-03,133.042
1972-04,136.122
1972-05,140.438
1972-06,136.607
1972-07,143.877
1972-08,145.386
1972-09,140.55
1972-10,141.932
1972-11,151.185
1972-12,156.092
1973-01,158.677
1973-02,171.691
1973-03,172.664
1973-04,162.877
1973-05,166.73
1973-06,170.73
1973-07,168.514
1973-08,159.844
1973-09,158.664
1973-10,161.977
1973-11,138.575
1973-12,132.799
1974-01,133.599
1974-02,137.931
1974-03,134.259
1974-04,137.758
1974-05,132.278
1974-06,126.185
1974-07,119.666
1974-08,107.237
1974-09,99.355
1974-10,100.134
1974-11,103.213
1974-12,102.037
1975-01,120.137
1975-02,135.854
1975-03,134.28
1975-04,140.509
1975-05,139.32
1975-06,133.774
1975-07,128.166
1975-08,127.846
1975-09,121.919
1975-10,132.319
1975-11,135.335
1975-12,138.15
1976-01,145.328
1976-02,144.095
1976-03,141.537
1976-04,140.765
1976-05,136.844
1976-06,139.014
1976-07,137.261
1976-08,137.228
1976-09,134.735
1976-10,126.019
1976-11,127.44
1976-12,141.657
1977-01,140.697
1977-02,143.677
1977-03,144.009
1977-04,148.091
1977-05,147.36
1977-06,150.533
1977-07,148.138
1977-08,154.557
1977-09,159.025
1977-10,162.873
1977-11,161.366
1977-12,167.236
1978-01,169.255
1978-02,171.073
1978-03,183.41
1978-04,181.935
1978-05,185.501
1978-06,193.723
1978-07,210.438
1978-08,214.561
1978-09,220.8
1978-10,233.339
1978-11,211.478
1978-12,221.792
1979-01,222.957
1979-02,221.597
1979-03,226.539
1979-04,225.463
1979-05,220.589
1979-06,224.333
1979-07,226.752
1979-08,232.01
1979-09,241.968
1979-10,222.442
1979-11,224.985
1979-12,232.329
1980-01,243.294
1980-02,242.009
1980-03,216.019
1980-04,236.139
1980-05,246.841
1980-06,262.278
1980-07,260.655
1980-08,269.365
1980-09,278.428
1980-10,289.826
1980-11,283.663
1980-12,284.786
1981-01,280.574
1981-02,276.575
1981-03,286.27
1981-04,293.742
1981-05,281.09
1981-06,282.829
1981-07,271.116
1981-08,277.247
1981-09,249.427
1981-10,253.291
1981-11,281.179
1981-12,278.298
1982-01,276.192
1982-02,258.409
1982-03,245.683
1982-04,261.4
1982-05,257.793
1982-06,238.293
1982-07,235.351
1982-08,235.315
1982-09,233.644
1982-10,234.469
1982-11,253.11
1982-12,273.128
1983-01,270.643
1983-02,278.0
1983-03,288.67
1983-04,305.015
1983-05,303.385
1983-06,310.174
1983-07,310.762
1983-08,305.681
1983-09,317.432
1983-10,317.046
1983-11,324.462
1983-12,337.836
1984-01,352.821
1984-02,355.913
1984-03,389.306
1984-04,382.822
1984-05,343.938
1984-06,343.51
1984-07,321.482
1984-08,348.715
1984-09,345.638
1984-10,354.281
1984-11,355.62
1984-12,362.775
1985-01,370.929
1985-02,368.736
1985-03,397.34
1985-04,395.98
1985-05,412.806
1985-06,423.412
1985-07,445.28
1985-08,459.583
1985-09,486.477
1985-10,519.576
1985-11,540.905
1985-12,566.52518
1986-01,580.72703
1986-02,645.055973
1986-03,735.763667
1986-04,783.942982
1986-05,749.078974
1986-06,800.14832
1986-07,849.475876
1986-08,933.205718
1986-09,923.627427
1986-10,861.929824
1986-11,911.593972
1986-12,959.919589
1987-01,1061.858978
1987-02,1093.681426
1987-03,1183.333769
1987-04,1308.506443
1987-05,1308.500939
1987-06,1266.813226
1987-07,1264.5858
1987-08,1359.422448
1987-09,1338.028025
1987-10,1150.541
1987-11,1161.865406
1987-12,1196.371136
1988-01,1217.729154
1988-02,1298.93673
1988-03,1378.764323
1988-04,1398.768145
1988-05,1353.954585
1988-06,1318.27153
1988-07,1359.630594
1988-08,1271.226601
1988-09,1326.755109
1988-10,1440.298168
1988-11,1526.090975
1988-12,1534.571349
1989-01,1561.596172
1989-02,1569.626836
1989-03,1538.82142
1989-04,1553.093495
1989-05,1468.57198
1989-06,1443.878007
1989-07,1625.186137
1989-08,1552.098769
1989-09,1622.766589
1989-10,1557.562613
1989-11,1635.850072
1989-12,1696.261365
1990-01,1633.145249
1990-02,1519.159521
1990-03,1360.858342
1990-04,1350.061606
1990-05,1504.148486
1990-06,1490.883945
1990-07,1511.882747
1990-08,1365.08197
1990-09,1174.83804
1990-10,1357.869859
1990-11,1277.75178
1990-12,1298.543677
1991-01,1340.49541
1991-02,1484.181531
1991-03,1395.063817
1991-04,1408.793521
1991-05,1423.534471
1991-06,1318.940397
1991-07,1383.72755
1991-08,1355.593719
1991-09,1432.013828
1991-10,1452.288359
1991-11,1384.484633
1991-12,1456.0062539
1992-01,1424.9338655
1992-02,1373.9314095
1992-03,1283.221542
1992-04,1289.2579600000001
1992-05,1375.5532515
1992-06,1310.3523801
1992-07,1276.8163312
1992-08,1356.8987436999998
1992-09,1330.1037258
1992-10,1260.3344711
1992-11,1272.1944806
1992-12,1278.7744679
1993-01,1278.617028
1993-02,1317.239676
1993-03,1432.057548
1993-04,1567.963745
1993-05,1601.079417
1993-06,1576.0985449999998
1993-07,1631.269721
1993-08,1719.3312159999998
1993-09,1680.630414
1993-10,1732.423236408476
1993-11,1580.9913846325312
1993-12,1695.1502774324322
1994-01,1838.4674752071344
1994-02,1833.3749533753205
1994-03,1754.4085866801506
1994-04,1828.8465233858785
1994-05,1818.3470349026031
1994-06,1844.0441912825277
1994-07,1861.7783550798765
1994-08,1905.8557563455329
1994-09,1845.8295909192348
1994-10,1907.296300646607
1994-11,1815.6306066486381
1994-12,1826.9997053750546
1995-01,1756.8153709096985
1995-02,1751.7732860852486
1995-03,1861.0329043692045
1995-04,1931.0236157865697
1995-05,1908.004823650711
1995-06,1874.5451714301673
1995-07,1991.2472842275588
1995-08,1915.2877788292244
1995-09,1952.69377432374
1995-10,1900.2054405120014
1995-11,1953.0762042332535
1995-12,2031.7662730680522
1996-01,2040.1069178112919
1996-02,2047.0041021338268
1996-03,2090.4738637445234
1996-04,2151.25083014474
1996-05,2111.6642787107917
1996-06,2123.5486343505645
1996-07,2061.4830690214435
1996-08,2066.0000754410353
1996-09,2120.884679437002
1996-10,2099.182040539773
1996-11,2182.705474870645
1996-12,2154.627341781535
1997-01,2079.220058642253
1997-02,2113.227730836779
1997-03,2120.880109388542
1997-04,2132.1343045123044
1997-05,2270.8804682901723
1997-06,2396.1134363202523
1997-07,2434.8768093867893
1997-08,2253.0302363966694
1997-09,2379.241833985125
1997-10,2196.3619690684945
1997-11,2173.9723273360187
1997-12,2192.933534391874
1998-01,2293.2251788538892
1998-02,2440.3710465921035
1998-03,2515.5144651163846
1998-04,2535.425375242271
1998-05,2523.118689694553
1998-06,2542.2195551487416
1998-07,2567.9938505374403
1998-08,2249.8474501526957
1998-09,2180.8707395515753
1998-10,2408.2057454065853
1998-11,2531.5816916944727
1998-12,2631.451842372492
1999-01,2623.6817678735083
1999-02,2561.152951023598
1999-03,2668.0604136491183
1999-04,2776.165841624686
1999-05,2633.1968942915432
1999-06,2735.8577734219634
1999-07,2817.177190556847
1999-08,2827.4650037304373
1999-09,2855.925390765197
1999-10,2962.8962787167134
1999-11,3065.840814193634
1999-12,3341.004660351423
2000-01,3128.722184047841
2000-02,3212.9466857828056
2000-03,3337.493267316453
2000-04,3161.8628260573837
2000-05,3084.6388910640107
2000-06,3205.274008099539
2000-07,3070.893629937297
2000-08,3097.549386530203
2000-09,2946.723776161673
2000-10,2877.1169630549443
2000-11,2769.2237837780544
2000-12,2867.6522335615186
2001-01,2866.172934514547
2001-02,2651.3028479509135
2001-03,2474.5647984260313
2001-04,2646.5269770059
2001-05,2553.1212904982917
2001-06,2448.7100373629896
2001-07,2404.155889375472
2001-08,2343.231238955947
2001-09,2105.892493654169
2001-10,2159.828596496397
2001-11,2239.446318328262
2001-12,2252.7509170629774
2002-01,2133.0516696119626
2002-02,2148.0141160105086
2002-03,2264.204658607434
2002-04,2279.210268046344
2002-05,2308.0893040809033
2002-06,2216.2137606224414
2002-07,1997.4289104114284
2002-08,1992.8949220972058
2002-09,1778.8710054480478
2002-10,1874.4774508852308
2002-11,1959.5511966708473
2002-12,1893.6623736098136
2003-01,1814.6063508811758
2003-02,1772.9610540781787
2003-03,1738.1255752834907
2003-04,1908.4830588960767
2003-05,2024.122857485407
2003-06,2073.0377503916434
2003-07,2123.218637269533
2003-08,2174.493377087217
2003-09,2241.525371422609
2003-10,2381.2370509922184
2003-11,2434.176698334676
2003-12,2624.345869055024
2004-01,2661.4564165667075
2004-02,2722.893714371243
2004-03,2738.214615032519
2004-04,2676.2738591980174
2004-05,2685.272869295947
2004-06,2744.1080920117547
2004-07,2655.052446560791
2004-08,2666.7772900590685
2004-09,2736.4747913543765
2004-10,2829.787946357365
2004-11,3023.1002973321056
2004-12,3155.701147233518
2005-01,3097.8034458183884
2005-02,3231.657180602556
2005-03,3150.4713396496313
2005-04,3076.4021393759435
2005-05,3077.8885805646437
2005-06,3118.73074558114
2005-07,3214.337909953983
2005-08,3295.5515065618292
2005-09,3442.3420212913834
