Date,EM EASTERN EUROPE ex RUSSIA
2000-12,1000.0
2001-01,1025.43357459708
2001-02,887.9710936507838
2001-03,809.8481492329172
2001-04,840.6583623397348
2001-05,864.4652806724548
2001-06,792.5181555263669
2001-07,735.9728556897229
2001-08,709.1271453043724
2001-09,660.3679516240254
2001-10,782.311629837803
2001-11,816.0454773131927
2001-12,834.1060157831406
2002-01,918.8207603274304
2002-02,872.6412413985311
2002-03,895.7236316208689
2002-04,966.6660970098562
2002-05,976.8725556325683
2002-06,881.1069045034216
2002-07,831.5149694579346
2002-08,891.6537819128307
2002-09,844.3953927130432
2002-10,915.7052748513372
2002-11,981.2770854840944
2002-12,993.1852517910214
2003-01,962.4162629429704
2003-02,943.6513997588421
2003-03,938.4088486092593
2003-04,1049.306720312966
2003-05,1138.2409258431476
2003-06,1054.4487338798826
2003-07,1137.1801578538284
2003-08,1266.4395266873776
2003-09,1233.5156345083817
2003-10,1287.0285213362133
2003-11,1242.1515764598068
2003-12,1380.508504780067
2004-01,1413.04563710489
2004-02,1511.58112475394
2004-03,1602.894138008654
2004-04,1557.593617394047
2004-05,1591.2316145349223
2004-06,1636.8757578610234
2004-07,1638.7869749400004
2004-08,1699.0200106246582
2004-09,1844.1952218554288
2004-10,1982.7859893284217
2004-11,2229.4751148294704
2004-12,2443.5037276886665
2005-01,2406.450008211102
2005-02,2879.833364614183
2005-03,2593.5117752104584
2005-04,2382.772644011541
2005-05,2382.7470923978394
2005-06,2586.3334465497937
2005-07,2818.9787324173544
2005-08,3028.8911986006137
2005-09,3261.6254911228266
2005-10,2925.839248227018
2005-11,2999.1074120758085
2005-12,3084.9022571252717
2006-01,3365.4791915151673
2006-02,3387.177017368647
2006-03,3325.547557294118
2006-04,3682.731419393562
2006-05,3291.797086189454
2006-06,3252.0540389253315
2006-07,3618.207622874541
2006-08,3439.633512175932
2006-09,3377.547210952487
2006-10,3686.0487884308836
2006-11,4023.617481422536
2006-12,4201.543140278198
2007-01,4190.9864801924205
2007-02,4035.7453444288994
2007-03,4409.03329156607
2007-04,4775.868949905673
2007-05,4852.831403548106
2007-06,5168.189937736915
2007-07,5192.264061670765
2007-08,4928.456259628379
2007-09,5313.453153316523
2007-10,5773.660649792116
2007-11,5457.446491412031
2007-12,5445.128327069264
2008-01,4749.458903125034
2008-02,4959.170966436465
2008-03,5150.946336968016
2008-04,5158.006596971111
2008-05,5429.462509049908
2008-06,5110.898365314462
2008-07,5499.768287232057
2008-08,4854.875602437879
2008-09,4121.971179026285
2008-10,2684.4776296656983
2008-11,2420.1196360946474
2008-12,2521.8864448159434
2009-01,1940.5892241758215
2009-02,1597.8245977650233
2009-03,1853.204436067044
2009-04,2298.015614454678
2009-05,2521.7431042094504
2009-06,2621.4761699353758
2009-07,3232.198761880762
2009-08,3448.7071507914156
2009-09,3487.0273510834
2009-10,3586.6249583475133
2009-11,3801.671594881802
2009-12,3700.2345951553625
2010-01,3697.1906146654496
2010-02,3514.6666673844693
2010-03,3903.2105379711775
2010-04,3900.5774201646786
2010-05,3259.5416119801585
2010-06,3020.743280010751
2010-07,3546.9346688198934
2010-08,3412.4516092172275
2010-09,3943.27921653424
2010-10,4099.015286094898
2010-11,3618.682882118717
2010-12,3968.005222904278
2011-01,4130.928852030365
2011-02,4168.535543445569
2011-03,4377.673232267181
2011-04,4852.281203981539
2011-05,4639.7922406743
2011-06,4542.670240386051
2011-07,4376.998665596292
2011-08,3834.404988881104
2011-09,3029.9354532516422
2011-10,3402.7547725357067
2011-11,3112.0678272136956
2011-12,2882.6859092948607
2012-01,3291.30544226411
2012-02,3456.4180163399365
2012-03,3367.7311017024626
2012-04,3274.9683759796644
2012-05,2713.20739757942
2012-06,3136.8728203944743
2012-07,3086.5235863012335
2012-08,3276.6973933101035
2012-09,3499.809126850296
2012-10,3468.3357047686823
2012-11,3542.641534906329
2012-12,3776.7081713570356
2013-01,3701.814237195181
2013-02,3551.2043841073105
2013-03,3348.619423718816
2013-04,3401.6702269888315
2013-05,3495.29425191457
2013-06,3238.0581645244074
2013-07,3456.0893717225135
2013-08,3503.9576067537196
2013-09,3696.0496078931187
2013-10,3956.3711290526085
2013-11,3951.193472441451
2013-12,3788.653002755726
2014-01,3588.0622892058955
2014-02,3929.4542586853895
2014-03,3882.9787551772197
2014-04,3876.4498258026692
2014-05,3921.550328776267
2014-06,3873.66229900389
2014-07,3632.0898924536514
2014-08,3702.137537662746
2014-09,3759.2794675133923
2014-10,3595.451329155191
2014-11,3551.760593039848
2014-12,3232.1115085791093
2015-01,3092.686195264581
2015-02,3194.5649807302116
2015-03,3185.817977580601
2015-04,3540.705864365411
2015-05,3310.1623020262314
