Date,WORLD ex EUROPE
1969-12,100.0
1970-01,93.19016001
1970-02,97.89546914
1970-03,97.94031649
1970-04,88.24657173
1970-05,82.4404373
1970-06,79.60464061
1970-07,84.87438253
1970-08,88.31585775
1970-09,91.73025385
1970-10,90.12842138
1970-11,94.09814809999999
1970-12,99.49560426000001
1971-01,104.16888886
1971-02,105.49966312000001
1971-03,110.45811387
1971-04,113.80558424
1971-05,109.55642874
1971-06,110.72829553
1971-07,107.21114839
1971-08,110.26325352
1971-09,109.53625012
1971-10,105.24349939
1971-11,105.60644745
1971-12,115.76299311
1972-01,119.31590353
1972-02,123.39989414
1972-03,124.6621478
1972-04,126.13020922
1972-05,128.81660764
1972-06,126.74668859
1972-07,127.57507004
1972-08,131.92872091
1972-09,131.40252709
1972-10,132.81727249
1972-11,140.60001539
1972-12,143.92825733
1973-01,144.17993869
1973-02,143.08618204
1973-03,142.33907394
1973-04,133.14049758000002
1973-05,132.12904225
1973-06,131.8154152
1973-07,137.94759756
1973-08,132.23330335
1973-09,136.35027392
1973-10,137.1210231
1973-11,120.19446509999999
1973-12,120.02921028
1974-01,121.27237034000001
1974-02,122.63649422
1974-03,120.07696528
1974-04,116.15793298
1974-05,112.73356873
1974-06,109.82686255
1974-07,101.89360115000001
1974-08,92.25624281
1974-09,83.75309296
1974-10,93.10744527
1974-11,91.2219776
1974-12,89.08739593
1975-01,99.75963219
1975-02,107.18423766000001
1975-03,109.37083644
1975-04,112.8421047
1975-05,116.99280569999999
1975-06,121.36761557
1975-07,114.04524483
1975-08,111.01837045
1975-09,106.61821695
1975-10,113.58388889999999
1975-11,116.73288595
1975-12,116.06901392
1976-01,128.17174336
1976-02,127.70487506
1976-03,130.69319954
1976-04,129.92009694
1976-05,128.85343606
1976-06,133.98886811
1976-07,133.04592457
1976-08,133.39337895
1976-09,135.71414447
1976-10,132.23438223
1976-11,130.22903278
1976-12,139.64318562
1977-01,133.54728913
1977-02,132.48652848
1977-03,131.17002411
1977-04,131.67529185
1977-05,129.63422644
1977-06,135.42628345
1977-07,133.66934837
1977-08,132.65843183
1977-09,133.14466351000002
1977-10,129.18463849
1977-11,131.98611146
1977-12,133.24366798
1978-01,128.14655336
1978-02,126.93448041
1978-03,133.11942173
1978-04,141.67167898
1978-05,142.93984144
1978-06,144.47932874
1978-07,154.70886622
1978-08,157.69438853
1978-09,158.05929364
1978-10,151.58302899
1978-11,149.01469658
1978-12,152.99408266
1979-01,157.98674502
1979-02,153.02865609
1979-03,158.26904365000001
1979-04,157.19700501
1979-05,156.3371871
1979-06,160.82831821
1979-07,161.61356028
1979-08,168.65571069
1979-09,170.79597704
1979-10,159.02060748
1979-11,163.30586551
1979-12,169.05423559
1980-01,179.83715952
1980-02,179.21930896
1980-03,162.04127767
1980-04,170.80138031
1980-05,180.48808882
1980-06,187.77238067
1980-07,194.50329154
1980-08,198.97844624
1980-09,205.80350104000001
1980-10,211.41070615
1980-11,223.79180047
1980-12,220.10382577000001
1981-01,214.28418943
1981-02,215.62878287
1981-03,224.2437929
1981-04,224.98242815
1981-05,224.15074434000002
1981-06,224.92577952
1981-07,221.65322531
1981-08,214.89713905
1981-09,199.67880856
1981-10,205.37737309
