Date,MSCI Emerging Markets Top 100 Select Index
1997-01,1080.3122843535705
1997-02,1132.9892171502224
1997-03,1106.9517751650899
1997-04,1109.6799544548553
1997-05,1141.386575698298
1997-06,1219.0744983107488
1997-07,1243.3453534574294
1997-08,1052.4801378435245
1997-09,1078.8366184290114
1997-10,864.8387598456916
1997-11,855.5181214575421
1997-12,913.5838241855637
1998-01,827.1042554316472
1998-02,924.6080969544149
1998-03,963.6558898214936
1998-04,940.215092171631
1998-05,793.563956473766
1998-06,704.1412274290989
1998-07,720.7722567263122
1998-08,470.84940426775415
1998-09,518.1444995995865
1998-10,573.5448136801543
1998-11,603.8706621611599
1998-12,578.1515078761437
1999-01,570.4040239568845
1999-02,581.0596752416814
1999-03,658.0802615943358
1999-04,724.2371577641973
1999-05,708.0049789136332
1999-06,813.9046745433828
1999-07,780.3972427296005
1999-08,800.6162989498004
1999-09,770.0887359469716
1999-10,784.8489639933786
1999-11,877.5123807408365
1999-12,967.699627038105
2000-01,957.7050737086038
2000-02,947.48032995463
2000-03,980.422269197795
2000-04,867.8886695400764
2000-05,858.1580320653349
2000-06,897.9457158578567
2000-07,839.1690647368032
2000-08,837.1216453138176
2000-09,765.9182051106189
2000-10,708.0087645443695
2000-11,650.9338574096183
2000-12,661.8590739290959
2001-01,764.0026615812346
2001-02,715.9175802456443
2001-03,660.0171742252627
2001-04,691.3861085089193
2001-05,693.6620848664994
2001-06,683.2264607177467
2001-07,636.0879200162942
2001-08,626.5231994061821
2001-09,529.2818061249335
2001-10,564.9691921219179
2001-11,625.3221465782692
2001-12,683.5470839470178
2002-01,701.3038031229582
2002-02,725.3688028698679
2002-03,773.5085497379173
2002-04,782.2992257423132
2002-05,770.7113700021524
2002-06,710.5955562909686
2002-07,641.8763699110704
2002-08,654.4299703582884
2002-09,575.2245088769541
2002-10,618.1676237474984
2002-11,660.3729826873245
2002-12,630.5608870306623
2003-01,623.2056717134606
2003-02,596.1830419694528
2003-03,578.6752634332108
2003-04,628.1458980826292
2003-05,662.6486653585241
2003-06,697.3911210610704
2003-07,758.2867985625694
2003-08,805.321319262228
2003-09,792.5516637382399
2003-10,864.7651350167537
2003-11,869.0925313991359
2003-12,914.559316780917
2004-01,959.718213359014
2004-02,1002.846360358639
2004-03,1011.5529777672828
2004-04,915.6888069822755
2004-05,914.9868037255367
2004-06,908.6652047399158
2004-07,885.5204596437869
2004-08,933.5328260267992
2004-09,983.530929862141
2004-10,999.985729815098
2004-11,1100.1607787187697
2004-12,1149.889141532659
2005-01,1153.4376791381035
2005-02,1263.9513070120543
2005-03,1174.486284541186
2005-04,1144.9326684945916
2005-05,1188.5137055506693
2005-06,1230.2175863854607
2005-07,1317.3554631670795
2005-08,1327.4766102806543
2005-09,1458.2503333778848
2005-10,1364.7251983774875
2005-11,1480.4443215976546
2005-12,1571.5562835835512
2006-01,1771.0240754108531
2006-02,1739.158535570022
2006-03,1748.5428360910337
2006-04,1859.1696442041625
2006-05,1682.4177133977473
2006-06,1698.1103927061613
2006-07,1703.5136939410543
