Date,AC EUROPE GROWTH
2000-12,100.0
2001-01,98.98109364409459
2001-02,87.97781353066978
2001-03,80.44968482236847
2001-04,86.73556601382829
2001-05,81.71737154885649
2001-06,78.13392390632853
2001-07,77.78154885568848
2001-08,74.4189534605371
2001-09,67.59382364492852
2001-10,70.67317565123962
2001-11,73.99701762846685
2001-12,75.90695833066928
2002-01,72.48376825533748
2002-02,72.89536187478177
2002-03,75.56059380624272
2002-04,74.79848411171523
2002-05,73.43393249976934
2002-06,72.0462285823909
2002-07,63.57094447169642
2002-08,63.148444616159225
2002-09,57.002888331751976
2002-10,62.124329592179365
2002-11,63.56693719922018
2002-12,62.135517546331634
2003-01,58.940801040963215
2003-02,57.24375762995373
2003-03,56.78453707607046
2003-04,63.687510371495215
2003-05,67.00946714652768
2003-06,67.19507773504212
2003-07,67.33229717353308
2003-08,66.8611920811051
2003-09,68.94797430461348
2003-10,73.00183772663833
2003-11,76.31292982363944
2003-12,81.84136109821814
2004-01,83.33741703903482
2004-02,85.76562970285686
2004-03,82.97052120350135
2004-04,81.6610086377168
2004-05,82.83504445601444
2004-06,83.3949491427375
2004-07,80.63858905182698
2004-08,80.34040570213025
2004-09,83.47190750458675
2004-10,86.35890260033607
2004-11,92.32489846978761
2004-12,95.92899854406232
2005-01,93.77420014798602
2005-02,98.25985624131064
2005-03,95.836489
2005-04,94.16821470139078
2005-05,94.69950282939428
2005-06,95.35320955630105
2005-07,99.00114580010226
2005-08,100.7538102033332
2005-09,102.92708100332344
2005-10,99.72132346320943
2005-11,100.16160503946361
2005-12,103.82908657032527
2006-01,110.49654129923958
2006-02,109.97174950102745
2006-03,114.61771524333918
2006-04,120.7331747741142
2006-05,116.92751741640491
2006-06,117.30975646860261
2006-07,118.64806395285436
2006-08,122.22307431346152
2006-09,121.8001979862991
2006-10,126.33742563423614
2006-11,131.4825492270797
2006-12,135.80630984363563
2007-01,136.85271425678084
2007-02,136.54136345891425
2007-03,142.8361603794243
2007-04,151.09101221683443
2007-05,153.4276550906767
2007-06,153.71945752179553
2007-07,151.72735534168874
2007-08,150.68367613796008
2007-09,159.6299357418181
2016-11,156.90094949701876
2016-12,163.23668834848925
2017-01,167.54823914914434
2017-02,171.5491900293055
2017-03,177.43559090353037
2017-04,184.57871615906078
2017-05,194.5133064189973
2017-06,191.42654661987635
2017-07,195.94654710883708
2017-08,197.63456461615723
2017-09,202.70609588503365
2017-10,204.83139141785028
2017-11,204.65660528709296
2017-12,208.38227217949947
2018-01,218.36315174402554
2018-02,205.82864688708486
2018-03,204.34607762152493
2018-04,207.3487846952771
2018-05,205.123937738176
2018-06,203.91626836443754
2018-07,210.36193505633395
2018-08,208.10959793953612
2018-09,206.48808901462226
2018-10,188.64518410554408
2018-11,187.56338503469803
2018-12,179.4804023968184
2019-01,191.62127200987163
2019-02,198.5804155629237
2019-03,202.32970008677705
2019-04,210.13250485537398
2019-05,202.2947111883102
2019-06,217.08954637776796
2019-07,214.78108474900114
2019-08,212.52817259406612
2019-09,214.13276727536004
2019-10,220.62076967313834
2019-11,225.13521418003458
2019-12,233.0499170464065
2020-01,231.39029074405326
2020-02,211.54272522248243
2020-03,189.6639609673047
2020-04,203.40857176810513
2020-05,215.05018317375828
2020-06,220.99665763287075
2020-07,234.76308810916734
2020-08,243.09086972017855
2020-09,239.30365101908154
2020-10,225.7839682963695
2020-11,252.5211153422296
2020-12,266.4389940812129
