Date,AC PACIFIC ex JAPAN
2000-12,100.0
2001-01,110.89797456367184
2001-02,105.57217432159743
2001-03,94.44405220565044
2001-04,97.58714034476137
2001-05,97.23528854199924
2001-06,96.62497480545663
2001-07,92.62627362785766
2001-08,91.74721914980746
2001-09,78.0109984897938
2001-10,82.87251709223013
2001-11,92.7494881502738
2001-12,98.62027725179183
2002-01,101.48665698498351
2002-02,101.81138782573248
2002-03,107.99096881295876
2002-04,108.66095128928649
2002-05,109.29460461401598
2002-06,103.62618359500789
2002-07,98.31857350028112
2002-08,97.82854218703878
2002-09,88.88865890722386
2002-10,93.67520206104591
2002-11,97.47049977226584
2002-12,92.73321951944862
2003-01,94.090583808003
2003-02,91.01268048118226
2003-03,89.81138594509547
2003-04,94.6804187904235
2003-05,100.77696033250913
2003-06,105.83236881888644
2003-07,110.86954984897724
2003-08,116.77837231612608
2003-09,118.88016752078651
2003-10,128.82583530554658
2003-11,127.5852747661867
2003-12,135.8569111716208
2004-01,141.3045154114535
2004-02,146.95388533203604
2004-03,145.96391780037303
2004-04,137.41781114054163
2004-05,135.7427522505161
2004-06,134.96906681620865
2004-07,132.9580029683703
2004-08,138.04955200183278
2004-09,144.53012212840858
2004-10,148.21891335053448
2004-11,160.9153538997444
2004-12,166.20202787613314
2005-01,167.4298790828259
2005-02,176.92033418411057
2005-03,168.92344215480995
2005-04,166.92752292283072
2005-05,169.19348180268807
2005-06,175.0858920340344
2005-07,183.8335906447758
2005-08,180.50836114868287
2005-09,190.94277398910265
2005-10,179.0832648057059
2005-11,189.44423439082232
2005-12,198.02238705894808
2006-01,212.000811668016
2006-02,210.45020693373698
2006-03,212.2126370110928
2006-04,228.79175610004557
2006-05,214.23400015896794
2006-06,213.68291949587461
2006-07,214.6974351049057
2006-08,220.9412482391061
2006-09,224.2857348574074
2006-10,234.37176524707397
2006-11,249.774969337506
2006-12,259.97640502589303
2007-01,257.4076133584031
2007-02,261.5667266460196
2007-03,270.089699265407
2007-04,282.18284797427435
2007-05,293.94840514318946
2007-06,307.1666067242792
2007-07,320.77595264892454
2007-08,316.2070121963094
2007-09,356.26955136587105
2007-10,388.87848712915957
2007-11,354.8564348054618
2007-12,347.5979509659965
2008-01,304.3525883927807
2008-02,321.6527676879041
2008-03,304.34762018667215
2008-04,328.62664891335316
2008-05,325.2753058060062
2008-06,293.94738276554375
2008-07,284.1940833428388
2008-08,265.59899766493226
2008-09,221.2849701018203
2008-10,167.76912176389754
2008-11,157.57739997013365
2008-12,171.67148672315125
2009-01,157.92936449066818
2009-02,149.29333984638703
2009-03,171.77644541225317
2009-04,197.42497544261502
2009-05,222.6704544049753
2009-06,225.3165212428835
2009-07,253.6030519450978
2009-08,253.1341204936407
2009-09,277.1850017036866
2009-10,277.0663686944661
2009-11,283.4926193699135
2009-12,293.68118759137457
2010-01,274.9019930321822
2010-02,278.442864407914
2010-03,299.00510499049983
2010-04,302.8179528329008
2010-05,269.64576915540613
2010-06,270.6141117048197
2010-07,292.3297734718623
2010-08,287.4316466206839
2010-09,320.5775056211036
2010-10,329.5671629519929
2010-11,324.4204245574818
2010-12,346.2093145352869
2011-01,345.3606104823221
2011-02,339.5253804678861
2011-03,355.4876224768342
2011-04,372.4196178101185
2011-05,364.4694345804411
2011-06,356.09367639194096
2011-07,357.9225549623571
2011-08,328.6415200875716
2011-09,282.38808133399306
2011-10,320.9096737839441
2011-11,297.67155805448243
2011-12,299.0561632196936
2012-01,327.52955506576166
2012-02,344.7579562867801
2012-03,334.8810808327419
2012-04,337.8692181865283
2012-05,302.9349331282899
2012-06,314.24768485291963
2012-07,327.2648902663649
2012-08,325.8585245968935
2012-09,343.0873970255904
2012-10,345.79330761383596
2012-11,353.3655577311029
2012-12,365.02195217192633
2013-01,374.1180180129952
2013-02,379.81544129023337
2013-03,373.3725064402569
2013-04,382.4881244318706
2013-05,365.82857619918025
2013-06,344.44754934598734
2013-07,352.7667377330161
2013-08,352.4371638700584
2013-09,372.6505428878167
2013-10,388.76928719062613
2013-11,385.3222209201059
2013-12,379.3716630157145
2014-01,359.76505291662465
2014-02,376.34191814303955
2014-03,381.39963838166886
2014-04,385.8962361573685
2014-05,396.7113327434508
2014-06,402.7207917005626
2014-07,417.5380556182356
2014-08,420.20060827642845
2014-09,388.004489828351
2014-10,398.277136256963
2014-11,392.2616050925006
2014-12,385.0536578399791
2015-01,389.0389276053577
2015-02,401.80669059562877
2015-03,401.92135125691254
2015-04,429.08031999206645
2015-05,416.15170488307905
2015-06,398.5265111261964
2015-07,376.40791187482534
2015-08,337.74612968946576
2015-09,329.16786598107325
2015-10,355.76092983814476
2015-11,347.52634091718625
2015-12,347.9424648566829
2016-01,320.40130925233984
2016-02,319.2881425757371
2016-03,355.80843332933944
2016-04,355.4116479269722
2016-05,348.88262913537517
2016-06,356.5093102151417
2016-07,376.3543138704322
2016-08,384.4641304523753
2016-09,392.22913207497925
2016-10,385.3153117603086
2016-11,378.4727133427303
2016-12,373.9195466709183
2017-01,396.0664016251774
2017-02,408.9029534103141
2017-03,420.47723995856785
2017-04,426.959071
2017-05,438.685048
2017-06,447.893772
2017-07,470.085958
2017-08,475.728004
2017-09,475.767494
2017-10,493.785911
2017-11,497.386746
2017-12,511.94934
2018-01,547.826358
2018-02,522.857818
2018-03,511.841776
2018-04,515.6309432050135
2018-05,512.6418261340416
2018-06,492.22838252374504
2018-07,495.1922445520372
2018-08,488.70623839233826
2018-09,485.52195848523155
2018-10,434.32531645484613
2018-11,451.4321430009781
2018-12,437.6808328899649
2019-01,473.49286211349647
2019-02,485.4063308269639
2019-03,489.6602641392331
2019-04,498.93447602402455
2019-05,460.86241298060503
2019-06,493.20125944663323
2019-07,488.51344880969776
2019-08,466.45228918209426
2019-09,474.2349497058954
2019-10,493.27569191901637
2019-11,495.80021308366975
2019-12,526.5238521348699
2020-01,505.6025504450874
2020-02,485.70554437102754
2020-03,422.5628400470112
2020-04,461.87802300628044
2020-05,461.36070153707414
2020-06,499.6751375505346
2020-07,538.0959912071803
2020-08,558.7934549960456
2020-09,544.6501478623892
2020-10,558.3517245847352
2020-11,609.3832291483856
2020-12,647.8313843172988
2021-01,674.2944759254852
2021-02,681.0647112730096
2021-03,663.869536348288
2021-04,685.1715466448956
2021-05,690.2751897027075
2021-06,688.5366855558843
2021-07,637.517542810005
2021-08,644.8583864809411
2021-09,615.172916341717
2021-10,627.9141717916784
2021-11,600.086561
2021-12,609.9588876634069
2022-01,583.423259447782
2022-02,579.2100300796174
2022-03,572.1227064487534
2022-04,538.8567631887768
2022-05,544.6640083659553
2022-06,514.13753087013
2022-07,507.71391018929205
2022-08,503.4808749375106
2022-09,435.3119439311589
2022-10,411.9426077486643
2022-11,493.9315593736728
2022-12,495.5833612979692
2023-01,547.3269122999039
2023-02,508.67122944323245
2023-03,524.0163688983147
2023-04,510.8948012929255
2023-05,494.9076750043548
2023-06,508.9307315714894
2023-07,540.547661816969
