Date,ACWI ex GREECE
1998-12,1000.0
1999-01,1019.3856136867822
1999-02,993.2057006880623
1999-03,1038.6681798545142
1999-04,1083.1273498222338
1999-05,1045.000975540289
1999-06,1097.3254292888503
1999-07,1091.8336880880602
1999-08,1089.9176771402256
1999-09,1077.5620173705904
1999-10,1131.770875288812
1999-11,1166.576291218138
1999-12,1263.626293475033
2000-01,1194.8474390905008
2000-02,1198.4396776718788
2000-03,1277.901812638501
2000-04,1220.7300066363023
2000-05,1189.141661031722
2000-06,1229.4086129254167
2000-07,1192.623909700299
2000-08,1230.4194282895755
2000-09,1161.8381587509816
2000-10,1138.7976512012324
2000-11,1068.1264867330442
2000-12,1085.107389449445
2001-01,1112.6407905955625
2001-02,1018.8001715968269
2001-03,949.855375649242
2001-04,1018.5906975745044
2001-05,1006.9248105919979
2001-06,975.654735035143
2001-07,960.3300836372093
2001-08,915.7456049937545
2001-09,832.0318407907245
2001-10,849.4711893880785
2001-11,901.460770938719
2001-12,909.7772038142857
2002-01,884.675149744968
2002-02,878.0243724703923
2002-03,917.4288273453916
2002-04,887.9753188593444
2002-05,888.5721043843243
2002-06,833.9115109881725
2002-07,763.7805791879393
2002-08,765.4755602302536
2002-09,681.3001674449731
2002-10,731.3876432412518
2002-11,771.1590102622569
2002-12,734.1082322842582
2003-01,712.4531739425628
2003-02,699.7278044692409
2003-03,696.803651412182
2003-04,758.4508909761807
2003-05,802.0487932304127
2003-06,816.9703450857447
2003-07,834.7151197755317
2003-08,854.2593914092837
2003-09,859.5131223879936
2003-10,911.4232177219093
2003-11,924.9770185763688
2003-12,983.2845885940542
2004-01,999.8259923015327
2004-02,1017.9437512401935
2004-03,1012.1461936260695
2004-04,988.2180268406421
2004-05,995.915592548063
2004-06,1015.6891141564897
2004-07,983.2017451189992
2004-08,989.1776085695892
2004-09,1009.6736526776624
2004-10,1034.1892080145083
2004-11,1090.434508583428
2004-12,1132.5038747012732
2005-01,1108.4315448395234
2005-02,1146.6326363375617
2005-03,1121.6271244460945
2005-04,1096.8416730487213
2005-05,1117.3699619458075
2005-06,1128.6225173633522
2005-07,1170.2791941979997
2005-08,1179.1861179123057
2005-09,1214.7012452848926
2005-10,1181.990316827588
2005-11,1225.0644199326005
2005-12,1255.0765307316856
2006-01,1316.6647993866231
2006-02,1314.525143430889
2006-03,1342.326444975763
2006-04,1386.9761306041976
2006-05,1332.416735458043
2006-06,1331.8208312970446
2006-07,1340.8761591975358
2006-08,1375.5987611462438
2006-09,1391.649434459059
2006-10,1443.7484964324624
2006-11,1484.4441155831976
2006-12,1517.5702434679918
2007-01,1532.4457173295325
2007-02,1524.521461453938
2007-03,1555.0405593470339
2007-04,1624.063880631653
2007-05,1672.2871681262002
2007-06,1667.4730141398504
2007-07,1641.8144949125701
2007-08,1637.2495385352536
2007-09,1724.9792606990113
2007-10,1792.1384353897638
2007-11,1712.799696768732
2007-12,1693.6171328698858
2008-01,1555.2306416431616
2008-02,1559.8560916722593
2008-03,1536.7894633530684
2008-04,1622.5684992105707
2008-05,1647.981712145954
2008-06,1513.13519743583
2008-07,1473.7008824445636
2008-08,1442.1981883725043
2008-09,1262.0509051489016
2008-10,1012.538837759471
2008-11,946.0899583080395
2008-12,980.3929472804845
2009-01,896.6053272533475
2009-02,808.9776363169434
2009-03,875.4893622871333
2009-04,978.6092657473237
2009-05,1075.9253049799381
2009-06,1070.0598524009736
2009-07,1164.2296735377927
2009-08,1205.7227295218752
2009-09,1260.8136491892567
2009-10,1241.2152865946098
2009-11,1293.0009666950662
2009-12,1320.1163168477078
2010-01,1263.2445419789503
2010-02,1279.6018852753166
2010-03,1361.8941327349635
2010-04,1364.4723037787749
2010-05,1235.4449339076416
2010-06,1197.4797099187683
2010-07,1294.6195874523953
2010-08,1249.461515368647
2010-09,1369.1402317072607
2010-10,1418.5446377578517
2010-11,1387.2257536465877
2010-12,1488.9383791093987
2011-01,1512.0721751625795
2011-02,1556.1830418070663
2011-03,1554.6350788921304
2011-04,1618.3809974760075
2011-05,1583.7505279457157
2011-06,1558.7834541884813
2011-07,1533.4824627207875
2011-08,1421.7180972843703
2011-09,1287.5867887374318
2011-10,1425.6528360316686
2011-11,1383.0912174675284
2011-12,1380.3188365600058
2012-01,1460.4934813117654
2012-02,1534.0467843599647
2012-03,1544.2413462241304
2012-04,1526.6123299353599
2012-05,1389.8346020683732
2012-06,1458.4693603954042
2012-07,1478.4411698850965
2012-08,1510.5695173445274
2012-09,1558.1807236233115
2012-10,1547.7414184057727
2012-11,1567.5188442738695
2012-12,1603.0240776570006
2013-01,1676.8389236086805
2013-02,1676.5609527482106
2013-03,1707.2352638062293
2013-04,1756.0178334473196
2013-05,1751.226243143844
2013-06,1700.0365716143963
2013-07,1781.4084243163966
2013-08,1744.2709709059643
2013-09,1834.3506449269194
2013-10,1908.037253278738
2013-11,1935.0576110348402
2013-12,1968.4862024354634
2014-01,1889.7052067204024
2014-02,1980.8749302646265
2014-03,1989.672493417987
2014-04,2008.7357962991086
2014-05,2051.5007467973523
2014-06,2090.1767990720796
2014-07,2064.9526611048727
2014-08,2110.6081541077797
2014-09,2042.3137157492354
2014-10,2056.918855321736
2014-11,2091.316269388554
2014-12,2051.159654492032
2015-01,2019.3784394020852
2015-02,2131.698346209383
2015-03,2098.7911491844284
2015-04,2159.6454336128745
2015-05,2156.8337454942134
2015-06,2106.061774650306
2015-07,2124.3647750112154
