Date,EM WITH CHINA ALL SHARES
2008-11,1048.6982922413968
2008-12,1122.3505543006002
2009-01,1061.1525680665013
2009-02,1009.5875743955431
2009-03,1154.14825908843
2009-04,1334.8404513944279
2009-05,1549.157632573645
2009-06,1549.685014275831
2009-07,1733.3329731667209
2009-08,1688.2120132440327
2009-09,1838.1472090967052
2009-10,1850.8301953939242
2009-11,1933.1312333509677
2009-12,2006.5239314250423
2010-01,1885.053862245847
2010-02,1894.1258626905153
2010-03,2038.8485059829611
2010-04,2049.814125040577
2010-05,1867.36434396307
2010-06,1847.7370318405385
2010-07,2005.62424045662
2010-08,1968.316988164945
2010-09,2175.4929525485777
2010-10,2256.3085699191843
2010-11,2189.469427538067
2010-12,2336.7948077472684
2011-01,2276.4379101253826
2011-02,2262.7272388683405
2011-03,2386.8292465624986
2011-04,2456.9768394195858
2011-05,2388.961243207989
2011-06,2359.1382069738806
2011-07,2345.6799807450407
2011-08,2144.515763874132
2011-09,1841.424120353145
2011-10,2073.9381457276386
2011-11,1935.830672631879
2011-12,1908.8548815291763
2012-01,2116.325117769657
2012-02,2242.910923148256
2012-03,2163.0114410940805
2012-04,2148.4773065122336
2012-05,1923.147367016218
2012-06,1984.568232640707
2012-07,2014.2199230467943
2012-08,2000.1730421187242
2012-09,2119.412858541135
2012-10,2106.618579083312
2012-11,2123.4564225188783
2012-12,2250.851655316173
2013-01,2291.961146236146
2013-02,2264.1409824248926
2013-03,2214.071040370552
2013-04,2226.772963520864
2013-05,2190.097704449963
2013-06,2031.850941411516
2013-07,2052.4443396588913
2013-08,2033.2563112059886
2013-09,2159.6159739581326
2013-10,2250.587181096932
2013-11,2229.09832079246
2013-12,2192.047492765491
2014-01,2053.0299787205972
2014-02,2107.580874439528
2014-03,2159.3762007437103
2014-04,2164.759001524839
2014-05,2233.408038219547
2014-06,2291.8424782454586
2014-07,2354.0020837578318
2014-08,2401.901256577549
2014-09,2251.4181303518203
2014-10,2282.650193662623
2014-11,2289.451446547614
2014-12,2268.695512943695
2015-01,2269.247241370083
2015-02,2341.653421736566
2015-03,2374.213619035208
2015-04,2611.70460108569
2015-05,2540.7381932420412
2015-06,2441.8635295284357
2015-07,2231.9140761199437
2015-08,2005.5523741249413
2015-09,1938.014100628244
2015-10,2093.592666518038
2015-11,2025.9873220592056
2015-12,1996.697092376128
2016-01,1788.6411355234732
2016-02,1780.6349664306751
2016-03,2017.0950400933627
2016-04,2015.5472119772758
2016-05,1950.7203316132704
2016-06,2013.447437114816
2016-07,2105.8363495281815
2016-08,2163.2357060071477
2016-09,2177.0310940464547
2016-10,2184.5781033903454
2016-11,2115.207924359764
2016-12,2091.7668452625303
2017-01,2198.1562098838513
2017-02,2263.7424169224523
2017-03,2309.0852209354807
2017-04,2348.494351009423
2017-05,2411.2723524869944
2017-06,2456.0343986213315
2017-07,2593.0310963555585
2017-08,2659.585218293625
2017-09,2651.9758582715003
2017-10,2745.594963799118
2017-11,2738.297529536937
2017-12,2829.516901824663
2018-01,3067.342368659948
2018-02,2914.3386963862113
2018-03,2858.165843429635
2018-04,2825.66603092128
2018-05,2739.9499939845196
2018-06,2598.765015274169
2018-07,2639.2664951649726
2018-08,2554.7003072175494
2018-09,2551.636683778256
2018-10,2324.934315251632
2018-11,2411.7025900630606
2018-12,2346.709705
2019-01,2551.487852219519
2019-02,2607.6109128648577
2019-03,2648.4360431484083
2019-04,2695.613979711351
2019-05,2493.2545512682536
2019-06,2646.534038126993
2019-07,2621.0950607917534
2019-08,2498.749853640956
2019-09,2540.6905638023186
2019-10,2643.430592515475
2019-11,2635.918143115545
2019-12,2834.872708874028
2020-01,2720.116659551586
2020-02,2591.185186455806
2020-03,2224.098462784698
2020-04,2420.406039755442
2020-05,2428.9771645520896
2020-06,2617.6594975942894
2020-07,2877.983734262258
2020-08,2952.7467571775046
2020-09,2888.683070891143
2020-10,2955.7013466050353
2020-11,3214.1908683331862
2020-12,3448.327458157361
2021-01,3560.468842256817
2021-02,3577.068926136614
2021-03,3493.4367449482106
2021-04,3589.720030549485
2021-05,3698.5727333989275
2021-06,3694.2158117598055
2021-07,3449.531226559833
2021-08,3528.089359081106
2021-09,3418.691633039289
2021-10,3459.7218412193392
2021-11,3343.426706
2021-12,3399.638477940439
2022-01,3291.983199291541
2022-02,3227.0775102243515
2022-03,3114.9468600691666
2022-04,2920.9460341693666
2022-05,2945.4415026890615
2022-06,2834.034624447681
2022-07,2794.1501866627473
2022-08,2781.6708219922803
2022-09,2469.722020598407
2022-10,2364.9329602452813
2022-11,2699.248976635929
2022-12,2679.0081235712646
2023-01,2900.792066282892
2023-02,2725.715420133422
2023-03,2792.1832527842107
2023-04,2755.949182956055
2023-05,2681.425750534877
2023-06,2760.368829277353
2023-07,2932.8652003959405
