Date,NORDIC COUNTRIES
1969-12,100.0
1970-01,97.453967
1970-02,92.336773
1970-03,94.573269
1970-04,86.537018
1970-05,81.236432
1970-06,86.034464
1970-07,92.11323
1970-08,89.447981
1970-09,87.83144
1970-10,81.931623
1970-11,86.838803
1970-12,86.958208
1971-01,92.621476
1971-02,95.463675
1971-03,95.733389
1971-04,94.253742
1971-05,98.470447
1971-06,101.496648
1971-07,102.018627
1971-08,104.00985
1971-09,101.200955
1971-10,102.709903
1971-11,107.207428
1971-12,111.868764
1972-01,115.649788
1972-02,115.124643
1972-03,122.127764
1972-04,124.473444
1972-05,122.004043
1972-06,126.50513
1972-07,129.466424
1972-08,134.573709
1972-09,132.584605
1972-10,134.639836
1972-11,139.194968
1972-12,139.103824
1973-01,149.337693
1973-02,159.225145
1973-03,158.51948
1973-04,167.852363
1973-05,181.120614
1973-06,192.926001
1973-07,196.335547
1973-08,181.01328
1973-09,180.313731
1973-10,184.657419
1973-11,162.587697
1973-12,164.402604
1974-01,167.663195
1974-02,174.065525
1974-03,179.716548
1974-04,184.969773
1974-05,168.704598
1974-06,163.548836
1974-07,167.596983
1974-08,149.371526
1974-09,142.442954
1974-10,155.455935
1974-11,149.889685
1974-12,154.089677
1975-01,170.105603
1975-02,183.980822
1975-03,178.520807
1975-04,187.303996
1975-05,184.170283
1975-06,188.233431
1975-07,180.072464
1975-08,174.013626
1975-09,169.126931
1975-10,178.48313
1975-11,172.727934
1975-12,175.049819
1976-01,187.678073
1976-02,185.220681
1976-03,185.353631
1976-04,198.651314
1976-05,191.779609
1976-06,193.273727
1976-07,195.007893
1976-08,186.645313
1976-09,185.198074
1976-10,172.931759
1976-11,176.616999
1976-12,185.494208
1977-01,172.262766
1977-02,185.850484
1977-03,188.320484
1977-04,179.611796
1977-05,175.163977
1977-06,163.428839
1977-07,161.100796
1977-08,143.607542
1977-09,151.19372
1977-10,147.058143
1977-11,138.762622
1977-12,151.603006
1978-01,159.820734
1978-02,158.592819
1978-03,165.217004
1978-04,169.144851
1978-05,166.104351
1978-06,167.81992
1978-07,181.088345
1978-08,187.915372
1978-09,182.545296
1978-10,185.423766
1978-11,172.184003
1978-12,176.417264
1979-01,187.85806
1979-02,184.666049
1979-03,185.725017
1979-04,182.194616
1979-05,183.576252
1979-06,191.202896
1979-07,196.618836
1979-08,194.9805
1979-09,203.1422
1979-10,200.78693
1979-11,213.247782
1979-12,213.835845
1980-01,219.968242
1980-02,212.384815
1980-03,185.165664
1980-04,203.298539
1980-05,210.628706
1980-06,213.269701
1980-07,213.685366
1980-08,207.162917
1980-09,216.085101
1980-10,227.652734
1980-11,233.208836
1980-12,231.415564
1981-01,221.081628
1981-02,237.139315
1981-03,249.710216
1981-04,236.673611
1981-05,235.653636
1981-06,252.44233
1981-07,260.158012
1981-08,265.605533
1981-09,240.468491
1981-10,268.141628
1981-11,292.350488
1981-12,282.835356
1982-01,278.931909
1982-02,271.875093
1982-03,256.950353
1982-04,261.063391
1982-05,266.139901
1982-06,252.643884
1982-07,263.038952
1982-08,262.852926
1982-09,271.665795
1982-10,267.378267
1982-11,295.137522
1982-12,316.364656
1983-01,347.567352
1983-02,406.218435
1983-03,418.345288
1983-04,470.314857
1983-05,467.713901
1983-06,457.357672
1983-07,485.002558
1983-08,499.816151
1983-09,504.70113
1983-10,492.439242
1983-11,506.213994
1983-12,496.830928
1984-01,530.264702
1984-02,529.204887
1984-03,544.501409
1984-04,523.040932
1984-05,475.887559
1984-06,471.689627
1984-07,464.791402
1984-08,466.276489
1984-09,428.779404
1984-10,421.368783
1984-11,400.017097
1984-12,392.426644
1985-01,424.977337
1985-02,396.92199
1985-03,411.206951
1985-04,418.328808
1985-05,413.798572
1985-06,410.749051
1985-07,460.463336
1985-08,453.13647
1985-09,481.456954
1985-10,526.706219
1985-11,581.181868
1985-12,615.12386
1986-01,616.339083
1986-02,674.782135
1986-03,713.757756
1986-04,788.054731
1986-05,770.798082
1986-06,812.078857
1986-07,826.645114
1986-08,857.825553
1986-09,848.482418
1986-10,870.854606
1986-11,872.312151
1986-12,881.720756
1987-01,878.479945
1987-02,960.050548
1987-03,1011.340399
1987-04,1072.312384
1987-05,1032.991513
1987-06,1061.212914
1987-07,1124.942555
1987-08,1192.876912
