Date,EASEA INDEX (EAFE ex JAPAN)
1969-12,100.0
1970-01,98.89985
1970-02,95.967087
1970-03,96.974589
1970-04,89.508123
1970-05,84.632296
1970-06,86.466277
1970-07,90.443199
1970-08,90.988037
1970-09,91.888579
1970-10,90.697922
1970-11,86.51225
1970-12,88.469382
1971-01,91.745693
1971-02,91.843372
1971-03,95.016567
1971-04,98.341564
1971-05,100.623884
1971-06,101.434797
1971-07,106.511707
1971-08,106.070624
1971-09,103.354292
1971-10,100.15807
1971-11,102.570515
1971-12,110.645426
1972-01,116.417201
1972-02,123.242428
1972-03,126.642896
1972-04,128.693829
1972-05,131.096089
1972-06,125.199935
1972-07,130.708857
1972-08,131.524978
1972-09,123.999924
1972-10,124.316565
1972-11,127.712207
1972-12,128.889436
1973-01,131.012399
1973-02,141.618011
1973-03,142.640657
1973-04,138.22454
1973-05,141.365055
1973-06,145.137409
1973-07,138.742707
1973-08,131.339907
1973-09,133.241951
1973-10,137.540696
1973-11,117.261211
1973-12,113.05009
1974-01,114.183283
1974-02,117.602612
1974-03,112.362782
1974-04,115.845046
1974-05,107.431721
1974-06,101.919809
1974-07,99.071422
1974-08,89.066894
1974-09,79.089571
1974-10,83.475027
1974-11,83.281482
1974-12,83.591424
1975-01,103.690963
1975-02,116.604452
1975-03,113.415839
1975-04,120.91275
1975-05,119.714696
1975-06,112.421253
1975-07,108.181849
1975-08,109.920475
1975-09,105.601264
1975-10,113.64656
1975-11,116.932754
1975-12,119.805567
1976-01,125.568012
1976-02,123.704881
1976-03,120.611999
1976-04,119.343135
1976-05,114.289817
1976-06,114.327503
1976-07,113.214065
1976-08,111.290007
1976-09,107.955674
1976-10,100.27805
1976-11,102.613523
1976-12,111.904697
1977-01,112.565969
1977-02,113.160695
1977-03,114.178473
1977-04,118.030076
1977-05,117.536792
1977-06,118.938475
1977-07,116.793673
1977-08,121.233031
1977-09,125.749592
1977-10,129.115482
1977-11,127.062778
1977-12,133.779748
1978-01,133.227755
1978-02,132.614585
1978-03,137.700209
1978-04,136.446875
1978-05,140.047839
1978-06,141.842509
1978-07,152.361547
1978-08,159.012523
1978-09,164.368349
1978-10,171.485394
1978-11,155.256738
1978-12,162.846753
1979-01,164.663343
1979-02,167.448936
1979-03,177.062818
1979-04,178.898345
1979-05,171.407854
1979-06,175.363122
1979-07,178.641146
1979-08,184.749793
1979-09,195.112751
1979-10,179.045288
1979-11,186.046123
1979-12,189.301555
1980-01,201.115936
1980-02,203.698253
1980-03,173.688886
1980-04,191.04209
1980-05,198.178508
1980-06,213.295436
1980-07,217.204713
1980-08,220.730325
1980-09,224.307652
1980-10,235.673593
1980-11,232.128529
1980-12,224.541666
1981-01,216.478908
1981-02,213.422349
1981-03,217.483221
1981-04,216.297177
1981-05,204.254541
1981-06,201.052727
1981-07,192.011561
1981-08,193.873664
1981-09,173.494052
1981-10,178.59087
1981-11,201.027228
1981-12,194.842228
1982-01,194.855701
1982-02,184.69947
1982-03,182.053028
1982-04,190.586866
1982-05,191.260811
1982-06,174.841411
1982-07,175.735705
1982-08,175.041895
1982-09,177.51885
1982-10,178.139181
1982-11,179.896234
1982-12,189.608783
1983-01,192.877295
1983-02,199.725779
1983-03,207.158207
1983-04,224.414119
1983-05,222.022926
1983-06,225.520035
1983-07,224.931999
1983-08,220.611453
1983-09,222.428049
1983-10,222.839613
1983-11,230.045072
1983-12,233.100846
1984-01,242.992884
1984-02,247.569147
1984-03,252.765261
1984-04,249.855714
1984-05,229.60637
1984-06,228.25418
1984-07,215.017529
1984-08,233.074234
1984-09,230.090831
1984-10,230.569432
1984-11,230.775387
1984-12,230.579172
1985-01,243.002701
1985-02,232.575702
1985-03,255.547402
1985-04,262.416169
1985-05,275.413264
1985-06,277.659086
1985-07,304.134985
1985-08,316.045274
1985-09,321.795509
1985-10,354.561
1985-11,377.213
