Date,AC ASIA PACIFIC
2000-12,100.0
2001-01,102.68831634816426
2001-02,97.99222822220345
2001-03,92.2995339195968
2001-04,97.38676627507965
2001-05,97.20346905739865
2001-06,92.98069051042413
2001-07,87.08922822109595
2001-08,85.36238614328283
2001-09,75.75752555172042
2001-10,77.23509052177599
2001-11,80.90399528175031
2001-12,79.07313957407085
2002-01,76.1275934520408
2002-02,78.19603296169268
2002-03,82.67302634018466
2002-04,85.68147710434263
2002-05,89.02831278330513
2002-06,84.4772814336247
2002-07,79.13902615089674
2002-08,78.52192025400824
2002-09,73.72386286608265
2002-10,71.75302278530687
2002-11,74.7118333314902
2002-12,72.25535600940596
2003-01,70.76857649459434
2003-02,70.16292052355053
2003-03,67.78816420275618
2003-04,68.79265812003769
2003-05,72.58061460109093
2003-06,77.33888105148075
2003-07,80.71656144867507
2003-08,87.65074035645598
2003-09,91.49795063291987
2003-10,97.01468725240547
2003-11,94.86920909160045
2003-12,101.43166816953406
2004-01,104.0265750868302
2004-02,105.39759119125516
2004-03,113.55411476174463
2004-04,107.29961722364051
2004-05,104.17995506926015
2004-06,107.49486444733503
2004-07,102.9704313542027
2004-08,104.83313684027353
2004-09,105.20566922379095
2004-10,107.94685634714068
2004-11,114.79665225777286
2004-12,119.92362687795723
2005-01,118.55152651571375
2005-02,122.67487877985681
2005-03,118.9241760955745
2005-04,116.44208120059479
2005-05,116.6268983237608
2005-06,118.40699087052566
2005-07,121.6273578059003
2005-08,125.48306314212128
2005-09,136.16571925829504
2005-10,131.62925404345822
2005-11,138.15295659978204
2005-12,147.91375301001898
2006-01,156.562708116279
2006-02,155.4549370894417
2006-03,158.67561066132475
2006-04,166.14598556289033
2006-05,155.37101045874545
2006-06,154.2666928564109
2006-07,154.05356796949513
2006-08,157.48755059586284
2006-09,157.2214222306777
2006-10,161.8816342372119
2006-11,167.02781489857375
2006-12,172.29951173857
2007-01,172.54729128167486
2007-02,177.09586887016658
2007-03,178.30583776400383
2007-04,180.38655786255046
2007-05,185.62817739644603
2007-06,189.14077531027436
2007-07,193.19238152256673
2007-08,188.83121050626747
2007-09,203.3222666771008
2007-10,213.41018514953615
2007-11,201.93948758242354
2007-12,196.91535468900565
2008-01,179.20652091642083
2008-02,184.52100832007008
2008-03,175.117808536234
2008-04,188.7183299546924
2008-05,189.06868581052456
2008-06,172.622759227814
2008-07,167.39195799703472
2008-08,158.8066886104689
2008-09,136.40544157742391
2008-10,109.59114216058454
2008-11,105.5694556634668
2008-12,114.51272215235565
2009-01,106.30795019613123
2009-02,96.3542926237912
2009-03,104.2852883059765
2009-04,117.31086150867114
2009-05,131.92587594983067
2009-06,133.64270243316824
2009-07,145.0898579268972
2009-08,147.4342047589722
2009-09,154.01459095177526
2009-10,152.06018761680622
2009-11,153.84089442163665
2009-12,157.56300502804035
2010-01,152.88569404917334
2010-02,154.74856874705554
2010-03,164.72201588841696
2010-04,165.88102326904644
2010-05,149.94604217549778
2010-06,149.26577666603725
2010-07,157.90851545035133
2010-08,154.88471456994353
2010-09,168.70185722392569
2010-10,172.82422657554025
2010-11,172.13012702136922
2010-12,184.37535311739842
2011-01,183.00273340734356
2011-02,184.46790734038922
2011-03,183.0771843693069
2011-04,188.25883862520257
2011-05,184.40478810821668
2011-06,183.0562660912083
2011-07,185.8274068260858
2011-08,170.30198319931057
2011-09,155.02813209391715
2011-10,166.9270224487076
2011-11,155.98179438882107
2011-12,156.51885670922718
2012-01,169.03379350950001
2012-02,177.75395243969996
2012-03,175.31901687368284
2012-04,173.69050284563107
2012-05,156.57988230644887
2012-06,163.4960020718874
2012-07,165.8463763681408
2012-08,165.0511086373536
2012-09,172.59430130821588
2012-10,171.94082913775
2012-11,175.98817286587547
2012-12,182.7892828629601
2013-01,188.31825137070777
2013-02,191.24816862617394
2013-03,192.76894026821768
2013-04,202.25562125047261
2013-05,192.50819321764678
2013-06,186.9229231277492
2013-07,189.66473461444062
2013-08,187.15217104831032
2013-09,200.09150124331947
2013-10,205.5881547385069
2013-11,205.54829397646358
2013-12,204.67136072967844
2014-01,195.29872510363558
2014-02,200.04460568300297
2014-03,201.12997076909954
2014-04,200.33848059396874
2014-05,207.43482737851494
2014-06,213.76589703158822
2014-07,218.79328945596714
2014-08,217.94799046384242
2014-09,207.61191168925563
2014-10,209.9424012386086
2014-11,208.54126224801402
2014-12,204.6789395275959
2015-01,208.41885144782114
2015-02,217.43052365511377
2015-03,218.42713999437655
2015-04,229.14938299072938
2015-05,226.69411143822336
2015-06,219.82886944280853
2015-07,213.7615266814718
2015-08,196.0083346370425
2015-09,187.64135893109162
2015-10,203.82791213880378
2015-11,200.04504861900642
2015-12,200.66105336861656
2016-01,184.60464880323102
2016-02,181.49884780030226
2016-03,197.28570847326392
2016-04,200.9067564436523
2016-05,198.20924452643564
2016-06,198.66373153593764
2016-07,210.46482390850133
2016-08,213.39536837470558
2016-09,217.0451529217387
2016-10,216.01906155743328
2016-11,211.0483877361776
2016-12,210.47256450289538
2017-01,220.8868604479374
2017-02,226.4126466515822
2017-03,230.27707155481968
2017-04,233.429635
2017-05,239.962626
2017-06,243.661547
2017-07,253.274522
2017-08,254.821752
2017-09,256.258131
2017-10,267.205932
2017-11,271.300506
