Date,EMU ex GERMANY
1987-12,36.612912630000004
1988-01,34.27674572
1988-02,37.93150852
1988-03,38.619865770000004
1988-04,39.67072136
1988-05,39.11628978
1988-06,39.617934930000004
1988-07,39.34993684
1988-08,37.94001644
1988-09,40.04041469
1988-10,44.03013000000001
1988-11,44.737998510000004
1988-12,45.38256794
1989-01,45.34701012
1989-02,44.61920914
1989-03,45.38041092
1989-04,46.9883233
1989-05,45.12443752
1989-06,46.7422806
1989-07,50.98483628
1989-08,51.03473753
1989-09,53.019902290000005
1989-10,50.41533608
1989-11,52.73052854
1989-12,57.61395064
1990-01,55.8517277
1990-02,54.22970921
1990-03,56.115299470000004
1990-04,57.55780466
1990-05,59.52490946
1990-06,60.21750332
1990-07,61.92978105
1990-08,54.54537214
1990-09,48.339551560000004
1990-10,52.44011109
1990-11,51.16542522
1990-12,50.28527312
1991-01,51.14445546
1991-02,56.657684090000004
1991-03,53.19133465
1991-04,52.12711353
1991-05,53.76028523
1991-06,49.125962210000004
1991-07,50.815823720000004
1991-08,51.825389980000004
1991-09,53.70180214
1991-10,52.75959334
1991-11,52.40929594
1991-12,56.24377975
1992-01,56.61609818
1992-02,57.81074592
1992-03,56.20696005
1992-04,57.74008296
1992-05,60.39991961
1992-06,59.37120959
1992-07,56.97473911
1992-08,57.00883685
1992-09,55.94692285
1992-10,53.17503046
1992-11,52.46576702
1992-12,53.0265531
1993-01,54.0402475
1993-02,56.43212861
1993-03,58.54695542
1993-04,59.67400567
1993-05,59.3605526
1993-06,58.66188512
1993-07,58.66084596
1993-08,64.80705691
1993-09,63.823816040000004
1993-10,65.50284818
1993-11,62.49855938
1993-12,67.42620102000001
1994-01,71.74455917
1994-02,70.24563049
1994-03,69.40174935
1994-04,73.14889269
1994-05,70.08795979
1994-06,67.77627449
1994-07,72.68397916
1994-08,73.52839945
1994-09,70.59277722
1994-10,72.68621293
1994-11,70.23932494
1994-12,69.67875237
1995-01,69.77759686
1995-02,70.13291763000001
1995-03,73.89065205
1995-04,77.00448966
1995-05,78.16564393
1995-06,78.18357657
1995-07,82.56093456
1995-08,78.35117267
1995-09,78.93432991
1995-10,77.72603543
1995-11,78.15425947
1995-12,81.45512002
1996-01,83.61673433
1996-02,84.79580384
1996-03,85.67136557
1996-04,88.40515135
1996-05,89.38405882
1996-06,90.2859163
1996-07,87.54413366
1996-08,87.75501737
1996-09,91.21684645
1996-10,92.20316251
1996-11,97.80822002000001
1996-12,100.0
1997-01,102.33900293
1997-02,101.34174428
1997-03,104.00028008
1997-04,103.03110382
1997-05,105.55273942000001
1997-06,113.49483551
1997-07,117.53310261
1997-08,109.69480705000001
1997-09,121.769303
1997-10,114.61429191
1997-11,116.16660781
1997-12,120.16294009
1998-01,125.8552093
1998-02,136.9541114
1998-03,151.05354747
1998-04,155.97463399
1998-05,162.31721284169254
1998-06,162.21754571588488
1998-07,168.27970916509935
1998-08,145.41716641009413
1998-09,138.49287844290714
1998-10,151.41470368428475
1998-11,160.91159075031595
1998-12,171.96413496725003
1999-01,169.45221961366522
1999-02,163.47606823171154
1999-03,165.5991275315632
1999-04,168.01425001667678
1999-05,161.40556253841874
1999-06,164.20594776213488
1999-07,164.44094623801396
1999-08,168.2376229927269
1999-09,167.92200176722395
1999-10,174.12560766002903
1999-11,180.99368280225528
1999-12,203.34133911827206
2000-01,188.9168965102098
2000-02,204.86801329545509
2000-03,205.2543444315718
2000-04,197.84511371384173
2000-05,199.32639464789787
2000-06,206.96251533399774
2000-07,199.20878665019714
2000-08,195.6754670550726
2000-09,186.06217407881257
2000-10,182.64289740497927
2000-11,178.17203869887302
2000-12,189.57195537914282
2001-01,188.86480752927088
2001-02,169.2608775821365
2001-03,157.96966401854445
2001-04,171.30852937784866
2001-05,160.11334305681953
2001-06,152.35290636367384
2001-07,153.02644082281367
2001-08,148.79606966859106
2001-09,131.5454272706879
2001-10,137.37560984798733
2001-11,142.8104734336465
2001-12,146.73830436034922
2002-01,138.11739823361128
2002-02,137.69141920366295
2002-03,144.97736688111846
2002-04,143.2012927247214
2002-05,143.04311899079926
2002-06,138.90267263936468
2002-07,120.0838818721152
2002-08,121.2405309657303
2002-09,103.08110573271003
2002-10,116.13915667423296
2002-11,124.00914612711485
2002-12,118.94269131199695
2003-01,114.83142669281644
2003-02,110.77145081562172
2003-03,107.50468279125239
2003-04,123.31109972069163
2003-05,131.98259582414252
2003-06,132.66571953253825
2003-07,134.91255827885254
2003-08,135.48436037113717
2003-09,136.1756535170376
2003-10,144.848334262218
2003-11,152.34228032585438
2003-12,164.86735509863513
2004-01,167.99436920325044
2004-02,172.41567275178943
2004-03,165.99401972670918
2004-04,162.95614108312984
2004-05,165.5826751517967
2004-06,169.30352593104678
2004-07,163.24560062245064
2004-08,163.50292280521208
2004-09,170.51096611812542
2004-10,179.84194935123227
2004-11,192.67238490040194
2004-12,202.47885303638213
2005-01,198.96440966019063
2005-02,208.64216814698574
2005-03,203.5109377763531
2005-04,195.73218560941615
2005-05,197.4879689271566
2005-06,201.1164012397013
2005-07,209.54939724125865
2005-08,210.22965802271557
2005-09,216.09472586830057
2005-10,207.1318685821945
2005-11,211.2535650828512
2005-12,219.60054859483608
2006-01,234.52712357687173
2006-02,237.06902340389664
2006-03,247.45999782971214
2006-04,257.47517933953594
2006-05,250.7746831301972
2006-06,251.67754012939926
2006-07,254.65003659208952
2006-08,264.52508185982543
2006-09,268.90430389079376
2006-10,278.48464940540254
2006-11,289.850018529629
2006-12,299.45040838342834
2007-01,300.77535570032614
2007-02,300.2463848842063
