Date,EFM AFRICA
2002-05,253.62779351523284
2002-06,228.08669818669938
2002-07,193.02461856133473
2002-08,201.6749671299244
2002-09,201.95731006736895
2002-10,208.0003395604913
2002-11,226.6031589691265
2002-12,239.75090224282243
2003-01,233.49172216789233
2003-02,235.45557844444372
2003-03,222.57103147938594
2003-04,235.17835885258876
2003-05,245.0446819766148
2003-06,255.0875345521644
2003-07,269.8285311949445
2003-08,286.0976585510968
2003-09,290.3823881897518
2003-10,320.7439785100281
2003-11,343.5804765422665
2003-12,348.7889685760506
2004-01,348.48961243970064
2004-02,369.5246597798535
2004-03,382.17569056364204
2004-04,336.14754678079225
2004-05,361.6559315506275
2004-06,366.026602843906
2004-07,369.1587881897062
2004-08,382.06229273567334
2004-09,412.1225251470912
2004-10,425.4785666630526
2004-11,478.0077467675532
2004-12,500.5102134203353
2005-01,479.8277626648019
2005-02,514.5870665994787
2005-03,471.78411347938993
2005-04,469.7061786702258
2005-05,458.2416085071101
2005-06,482.7555323413202
2005-07,522.0684732575737
2005-08,544.2126269171886
2005-09,601.4921408109799
2005-10,553.364443382858
2005-11,592.5703453159875
2005-12,657.012901006372
2006-01,757.0889967676745
2006-02,715.280230816448
2006-03,759.9055628369063
2006-04,782.8680222314644
2006-05,674.1455679253683
2006-06,651.943031911073
2006-07,662.5339426616544
2006-08,672.5984196121545
2006-09,638.7373425239949
2006-10,696.5236143367442
2006-11,738.6433537550137
2006-12,795.39169050178
2007-01,798.6772155223977
2007-02,806.9768903075008
2007-03,851.2219381733104
2007-04,914.8837470016952
2007-05,890.8587554342321
2007-06,883.6775214015272
2007-07,887.6798926670814
2007-08,877.5560707822693
2007-09,935.2775305511016
2007-10,1050.9934116174122
2007-11,1000.0000000000009
2007-12,978.9661390051874
2008-01,876.7132781234243
2008-02,935.0870081783997
2008-03,882.3814966633765
2008-04,967.2864203158767
2008-05,978.8292730638152
2008-06,896.737562094412
2008-07,908.2399834048703
2008-08,858.9586438846858
2008-09,735.8581108317914
2008-10,541.6995238761244
2008-11,530.3320787686097
2008-12,587.819045827498
2009-01,502.02061396910796
2009-02,478.4590671926853
2009-03,547.5830439681398
2009-04,613.5471669172698
2009-05,715.5926903431185
2009-06,722.149472928319
2009-07,751.701801330805
2009-08,789.9671043125978
2009-09,811.9874881580276
2009-10,805.6231369060947
2009-11,830.4328383567826
2009-12,869.6705747705264
2010-01,837.8344271646243
2010-02,836.4932878360416
2010-03,920.5770244352392
2010-04,937.0002191274309
2010-05,866.1228709368299
2010-06,834.839263261822
2010-07,931.0661690955749
2010-08,904.7876293605608
2010-09,1023.6211394937247
2010-10,1042.6695553349034
2010-11,1012.1128350831872
2010-12,1150.0053865259702
2011-01,1014.8311239551473
2011-02,1071.3064438093493
2011-03,1115.9568087168273
2011-04,1167.595634020662
2011-05,1117.977653143856
2011-06,1096.6479155915447
2011-07,1084.2908305180702
2011-08,1064.4728655836957
2011-09,910.464850066336
2011-10,990.0334941263628
2011-11,985.4039754360258
2011-12,964.3137743066212
2012-01,1042.5566809774482
2012-02,1116.799613510618
2012-03,1078.9620823781518
2012-04,1087.688617549711
2012-05,978.7980691996206
2012-06,1022.5118686751302
2012-07,1056.4818638177267
2012-08,1055.6989793178852
2012-09,1103.044757720618
2012-10,1077.2223328072726
2012-11,1062.8123314769962
2012-12,1165.49108070616
