Date,CHINA WITH PARTIAL A SHARES
2008-11,1099.8503740041185
2008-12,1106.1909595347108
2009-01,1104.4664887960962
2009-02,1081.1999540295492
2009-03,1179.6791878378267
2009-04,1310.8341394954898
2009-05,1435.9712350047307
2009-06,1513.3109700869663
2009-07,1662.2630849901745
2009-08,1518.7508957293962
2009-09,1562.5176489354085
2009-10,1648.5540872415975
2009-11,1662.4848357974433
2009-12,1748.8437749722561
2010-01,1648.7030305466444
2010-02,1719.0381618755257
2010-03,1827.11868307594
2010-04,1851.1433835463802
2010-05,1895.0876870732338
2010-06,1920.9995509219973
2010-07,1889.7481871752914
2010-08,1884.2355454711374
2010-09,1910.7326868319005
2010-10,1955.2359080003291
2010-11,2039.639505524428
2010-12,1965.8802375727116
2011-01,1912.8532315953241
2011-02,1866.1262429800984
2011-03,1909.6047290404722
2011-04,1857.166486212239
2011-05,1923.8769254801489
2011-06,1840.9716218843428
2011-07,1842.5917054105169
2011-08,1670.1831946634566
2011-09,1495.0987541743195
2011-10,1651.2658586992486
2011-11,1569.1984290209923
2011-12,1665.7424559738306
2012-01,1826.3728371767834
2012-02,1902.817994714764
2012-03,1780.087132813539
2012-04,1855.962587515961
2012-05,1782.479547226154
2012-06,1772.2323077533583
2012-07,1849.4714548691438
2012-08,1748.828015141837
2012-09,1825.588451678669
2012-10,1912.9245168933764
2012-11,1938.5867890036343
2012-12,2013.8617645428849
2013-01,2038.2863601027614
2013-02,2036.5310399710454
2013-03,1978.21103377053
2013-04,1948.1847896714162
2013-05,1973.1714282782316
2013-06,1826.9380571881136
2013-07,1858.2389536545072
2013-08,1918.9181039915159
2013-09,1966.740867312968
2013-10,2006.9913267398417
2013-11,2100.163318836222
2013-12,2007.1162300186647
2014-01,1917.6860016581993
2014-02,1916.8600417065609
2014-03,1885.5164493254936
2014-04,1830.7256082889385
2014-05,1945.378720324246
2014-06,2003.724942085315
2014-07,2221.5779138458665
2014-08,2262.780877233797
2014-09,2218.50373259681
2014-10,2331.4992105800325
2014-11,2386.1460246797546
2014-12,2502.0926643668654
2015-01,2734.831407134802
2015-02,2838.5962523326248
2015-03,3060.0787867980744
2015-04,3442.9627150364013
2015-05,3409.288956305711
2015-06,3158.1516919463156
2015-07,2833.6781742512753
2015-08,2460.672431524531
2015-09,2422.6128487617675
2015-10,2675.0170392034106
2015-11,2708.049481722902
2015-12,2597.179249156681
2016-01,2256.315371133903
2016-02,2198.170978485659
2016-03,2346.480225214094
2016-04,2330.4165474324063
2016-05,2383.5700499643494
2016-06,2416.231977324093
2016-07,2483.309001244548
2016-08,2677.7037527539806
2016-09,2715.4221346767595
2016-10,2732.4483019779627
2018-03,3601.011115241673
2018-04,3662.220183414144
2018-05,3862.673869705879
