Date,OMAN DOMESTIC
2005-05,1033.1583533039886
2005-06,1159.1028634144054
2005-07,1111.1288476843947
2005-08,1097.313472325243
2005-09,1080.1756572949032
2005-10,1065.5798617759547
2005-11,1000.0
2005-12,985.3314036086117
2006-01,1004.5797391788368
2006-02,968.1599609726688
2006-03,931.4508020971023
2006-04,820.442675956604
2006-05,783.2538566828218
2006-06,783.750200054164
2006-07,762.8533596636521
2006-08,807.0998872646151
2006-09,855.4636407190101
2006-10,879.0953290455195
2006-11,800.5511698283146
2006-12,793.9835431807305
2007-01,809.2045512967069
2007-02,784.7452566095823
2007-03,752.5856881623455
2007-04,759.9219367558595
2007-05,827.6618564680463
2007-06,848.9307048269195
2007-07,848.7569043647622
2007-08,873.6824532764427
2007-09,887.1022639094817
2007-10,971.5856976872263
2007-11,1027.1417930828534
2007-12,1119.2807246194898
2008-01,1120.1937347658059
2008-02,1209.4808746773426
2008-03,1149.5815395106545
2008-04,1287.7750005713742
2008-05,1340.9478110361724
2008-06,1287.6505703806947
2008-07,1214.585885316302
2008-08,1153.6378759480062
2008-09,1048.773730793229
2008-10,806.82889625461
2008-11,803.2495613965068
2008-12,643.7837735422031
2009-01,629.0418378251682
2009-02,615.9172760217023
2009-03,589.5177210672637
2009-04,683.6464450441864
2009-05,694.5883310816733
2009-06,730.1964948715572
2009-07,752.1441858031031
2009-08,792.7089545825088
2009-09,802.3231504474617
2009-10,767.1137186347395
2009-11,735.0726189374537
2009-12,776.9552971558195
2010-01,819.1764719821424
2010-02,880.3194264541837
2010-03,907.2214639002847
2010-04,936.7387304972135
2010-05,933.3059571535963
2010-06,933.121227237888
2010-07,901.6903457879738
2010-08,921.6571815411628
2010-09,884.4773658287293
2010-10,886.933712615529
2010-11,973.9221070581481
2010-12,986.4479841028564
2011-01,973.3128377770172
2011-02,826.5137199765988
2011-03,841.0996796149093
2011-04,849.5135663227655
2011-05,814.0173186689267
2011-06,811.6450752606677
2011-07,802.8865442045657
2011-08,782.1590320640439
2011-09,806.4092818599967
2011-10,792.5810900232168
2011-11,793.1313493402707
2011-12,885.8296272647749
2012-01,850.4645120884692
2012-02,866.8689774611079
2012-03,853.970350836124
2012-04,869.4648738244844
2012-05,866.456492567285
2012-06,849.3448561750748
2012-07,805.0140368723579
2012-08,822.1188425274148
2012-09,821.9961162395562
2012-10,839.700969037251
2012-11,820.5089867467443
2012-12,834.8117655706008
2013-01,830.7609005226051
2013-02,880.8055434590866
2013-03,929.8885068035426
2013-04,919.0451249871126
2013-05,983.549135322972
2013-06,944.2305653076025
2013-07,946.8531699521141
2013-08,981.5424267353153
2013-09,950.0764827085837
2013-10,930.5121561950594
2013-11,929.0503576416752
2013-12,946.1315484348931
2014-01,987.6149813541251
2014-02,982.7125677999684
2014-03,973.6775620964183
2014-04,951.9189105558146
2014-05,1007.2630509558434
2014-06,1035.3952495566446
2014-07,1092.0619185027228
2014-08,1147.6736502799731
2014-09,1231.1275827228603
2014-10,1164.682895233112
2014-11,1145.6200801951259
2014-12,1084.5594225423004
2015-01,1207.5449574087163
2015-02,1208.6438225177144
2015-03,1238.6672159715763
2015-04,1195.661884154704
2015-05,1244.2584050325095
2015-06,1242.4423695845653
2015-07,1280.0790446143023
2015-08,1144.634294549783
2015-09,1152.3863244331394
2015-10,1181.8651606487786
2015-11,1151.9338403276956
2015-12,1094.9045192975382
2016-01,987.4854913860748
2016-02,1061.148585831367
2016-03,1035.8483341082265
2016-04,1129.780994627192
