Date,BRAZIL ADR
2003-05,133.75643142489653
2003-06,138.60379949276347
2003-07,147.52564514635333
2003-08,167.50071904587512
2003-09,163.79452409244652
2003-10,175.95563901300685
2003-11,179.60984018362487
2003-12,201.82776052231247
2004-01,199.18376210361515
2004-02,206.67460935903898
2004-03,207.88604838774904
2004-04,182.01537105832625
2004-05,176.55529620697152
2004-06,186.6994544330846
2004-07,198.00173734236188
2004-08,209.8878409052985
2004-09,225.90992264411452
2004-10,224.68723137260585
2004-11,237.65108187863015
2004-12,256.6082554671675
2005-01,261.46754040373594
2005-02,300.17580138652977
2005-03,279.70626270843394
2005-04,271.5972342856173
2005-05,306.5326064335423
2005-06,328.6698854995283
2005-07,337.31527437161554
2005-08,372.69609463873644
2005-09,445.6755498585079
2005-10,428.270052399105
2005-11,470.07983155754886
2005-12,470.9472196797365
2006-01,576.1738016392784
2006-02,580.303012759788
2006-03,553.1157624423706
2006-04,579.7338113387974
2006-05,482.8290857818154
2006-06,509.37624648340125
2006-07,518.621239491647
2006-08,509.29292813189176
2006-09,506.04767633010675
2006-10,549.1364439554704
2006-11,559.9336924121574
2006-12,606.517957066146
2007-01,627.3954650085278
2007-02,590.7593277713225
2007-03,630.6378867065633
2007-04,657.5780684368312
2007-05,749.8985003685201
2007-06,769.8323020957838
2007-07,798.7408801100759
2007-08,782.6238711658507
2007-09,912.6532514382902
2007-10,1046.23917664503
2007-11,980.24253211805
2007-12,1020.1652850859085
2008-01,956.3703484163151
2008-02,1022.2380841969178
2008-03,905.186848948364
2008-04,1071.1456417578117
2008-05,1178.6898373253002
2008-06,1070.5896782628583
2008-07,956.7784570198914
2008-08,928.6106432140894
2008-09,783.6791286478825
2008-10,569.4426182260753
2008-11,511.4379780784598
2008-12,491.9566782627122
2009-01,547.5767344294059
2009-02,536.8278697382606
2009-03,559.7921637503251
2009-04,667.558521126961
2009-05,768.7371790556223
2009-06,739.0289629758726
2009-07,789.1903901430095
2009-08,780.4835185920437
2009-09,899.274657801161
2009-10,919.9851738643595
2009-11,1000.0
2009-12,1049.8200484755266
2010-01,942.0109042219286
2010-02,1013.3438151406051
2010-03,1101.3212203605563
2010-04,1099.1480865968683
2010-05,1034.0454088655601
2010-06,1002.5347979233543
2010-07,1065.4926655500572
2010-08,1048.7198322615952
2010-09,1096.6594418759917
2010-10,1086.6123074402146
2010-11,1116.9001541384569
2010-12,1187.6690639197475
2011-01,1125.6816771986994
2011-02,1145.1118109590705
2011-03,1150.8478196216959
2011-04,1092.8395967470096
2011-05,1088.1320158658827
2011-06,1073.8298534310443
2011-07,1043.3810226594642
2011-08,961.712041647865
2011-09,836.8670730116563
2011-10,952.6554608313774
2011-11,938.1954932171258
2011-12,956.9636734445637
2012-01,1073.9833216924296
2012-02,1089.0585442890347
2012-03,1032.400208893892
2012-04,966.8782836638622
2012-05,894.0282991280294
2012-06,882.8502738172675
2012-07,914.4357228970647
2012-08,893.0601316281388
2012-09,901.3038911010127
2012-10,880.9942673525615
2012-11,842.0956543299401
2012-12,912.2572632951781
2013-01,896.6756350255032
2013-02,891.3098003585833
2013-03,909.0841071592231
2013-04,910.6032805171722
2013-05,851.741923825255
2013-06,735.4909791083804
2013-07,715.5005244429324
2013-08,712.5651196427426
2013-09,784.9948765097138
2013-10,819.566305776909
2013-11,768.1902927635656
2013-12,727.4156075327343
2014-01,645.6018181334334
2014-02,653.6290688907858
2014-03,718.0629097755083
2014-04,760.0970641805968
2014-05,751.4165038290349
2014-06,782.1840740304813
