Date,SRI LANKA
1998-12,100.0
1999-01,94.16862949327944
1999-02,93.90522367323635
1999-03,86.44122288910896
1999-04,91.31212019461195
1999-05,94.72675317234264
1999-06,88.22774140905739
1999-07,105.17945449555843
1999-08,98.8212167878166
1999-09,96.52287996604328
1999-10,91.69291694526031
1999-11,102.31567747291211
1999-12,109.80072496146919
2000-01,104.58704916366466
2000-02,102.75362631964735
2000-03,91.1831831729855
2000-04,91.26259134630641
2000-05,88.83503975853627
2000-06,96.38542131189487
2000-07,96.70393406937312
2000-08,93.44242870701255
2000-09,97.91207889361853
2000-10,93.83976800477187
2000-11,70.79888118314695
2000-12,69.47437794464274
2001-01,63.42084174163622
2001-02,67.94297947124585
2001-03,66.52174525298263
2001-04,62.216527456111095
2001-05,65.11774473351197
2001-06,67.74235222810148
2001-07,64.18029363631423
2001-08,59.96202983518773
2001-09,57.43165737425199
2001-10,86.55477161380587
2001-11,86.46332359348243
2001-12,105.6831464459095
2002-01,92.59448423666306
2002-02,101.46649304465102
2002-03,103.70212600771113
2002-04,102.92825575836608
2002-05,114.23945438200565
2002-06,114.21762499134599
2002-07,112.62248072367373
2002-08,125.61657742165707
2002-09,139.23715095245905
2002-10,129.71129929723253
2002-11,124.11314887835717
2002-12,120.73247353945207
2003-01,115.08405138949595
2003-02,106.34162623316814
2003-03,106.02123783576023
2003-04,117.18866866722645
2003-05,121.68644618076961
2003-06,179.4330741908925
2003-07,177.1644960806482
2003-08,187.79514731033376
2003-09,211.8553771072209
2003-10,224.68673441634834
2003-11,184.6078571294741
2003-12,147.0546261389497
2004-01,171.618218647178
2004-02,162.19080060331248
2004-03,163.82151633404155
2004-04,156.5113779384843
2004-05,165.839575328752
2004-06,170.776936474579
2004-07,174.94969042900962
2004-08,165.10043841948237
2004-09,163.95665880719588
2004-10,168.14836216666524
2004-11,156.89189556923705
2004-12,151.9126085820019
2005-01,190.3066283040673
2005-02,193.15931499443747
2005-03,197.26100646018975
2005-04,218.7733671963291
2005-05,236.01186180759163
