Date,CHINA A RMB
2008-11,1019.3665035939806
2008-12,906.5828351421058
2009-01,1065.7083714705168
2009-02,1121.6642063759084
2009-03,1221.999920736153
2009-04,1287.4944511502354
2009-05,1250.7801767057613
2009-06,1475.7789058170233
2009-07,1724.6275181606816
2009-08,1289.1986777595075
2009-09,1346.045776835402
2009-10,1438.7922622540784
2009-11,1501.0943566525755
2009-12,1602.8337150322143
2010-01,1458.5829498598835
2010-02,1511.49377112357
2010-03,1555.9417194588325
2010-04,1446.64119740337
2010-05,1415.9544317229106
2010-06,1340.0930971645346
2010-07,1404.6050834721016
2010-08,1430.315038129223
2010-09,1364.8443666058292
2010-10,1552.603999816317
2010-11,1529.6923727564986
2010-12,1506.4474564733512
2011-01,1463.6658019171691
2011-02,1512.9971248576917
2011-03,1478.9354404543053
2011-04,1421.9368994838176
2011-05,1390.665976282962
2011-06,1418.5427023279449
2011-07,1397.2374468573369
2011-08,1343.6537335954515
2011-09,1321.2111616601865
2011-10,1338.1460488070786
2011-11,1293.2491567932514
2011-12,1289.5236577380904
2012-01,1343.9798831406715
2012-02,1393.5732822213622
2012-03,1307.2780065444445
2012-04,1402.260049167877
2012-05,1484.6714390428053
2012-06,1384.852780709915
2012-07,1369.4761809174258
2012-08,1266.218619831744
2012-09,1304.9177400355456
2012-10,1287.2110231860822
2012-11,1230.1234560671396
2012-12,1417.3118972176983
2013-01,1454.1230744145548
2013-02,1497.2892230780349
2013-03,1428.0406321471169
2013-04,1375.2959207760182
2013-05,1487.0950989096175
2013-06,1278.9230697324845
2013-07,1261.4052426169644
2013-08,1340.8587937869588
2013-09,1359.505271852566
2013-10,1339.253207666297
2013-11,1377.301281178859
2013-12,1310.109622823301
2014-01,1263.6407926861634
2014-02,1200.019226617191
2014-03,1172.895335694262
2014-04,1163.3477077473485
2014-05,1183.6806217496833
2014-06,1204.0863207513567
2014-07,1363.016797456873
2014-08,1382.306068765473
2014-09,1506.097579747747
2014-10,1565.028889380007
2014-11,1744.7020898620626
2014-12,2219.7174309274233
2015-01,2303.674664552998
2015-02,2403.915148430866
2015-03,2889.803917208899
2015-04,3290.3759878691926
2015-05,3429.7038849252817
2015-06,3124.080276364425
2015-07,2698.7115447804845
2015-08,2285.1790022496607
2015-09,2181.7271718092275
2015-10,2470.384265322551
2015-11,2576.3509146538695
2015-12,2558.1670746752648
2016-01,1979.6080781632904
2016-02,1945.0619679117895
2016-03,2105.00923360799
2016-04,2038.745888862611
2016-05,2066.99661681087
2016-06,2071.675709115454
2016-07,2131.8618944515783
2016-08,2206.436687717292
2016-09,2133.848965902039
2016-10,2212.735352340983
2016-11,2374.4211927539222
2016-12,2232.3448826571353
2017-01,2254.107507515945
2017-02,2345.4936457100594
2017-03,2325.3195806708322
2017-04,2280.779305702179
2017-05,2248.787574930969
2017-06,2356.32065577537
2017-07,2373.5818518194255
2017-08,2451.46129989026
2017-09,2472.3685998903447
2017-10,2611.3525502666034
2017-11,2517.7871289829145
2017-12,2549.713852385031
2018-01,2671.905021772954
2018-02,2540.9556735093884
2018-03,2456.7150357370856
2018-04,2382.2758076953023
2018-05,2445.626347687928
2018-06,2193.9989346726848
2018-07,2145.491264614495
2018-08,2026.3151677606584
2018-09,2079.7162043772087
2018-10,1920.1032192289265
2018-11,1948.5475906826264
2018-12,1871.7519586398614
2019-01,2027.9510095634987
2019-02,2332.5756403439664
2019-03,2493.604938480047
2019-04,2503.9773754074067
2019-05,2295.8732428869384
2019-06,2380.8049555773728
2019-07,2451.4528708246903
2019-08,2389.994197121286
2019-09,2425.1419502803287
2019-10,2444.678433970924
2019-11,2444.8020411034336
2019-12,2598.255697967496
2020-01,2611.568334329983
2020-02,2596.1243608044983
2020-03,2412.2229264395214
2020-04,2587.7126739391106
2020-05,2501.9072029955637
2020-06,2730.2032759671924
2020-07,2984.4218774208075
2020-08,3091.279847828367
2020-09,3007.88570073107
2020-10,3136.676677251198
2020-11,3244.2815462712197
2020-12,3397.482688727234
2021-01,3563.7484690780484
2021-02,3534.907957955442
2021-03,3414.610470770088
2021-04,3471.1444125651788
2021-05,3640.8298982259776
2021-06,3693.892624277051
2021-07,3458.2440772067243
2021-08,3502.8007150671147
2021-09,3613.2247841188687
2021-10,3699.1039920587414
2021-11,3793.702127453941
2021-12,3794.936395978785
2022-01,3526.34733271195
2022-02,3601.9771839392783
2022-03,3324.587095201561
2022-04,3191.4245385139993
2022-05,3214.92689747543
2022-06,3607.8668435221853
2022-07,3472.219815319208
2022-08,3382.585202087611
2022-09,3159.682552544252
2022-10,2831.6037728841093
2022-11,3032.5232663710754
2022-12,2995.1668225341923
2023-01,3238.6962887822356
2023-02,3175.924167985945
2023-03,3092.2459894533154
2023-04,2980.4946348489734
2023-05,2850.6154342843374
2023-06,2760.17375156823
2023-07,2912.106072428116
