Date,GHANA
2008-11,1013.6589410890944
2008-12,882.782747895005
2009-01,909.3329717676752
2009-02,883.102963828238
2009-03,781.0632218585104
2009-04,742.9144531360679
2009-05,535.4765283309198
2009-06,538.0968789841302
2009-07,532.0100413303188
2009-08,601.5993166902841
2009-09,617.4363593503252
2009-10,601.1737868613948
2009-11,610.3157802158539
2009-12,627.8252981864292
2010-01,655.5194289006165
2010-02,710.2851487023338
2010-03,809.6426347475731
2010-04,929.8913296332258
2010-05,1000.2361827024944
2010-06,1014.3945972253512
2010-07,916.9935599880959
2010-08,972.0859356870665
2010-09,937.4679124891725
2010-10,891.8993045136764
2010-11,945.6093625632486
2010-12,896.6566192269005
2011-01,899.5084245106158
2011-02,945.7235618283971
2011-03,958.7135676449792
2011-04,1035.08239992633
2011-05,1175.2291340325082
2011-06,1160.0785034429634
2011-07,1107.9881376793483
2011-08,1030.2038942261302
2011-09,1037.2154882352659
2011-10,876.6647902207754
2011-11,884.4290547546154
2011-12,908.7905329397794
2012-01,887.327613165915
2012-02,906.9977820443722
2012-03,892.4155880631224
2012-04,898.5137302588998
2012-05,892.7646996444987
2012-06,813.2985620289576
2012-07,947.6568634120404
2012-08,995.9100905627554
2012-09,1035.6420798937254
2012-10,1144.4865274667227
2012-11,1129.9162824674684
2012-12,1154.4614958510579
2013-01,1161.749673278711
2013-02,1594.5671280051615
2013-03,1815.6398343803987
2013-04,1831.2595547558144
2013-05,1806.2574400327362
2013-06,1763.3886151490883
2013-07,1728.2643260765178
2013-08,1705.5185792360817
2013-09,1671.4706659817948
2013-10,1802.849266013659
2013-11,1798.3978300490928
2013-12,1713.6499915027202
2014-01,1881.917063536683
2014-02,1935.7244140039602
2014-03,1789.2927288945327
2014-04,1622.210719518405
2014-05,1595.1547058456733
2014-06,1452.92074241742
2014-07,1358.5923386234012
2014-08,1100.3136197890399
2014-09,1312.3801368521395
2014-10,1344.1816350916736
2014-11,1401.8146482643697
2014-12,1422.562466565909
2015-01,1397.6175345172326
2015-02,1375.0583738525627
2015-03,1353.9128654168583
2015-04,1358.0772477200826
2015-05,1359.3458501326247
2015-06,1213.7722371937778
2015-07,1273.963864349527
2015-08,1153.4374595271775
2015-09,1088.4610956525028
2015-10,1107.3232614914791
2015-11,1151.2164918166402
2015-12,1196.385177822817
2016-01,1121.5378843192811
2016-02,1147.1697017809674
2016-03,1137.6567907803255
2016-04,957.1829756572855
2016-05,1007.0191195059883
2016-06,1005.3308903883329
2016-07,1045.400298138175
2016-08,1074.3713212379505
2016-09,937.6201337837404
2016-10,1061.7423387174076
2016-11,890.7156313024949
2016-12,907.4973751574303
2017-01,870.0997222681356
2017-02,830.1343212077858
2017-03,896.2493122762378
2017-04,910.252877
2017-05,872.831021
2017-06,865.13098
2017-07,1131.595201
2017-08,1250.366523
2017-09,1393.391772
2017-10,1387.891266
2017-11,1214.623004
