Date,PAKISTAN VALUE
2017-06,898.6651767388655
2017-07,851.4104968197084
2017-08,769.9505792995201
2017-09,820.1274493312735
2017-10,793.916664125146
2017-11,803.5739863211878
2017-12,791.5980316275056
2018-01,831.4157928104166
2018-02,868.5646375201527
2018-03,857.2346143373658
2018-04,817.7333333562005
2018-05,790.7326726614373
2018-06,739.1123818436187
2018-07,730.6058970089164
2018-08,706.5766274367752
2018-09,707.0689539675143
2018-10,689.0365268109948
2018-11,643.1278285585834
2018-12,552.6039312052544
2019-01,657.5961037284685
2019-02,638.3703280331755
2019-03,634.1348248886802
2019-04,614.8164428316946
2019-05,573.7101862864137
2019-06,503.63500459329265
2019-07,507.6212645481194
2019-08,442.72854237453294
2019-09,516.888398739511
2019-10,543.4266909412444
2019-11,583.5352839822137
2019-12,626.6254815013482
2020-01,630.562904802393
2020-02,566.6800809286073
2020-03,347.74889197720154
2020-04,445.34494108513036
2020-05,453.2299569916394
2020-06,430.94157370920885
2020-07,451.8604274363374
2020-08,456.20585504109874
2020-09,437.1367690065498
2020-10,431.2405441761863
2020-11,442.62830846663394
2020-12,456.2043713564382
2021-01,474.36891642796394
2021-02,464.9137262250182
2021-03,493.113884736494
2021-04,443.8749978732511
2021-05,457.88104093037555
2021-06,425.9488455901004
2021-07,424.05425779580213
2021-08,416.4225454822198
2021-09,375.88300364299636
2021-10,425.95018749303654
2021-11,417.97318438592254
