Date,CHINA A 50 CONNECT RMB
2021-11,3803.6214245442784
2021-12,3820.872330769921
2022-01,3604.3000994743065
2022-02,3637.143620388224
2022-03,3366.6458552827025
2022-04,3302.0433933086865
2022-05,3275.8879885878564
2022-06,3725.2144413531396
2022-07,3513.38437184384
2022-08,3416.2483465751257
2022-09,3197.301310103843
2022-10,2781.2665764973644
2022-11,2999.443598923193
2022-12,3032.7391516681314
2023-01,3319.115428257595
2023-02,3160.884119410072
2023-03,3051.6243471114612
2023-04,2926.4457287139953
2023-05,2750.5667878825075
2023-06,2698.2834118355795
2023-07,2893.3843217673407
