Date,SAUDI ARABIA DOMESTIC
2005-05,696.028636296388
2005-06,793.2755843551687
2005-07,757.3044988324002
2005-08,852.2008523217019
2005-09,884.2788359712894
2005-10,926.9182463857647
2005-11,1000.0
2005-12,1033.6988725630679
2006-01,1121.0382261976408
2006-02,1185.2782495506813
2006-03,1027.649352033567
2006-04,791.3468980120297
2006-05,639.695485747426
2006-06,755.3242086005588
2006-07,626.9035018606313
2006-08,639.5722748927831
2006-09,648.1254984006589
2006-10,557.5618710898414
2006-11,469.057869706881
2006-12,455.67386630998266
2007-01,406.7048964275943
2007-02,467.4091492255933
2007-03,446.22089793591107
2007-04,409.3381908319825
2007-05,418.98950482198876
2007-06,395.20354075274906
2007-07,417.9315550627279
2007-08,454.82167648593645
2007-09,425.33453735945477
2007-10,453.0859611344174
2007-11,503.2141194021402
2007-12,602.9972678493643
2008-01,503.63587461827865
2008-02,527.6851731201677
2008-03,450.46358587446923
2008-04,515.755247753012
2008-05,484.4472619637511
2008-06,473.8227322199313
2008-07,447.5937893483844
2008-08,485.88701753009695
2008-09,425.877406921957
2008-10,351.9480518809691
2008-11,273.23442354209305
2008-12,269.92502920412164
2009-01,289.4126733639837
2009-02,273.4374013755156
2009-03,274.2590901147048
2009-04,331.9606699685463
2009-05,331.29854352691444
2009-06,325.81001105769053
2009-07,338.8539016343373
2009-08,332.8597759649485
2009-09,360.2802641329469
2009-10,365.88919205175
2009-11,355.8783005441508
2009-12,363.8385077804627
2010-01,384.98710174020664
2010-02,404.21943628700404
2010-03,439.79359527326824
2010-04,458.49271200890985
2010-05,436.4763828892617
2010-06,434.40082234842566
2010-07,423.37487354189017
2010-08,423.59845224442796
2010-09,411.46147990358435
2010-10,407.9755792286105
2010-11,442.19774925582385
2010-12,449.5463747630126
2011-01,419.454122700699
2011-02,392.58388584858784
2011-03,423.39796965119933
2011-04,421.7980899682029
2011-05,431.9010463739505
2011-06,421.2956333863906
2011-07,420.88510692923694
2011-08,390.78041544509114
2011-09,426.1681975056279
2011-10,414.1456854385628
2011-11,418.90441542267513
2011-12,453.50312547991524
2012-01,464.2080459243033
2012-02,495.8290522023985
2012-03,542.9236826607907
2012-04,539.8354814805184
2012-05,535.9947119156623
2012-06,494.41239566613945
2012-07,530.6637494899877
2012-08,537.4437591096473
2012-09,506.6708815598462
2012-10,502.3990147852019
2012-11,481.14999611232844
2012-12,494.92207404124946
2013-01,499.70869192073167
2013-02,514.7378314674352
2013-03,545.2264003538407
2013-04,529.7563599739194
2013-05,558.8306502108977
2013-06,563.8641458972471
2013-07,589.2786017151219
2013-08,586.3699484849986
2013-09,584.2143310104607
2013-10,594.0574968946811
2013-11,618.1993206761276
2013-12,625.7845718012621
2014-01,657.5418008247109
2014-02,666.9174894857739
2014-03,696.6748377826099
2014-04,696.1447306564759
2014-05,724.7845195305288
2014-06,702.1125987860208
2014-07,784.902013232068
2014-08,859.9998175871759
2014-09,875.699277068465
2014-10,815.778889721654
2014-11,731.8163897349009
2014-12,693.384650057311
2015-01,789.2913475446986
2015-02,840.1314182651704
2015-03,830.2632756211046
2015-04,915.09904634432
2015-05,922.4711447830749
2015-06,842.8925073734393
2015-07,863.7055408949066
2015-08,718.1710437530077
2015-09,704.5106169546397
2015-10,686.8064705283529
2015-11,728.4798268368206
2015-12,674.6813577936625
2016-01,583.6226677846912
2016-02,606.5480969904268
2016-03,590.0734511113578
2016-04,648.2308836268836
2016-05,637.2544624362502
2016-06,641.4305974464228
2016-07,621.1617337300949
2016-08,608.6555710828427
2016-09,566.1899342388748
2016-10,626.7203969269964
2016-11,743.6682013746363
2016-12,766.3362620693836
2017-01,742.9876875255084
2017-02,744.2227293311927
2017-03,742.8512321120954
2017-04,729.7620608454957
2017-05,707.8127746076409
2017-06,770.7444202309624
2017-07,709.8162609455053
2017-08,725.5953422193246
2017-09,731.8599929711628
2017-10,713.4230808304586
2017-11,710.1667801255909
2017-12,724.186720364009
2018-01,746.1930147603125
2018-02,741.875002211327
2018-03,799.5133494180583
2018-04,857.1137207810453
2018-05,905.5829528427932
2018-06,920.695882610509
2018-07,928.7412155736861
2018-08,898.6156176485074
2018-09,898.631133155343
2018-10,925.6943296826594
2018-11,896.5119416229015
2018-12,906.481247704824
2019-01,997.532520969496
2019-02,1003.4655882369833
2019-03,1060.3149799910775
2019-04,1143.1711631836415
2019-05,1049.827937330108
2019-06,1060.00129666015
2019-07,1073.4442538836565
2019-08,989.7122383983385
2019-09,1004.1166802466983
2019-10,939.5014618240724
2019-11,966.771408711055
2019-12,1007.1486686486412
2020-01,989.4026043524935
2020-02,916.9375244741047
2020-03,792.5648584449868
2020-04,877.9774065076992
2020-05,865.5520625929868
2020-06,875.6806841781472
2020-07,847.6443164063814
2020-08,886.5871057198779
2020-09,927.6634848996163
2020-10,909.5989979648982
2020-11,975.9053606947047
2020-12,951.3303463070329
2021-01,970.1047998803472
2021-02,1037.1115251112608
2021-03,1170.7624283239804
2021-04,1210.6581715795028
2021-05,1199.1219991385544
2021-06,1285.6162876067528
2021-07,1297.4611404619857
2021-08,1368.30313594743
2021-09,1433.151323732597
2021-10,1491.9963252728114
2021-11,1411.9711007031524
2021-12,1473.8459534466463
2022-01,1628.0584386042158
2022-02,1690.6420701102115
2022-03,1773.4845812171723
2022-04,1988.713351963773
2022-05,1810.0910068500966
2022-06,1638.3452213130472
2022-07,1785.8906202247144
2022-08,1842.311169059597
2022-09,1747.2298235037767
2022-10,1785.3426892760676
2022-11,1594.757393319051
2022-12,1481.1333206537472
2023-01,1500.65055960245
2023-02,1415.2510790232236
2023-03,1461.0802609085388
2023-04,1520.479194849019
2023-05,1522.4265189537398
2023-06,1540.013626213319
2023-07,1559.4601682581138
