Date,TRINIDAD AND TOBAGO
2008-11,1014.3898196683382
2008-12,909.757998010148
2009-01,1023.509026461968
2009-02,1030.7228580415729
2009-03,980.9450209810475
2009-04,970.7960921491483
2009-05,894.3078374513194
2009-06,901.3792048194796
2009-07,885.3146879039141
2009-08,878.6710620374902
2009-09,862.0752563419666
2009-10,840.0329434087703
2009-11,745.95001912304
2009-12,797.7371965275021
2010-01,824.7385009290257
2010-02,842.0470318730155
2010-03,847.3739344531019
2010-04,863.3159743745797
2010-05,945.8146196156998
2010-06,945.9688069362751
2010-07,887.8323280342963
2010-08,866.9806330202114
2010-09,792.2748878427858
2010-10,746.4059179775824
2010-11,809.1746510645207
2010-12,792.0919585359809
2011-01,851.4075778813825
2011-02,857.9935498523398
2011-03,821.9991370530099
2011-04,799.5094211653995
2011-05,889.213799883277
2011-06,925.585906812455
2011-07,934.395373614086
2011-08,895.7905295320937
2011-09,966.0886052468028
2011-10,960.8257134136995
2011-11,1026.041273186379
2011-12,1072.715726735976
2012-01,998.5651361736951
2012-02,1002.4206881495002
2012-03,1026.6200859019852
2012-04,1047.1044963804031
2012-05,1130.8068863431304
2012-06,1106.4208564514793
2012-07,1145.7915451792824
2012-08,1162.0442759027821
2012-09,1159.360587599286
2012-10,1178.629234012119
2012-11,1129.506551465039
2012-12,1159.105602242415
2013-01,1200.4974678402066
2013-02,1350.3550788765947
2013-03,1362.486658150478
2013-04,1325.8927634455297
2013-05,1367.762842302714
2013-06,1365.9457650412046
2013-07,1336.5729083336125
2013-08,1305.3587923187276
2013-09,1273.0869319022322
2013-10,1298.8177725593287
2013-11,1348.7432940575723
2013-12,1345.900888354436
2014-01,1445.6581025073526
2014-02,1434.839205405138
2014-03,1452.8161549111046
2014-04,1430.5954004004564
2014-05,1491.987923892446
2014-06,1462.487294511364
2014-07,1541.6765680287294
2014-08,1560.4255787913914
2014-09,1628.546375224482
2014-10,1639.6845744708119
2014-11,1673.0000748223536
2014-12,1722.0200369350598
2015-01,1832.3955557803768
2015-02,1827.6951775841655
2015-03,1894.8208885056736
2015-04,1794.15795589587
2015-05,1857.7564241770485
2015-06,1825.3721866059523
2015-07,1844.4451805617407
2015-08,1782.987664980822
2015-09,1806.3259887944394
2015-10,1827.3842546934582
2015-11,1889.9593549248375
2015-12,1858.4021597061965
2016-01,1845.6135347162142
2016-02,1817.3351294656138
2016-03,1664.2079661587425
2016-04,1611.3559210499923
2016-05,1569.3478525948944
2016-06,1705.5220494477264
2016-07,1777.879492770106
2016-08,1802.9749735845164
2016-09,1780.7858507402646
2016-10,1727.4516604506036
2016-11,1823.7198746982415
2016-12,1789.5739620028314
2017-01,1727.5442317965212
2017-02,1794.6247031147702
2017-03,1747.4765803380749
2017-04,1766.48401952447
2017-05,1650.3096174868394
2017-06,1715.3557149966891
2017-07,1804.376336678448
2017-08,1732.466044626178
2017-09,1776.3584905192251
2017-10,1843.9062423276866
2017-11,1900.8939212547666
2017-12,2011.798770458739
2018-01,1967.1274033333618
2018-02,2032.0831509362472
2018-03,2087.7489418239716
2018-04,2179.8248301858766
2018-05,2360.5920111776127
2018-06,2415.580468205058
2018-07,2405.6089106977083
2018-08,2444.84603732565
2018-09,2402.126901366173
2018-10,2504.8881698442674
2018-11,2468.901207217689
2018-12,2436.2862023058324
2019-01,2442.0027696582147
2019-02,2534.8311040649064
2019-03,2592.73300658542
2019-04,2614.072382499624
2019-05,2523.2192586756764
2019-06,2486.3027948819704
2019-07,2518.2869416326803
2019-08,2300.4639191148826
2019-09,2321.8257225288794
2019-10,2334.9747245047415
2019-11,1926.6979790640166
2019-12,2155.4272072370977
2020-01,1908.7553310309927
2020-02,1907.9530481485488
2020-03,1835.2845870470069
2020-04,1584.0492716232889
2020-05,1495.4067915126006
2020-06,1603.0309185133556
2020-07,1484.4677462210961
2020-08,1421.455797401747
2020-09,1386.5450069398064
2020-10,1317.3402578426487
2020-11,1289.1779041174177
2020-12,1428.485327451351
2021-01,1296.688749089632
2021-02,1284.607691929146
2021-03,1301.2898373172618
2021-04,1135.611845640175
2021-05,1570.3732096247834
2021-06,1522.26124082431
2021-07,1519.164897699178
2021-08,1564.078239145789
2021-09,1525.6657429633842
2021-10,1659.1726058564045
2021-11,1727.5821336295928
2021-12,1808.09968189892
2022-01,1788.1737445015706
2022-02,1847.6302446280492
2022-03,1773.0666794193132
2022-04,1925.0305240962946
2022-05,1905.666818135229
2022-06,1923.1065487699068
2022-07,2024.3994367923187
2022-08,2073.9950319718555
2022-09,2077.3759084552603
2022-10,2082.947422957537
2022-11,1957.9378363210203
2022-12,2042.4413048085642
2023-01,1873.2410277292192
2023-02,1893.0151505526583
2023-03,1791.1919272653004
2023-04,1780.2480649700267
2023-05,1955.832207051961
2023-06,1839.6889106695644
2023-07,1835.359874490468
