Date,SOUTH AFRICA
1998-12,100.0
1999-01,109.26706377992556
1999-02,112.47703535461552
1999-03,123.05622198139406
1999-04,140.61509863843335
1999-05,127.37895610261613
1999-06,148.2283031116992
1999-07,138.1384246848732
1999-08,138.42817222539816
1999-09,139.21113851643042
1999-10,147.31824596991453
1999-11,161.30834034129902
1999-12,184.16442311239655
2000-01,183.55821529852403
2000-02,181.36804259929986
2000-03,173.52842825900652
2000-04,166.16544366602454
2000-05,158.81001475976055
2000-06,163.13971083651938
2000-07,165.27713167461727
2000-08,191.1815363378763
2000-09,181.4620016104382
2000-10,173.43235887601077
2000-11,157.1621457521296
2000-12,162.82557365536502
2001-01,174.18911335414074
2001-02,176.86744458713218
2001-03,159.1021937586133
2001-04,177.25906292313616
2001-05,196.14043921305688
2001-06,189.32553943137086
2001-07,161.56888307439388
2001-08,163.04675705491732
2001-09,137.9165420547068
2001-10,142.16930421973944
2001-11,146.84479673048912
2001-12,142.14466438336396
2002-01,153.5032111957986
2002-02,160.9596866544513
2002-03,162.7914339260801
2002-04,171.83023945736642
2002-05,182.40840911817259
2002-06,155.0798839145069
2002-07,131.69335097873198
2002-08,136.18387430783986
2002-09,135.35623307415293
2002-10,141.07252600038504
2002-11,153.99177742366098
2002-12,154.37092901325073
2003-01,145.57199940159762
2003-02,146.39995405572563
2003-03,137.503424961
2003-04,142.33863147432987
2003-05,139.30060345055142
2003-06,148.43808810230794
2003-07,161.60693197579906
2003-08,176.45328926649657
2003-09,168.52568813213352
2003-10,186.29989891499454
2003-11,194.08622934506928
2003-12,187.33431456779036
2004-01,188.8342306834344
2004-02,199.93277607728118
2004-03,209.85164786592293
2004-04,186.63285349004104
2004-05,196.62715116651933
2004-06,199.72465248244643
2004-07,203.9426392840488
2004-08,209.48424213211533
2004-09,222.0500408543981
2004-10,226.16997543533088
2004-11,246.72991121447848
2004-12,251.9134109527656
2005-01,248.15512693951578
2005-02,264.09048204867804
2005-03,244.2470636396312
