Date,CHINA A INCLUSION
2017-08,1000.0
2017-09,1003.5850656154103
2017-10,1066.6748109046603
2017-11,1036.222520519836
2017-12,1050.7900214568554
2018-01,1112.9029301212263
2018-02,1054.8821597169579
2018-03,1015.0543642668388
2018-04,989.3452788250704
2018-05,1012.7607370189032
2018-06,912.6437805324399
2018-07,898.9466864746098
2018-08,852.8833409358258
2018-09,880.9861605210127
2018-10,816.5407976079472
2018-11,824.4498131044317
2018-12,793.8233827656089
2019-01,863.8950364578296
2019-02,987.698552484649
2019-03,1050.1847758862314
2019-04,1060.9037842441758
2019-05,967.1364321081111
2019-06,1009.6982759053232
2019-07,1042.4542817659103
2019-08,1012.5098805469869
2019-09,1027.380674230977
2019-10,1037.221590301964
2019-11,1037.608090813572
2019-12,1103.364269011962
2020-01,1097.4017300646183
2020-02,1102.3405955587116
2020-03,1024.9915741232592
2020-04,1097.5731775338481
2020-05,1059.6059392196516
2020-06,1159.4062922219896
2020-07,1267.6238284759365
2020-08,1313.6709171905002
2020-09,1281.7514011567616
2020-10,1332.6496347872442
2020-11,1378.0231730730343
2020-12,1452.1843532559797
2021-01,1517.6992539996513
2021-02,1496.3568611179844
2021-03,1448.5053093182576
2021-04,1474.5979652465064
2021-05,1543.0187706789832
2021-06,1568.6064319184882
2021-07,1466.5649663582794
2021-08,1489.9059341896295
2021-09,1536.1485062748302
2021-10,1569.8422256513509
2021-11,1609.4298619804597
2021-12,1615.0174861585494
2022-01,1494.200894064717
2022-02,1529.7146205129422
2022-03,1410.563727495787
2022-04,1343.9721281912723
2022-05,1360.4818979053125
2022-06,1528.0781804107496
2022-07,1470.9497553693232
2022-08,1436.3789051464105
2022-09,1334.505931238834
2022-10,1197.173844877832
2022-11,1298.4518885873908
2022-12,1277.8329370359386
2023-01,1375.2315269145854
2023-02,1346.1609218815945
2023-03,1313.8858667336829
2023-04,1266.4694057052923
2023-05,1206.7823431208785
2023-06,1170.2825423434613
2023-07,1237.0812647085806
