Date,USA
1998-12,100.0
1999-01,107.87023224471535
1999-02,108.48124814113119
1999-03,114.895099286303
1999-04,121.49087478858051
1999-05,120.38496349714255
1999-06,128.29052592560112
1999-07,119.61189723918915
1999-08,120.4350806148116
1999-09,115.9074977935066
1999-10,125.12438949951645
1999-11,133.4147655248183
1999-12,143.3697826401742
2000-01,139.02259529519992
2000-02,137.92007348066858
2000-03,152.6181888784539
2000-04,155.08291511846892
2000-05,148.3557328921791
2000-06,146.981374170878
2000-07,149.33481754738781
2000-08,163.7382409134317
2000-09,155.9926910093062
2000-10,161.25316495105412
2000-11,144.6135162683116
2000-12,133.8788703972529
2001-01,140.10257040325433
2001-02,129.0188894479521
2001-03,125.65852472773112
2001-04,135.059377337299
2001-05,142.11591758483868
2001-06,139.03585182194482
2001-07,133.26836821423024
2001-08,119.84324494901479
2001-09,110.3956758590669
2001-10,113.25574738204911
2001-11,122.71336288514435
2001-12,124.17971317591729
2002-01,126.62373353768389
2002-02,123.56284089540372
2002-03,127.0831380102022
2002-04,115.05577846568715
2002-05,110.1478434012575
2002-06,96.25685127830789
2002-07,89.99320992120089
2002-08,90.3939751891894
2002-09,79.58112577054557
2002-10,86.63035678709886
2002-11,91.43413078235876
2002-12,81.4383752037314
2003-01,77.68755733640116
2003-02,76.1999221414916
2003-03,75.96507431333342
2003-04,80.48269104813515
2003-05,80.46420922127184
2003-06,83.43360357196809
2003-07,86.70442316453317
2003-08,90.55591493083907
2003-09,84.38764638273268
2003-10,89.36204905685118
2003-11,87.50241963217681
2003-12,87.47731208245148
2004-01,90.42785266064043
2004-02,91.51033205017636
2004-03,91.05358499227734
2004-04,91.91052447866048
2004-05,91.42473347845618
2004-06,93.4964031242901
2004-07,91.26567124908921
2004-08,90.87623953301984
2004-09,89.89901221857262
2004-10,89.11763017724265
2004-11,88.803090008651
2004-12,89.8737751857988
2005-01,91.39396900682185
2005-02,91.62712611694157
2005-03,92.08541505996068
2005-04,91.03100828805664
2005-05,98.28565377207718
2005-06,100.49339899055565
2005-07,103.92597138993435
2005-08,101.68844644245102
2005-09,104.61838659481735
2005-10,103.58082803308051
2005-11,109.48471929399287
2005-12,109.4904694806417
2006-01,109.26012125032943
2006-02,111.39374932291986
2006-03,111.1536167217711
2006-04,108.19338787713289
2006-05,102.96470936226382
2006-06,103.54776309862561
2006-07,104.09706004688
2006-08,106.28689571672231
2006-09,110.13711092634097
2006-10,113.04416130337611
2006-11,111.0083141151947
2006-12,112.94446491419836
2007-01,116.69036838381604
2007-02,112.6915798735993
2007-03,113.03758353667538
2007-04,114.98077040423598
2007-05,120.69652308752846
2007-06,118.24784805644059
2007-07,113.05580221563977
2007-08,115.24400922444659
2007-09,114.66429401330896
2007-10,114.61410183777733
2007-11,108.19808410845313
2007-12,108.00706759943164
2008-01,100.18103528266144
2008-02,94.66876433615096
2008-03,90.36459551703808
2008-04,96.52174291663913
2008-05,98.24168075551658
2008-06,89.00306350086976
2008-07,88.8479399363716
2008-08,95.44825289586703
2008-09,90.8653792056667
2008-10,83.44039785530593
2008-11,77.23196914667274
2008-12,71.41493280455467
2009-01,71.15342764861755
2009-02,64.4366543895081
2009-03,66.92050964554048
2009-04,73.48997568704054
2009-05,72.5842802201903
2009-06,73.41241767502375
2009-07,78.10519628980948
2009-08,79.84733756810184
2009-09,81.43231376688209
2009-10,79.11078147714638
2009-11,82.37141592811533
2009-12,87.97060149327328
2010-01,87.62054941353509
2010-02,91.99590089272755
2010-03,98.34100493289422
2010-04,101.67890106171349
2010-05,101.29724454826224
2010-06,96.07901262353234
2010-07,96.64743357089655
2010-08,94.66882740668215
2010-09,96.14590377065677
2010-10,98.15627755480804
2010-11,104.91990477809289
2010-12,108.6157939631078
2011-01,108.83091658043026
2011-02,111.6489924715075
2011-03,108.79652976697774
2011-04,107.25096432329043
2011-05,109.48298845173989
2011-06,106.71725750151654
2011-07,105.57436714737665
2011-08,99.54090995101235
2011-09,99.13611626510779
2011-10,105.83906164312107
2011-11,109.3633921287994
2011-12,114.48090468401219
2012-01,118.87409466336386
2012-02,121.45346429938606
2012-03,125.90746360008279
2012-04,125.9191068314834
2012-05,126.50802154742917
2012-06,128.1320958290713
2012-07,133.82358549625658
2012-08,133.81897998287087
2012-09,134.45784035095227
2012-10,131.08375544241818
2012-11,131.45063195336266
2012-12,130.90857066112264
2013-01,133.87561800250364
2013-02,140.787028533133
2013-03,148.72773603985942
2013-04,147.72330492574733
2013-05,153.44318565290263
2013-06,150.94895852124677
2013-07,155.5405605885408
2013-08,152.3106486901201
2013-09,153.281129987099
2013-10,159.39760255953462
2013-11,163.69707850528604
2013-12,166.0927958167548
2014-01,163.9521930153466
2014-02,167.60942902732484
2014-03,169.11562121169038
2014-04,169.11343540333507
2014-05,175.94101784278456
2014-06,179.10672091065908
2014-07,180.69818995295827
2014-08,190.91867585591677
2014-09,195.96234485381547
2014-10,202.34935630747327
2014-11,208.7569156212728
2014-12,214.41497258707975
2015-01,223.42916571653137
2015-02,237.93402411693222
2015-03,244.9033531321079
2015-04,236.87594341498183
2015-05,245.3308940787567
2015-06,236.82844008343204
2015-07,243.60556133691355
2015-08,225.6314557564335
2015-09,220.49238027699
2015-10,241.19251574810195
2015-11,253.1483755655316
2015-12,241.98699389909464
2016-01,230.02493912643894
2016-02,228.58933924471316
2016-03,232.88512910110364
2016-04,232.85072585685236
2016-05,243.94710860292494
2016-06,245.08453805644058
2016-07,252.7250245640023
2016-08,254.13004169030162
2016-09,252.12977427938432
2016-10,253.5793848535558
2016-11,271.50502379232535
2016-12,278.1573304341494
2017-01,277.1016540143746
2017-02,292.90225917537646
2017-03,291.4096474690623
2017-04,289.3120264327821
2017-05,283.98659520366994
2017-06,281.7445378651609
2017-07,278.10897532186175
2017-08,276.6974118152704
2017-09,283.9402898458034
2017-10,294.74295698024935
2017-11,296.7357483184048
2017-12,297.8416584618706
2018-01,303.5718424557112
2018-02,298.6901659869187
2018-03,288.9849164194443
2018-04,295.3447809285776
2018-05,313.147176597804
2018-06,315.2062278628266
2018-07,325.8241555671758
2018-08,338.5085772807709
2018-09,340.6420280497188
2018-10,324.95217227595754
2018-11,331.5172304987347
2018-12,298.77819172523454
2019-01,322.13743023822076
2019-02,335.4799233451414
2019-03,346.50565680719524
2019-04,361.0916852990573
2019-05,340.18911776420026
2019-06,356.2659089984645
2019-07,370.0228016859777
2019-08,367.59929228447936
2019-09,377.93036775217126
2019-10,377.349001904785
2019-11,396.16903200128155
2019-12,400.55488770819727
2020-01,406.5178236731737
2020-02,376.6823967486146
2020-03,329.26534150125144
2020-04,373.2399513116006
2020-05,386.63625362657507
2020-06,391.6560994970029
2020-07,394.08132373371967
2020-08,418.90452419444
2020-09,411.2896381130764
2020-10,403.27037096209443
2020-11,438.1355428163373
2020-12,446.00702136228847
2021-01,445.0159161334476
2021-02,457.05173692371886
2021-03,489.7813287065205
2021-04,504.2111038373945
2021-05,498.8242360530937
2021-06,528.6008112699466
2021-07,541.1457663401344
2021-08,559.6407158469386
2021-09,543.1086779119943
2021-10,581.8433918545147
2021-11,592.1806046975747
2021-12,609.3054861695741
2022-01,583.1139371621871
2022-02,564.9218351434471
2022-03,590.3283371573117
2022-04,566.1720861048502
2022-05,556.3360956287075
2022-06,522.8782548289603
2022-07,586.1128741735879
2022-08,571.050828634845
2022-09,531.7869406918553
2022-10,568.949526440769
2022-11,575.8416263829639
2022-12,522.8892193762499
2023-01,547.6460914047016
2023-02,547.4516545486966
2023-03,553.3559594222461
2023-04,551.4699856371176
2023-05,574.7896453798193
2023-06,599.1243745189664
2023-07,613.2555231546451
