Date,SAUDI ARABIA
2014-08,946.7775660108313
2014-09,959.077615138781
2014-10,890.0584069369381
2014-11,797.7689225616946
2014-12,749.8458938296144
2015-01,844.4973848660104
2015-02,902.0064170485701
2015-03,874.6967222407529
2015-04,997.7412987676014
2015-05,1000.0
2015-06,910.7355291511972
2015-07,945.6289656953442
2015-08,799.4351485528791
2015-09,787.7306256639671
2015-10,788.9822647195246
2015-11,849.2227690032095
2015-12,782.0274446895279
2016-01,679.4927370569519
2016-02,710.9970703812869
2016-03,685.9234083871878
2016-04,754.0234681733438
2016-05,748.1319931460657
2016-06,757.9800392983178
2016-07,740.9964175892675
2016-08,735.8717210785209
2016-09,691.0807962332709
2016-10,772.1706093741246
2016-11,896.3680615809191
2016-12,916.9077259109451
2017-01,891.7097129245784
2017-02,894.4598409842406
2017-03,893.459996010741
2017-04,878.3576598809722
2017-05,859.3487740506625
2017-06,941.2930094718116
2017-07,866.3466415358367
2017-08,885.2865398917004
2017-09,890.6653323584887
2017-10,865.2922330096942
2017-11,862.0898495288601
2017-12,872.7346147549924
2018-01,900.687015105258
2018-02,895.4376825115922
2018-03,966.0683589122012
2018-04,1030.5079992969881
2018-05,1095.2371384492556
2018-06,1111.934077222269
2018-07,1117.5904864012384
2018-08,1080.7216568219826
2018-09,1080.7099525402596
2018-10,1114.9233872381878
2018-11,1080.5623198149633
2018-12,1094.080449564452
2019-01,1203.3307116296764
2019-02,1208.2354701919924
2019-03,1276.9233900799638
2019-04,1375.3859139265041
2019-05,1256.6331015620076
2019-06,1267.8459579579046
2019-07,1282.6699226895905
2019-08,1187.864111643082
2019-09,1199.5295805119122
2019-10,1120.0111211776034
2019-11,1149.674010035364
2019-12,1196.9887384665847
2020-01,1169.808641996869
2020-02,1081.9119695665886
2020-03,930.9469959180647
2020-04,1034.9905387785186
2020-05,1025.4644035198842
2020-06,1035.7799846940934
2020-07,1000.0007997120143
2020-08,1038.880204502957
2020-09,1084.9130770610373
2020-10,1064.7467951789808
2020-11,1137.875685116694
2020-12,1107.6932308402145
2021-01,1133.0979746052496
2021-02,1192.5854080592126
2021-03,1343.4079812635728
2021-04,1392.2750131343885
2021-05,1370.1710942978348
2021-06,1465.8437024555349
2021-07,1474.7267565182633
2021-08,1551.8351725880514
2021-09,1623.24285049024
2021-10,1674.5627671969903
2021-11,1578.9639291907513
2021-12,1643.3370354865806
2022-01,1821.727514560578
2022-02,1872.3402158039635
2022-03,1970.7471270876952
2022-04,2201.6776825737415
2022-05,2012.3349248264096
2022-06,1836.2210522471898
2022-07,1994.2830806922652
2022-08,2062.3234078952432
2022-09,1958.2040160972492
2022-10,2002.1741275136949
2022-11,1784.051458056411
2022-12,1663.910549639713
2023-01,1670.7375584138435
2023-02,1585.207197684111
2023-03,1636.603131994496
2023-04,1707.5230061325667
2023-05,1715.2347988410231
2023-06,1733.0754406994695
2023-07,1752.4044237580224
