Date,PANAMA
2021-05,722.4661388250095
2021-06,692.5959264938195
2021-07,667.238284541211
2021-08,709.9209705863803
2021-09,774.9401356065546
2021-10,722.3981725566729
2021-11,696.7391266528786
2021-12,794.6026495158229
2022-01,812.6079516497026
2022-02,812.9873299778031
2022-03,814.1655317178912
2022-04,777.6488979385724
2022-05,731.2995912864058
2022-06,671.2100359785113
2022-07,728.2287440433456
2022-08,783.4941356734164
2022-09,750.9999091151136
2022-10,844.505035106738
2022-11,931.8863108116946
2022-12,857.9046372117489
2023-01,927.5546611782883
2023-02,961.293237691331
2023-03,932.7203748550911
2023-04,913.0246387296086
2023-05,1096.9408873485775
2023-06,1141.2986001151853
2023-07,1205.5308865414754
