Date,PAKISTAN GROWTH
2017-06,953.1615034468851
2017-07,814.1500367929303
2017-08,656.140884634467
2017-09,670.2184465593253
2017-10,602.5822421666197
2017-11,593.2153050007391
2017-12,594.6500794575351
2018-01,617.5513058457237
2018-02,615.6310372328601
2018-03,652.3121965431532
2018-04,635.802729563539
2018-05,579.0326108865796
2018-06,528.8701622403136
2018-07,553.0911713406321
2018-08,510.85214211136963
2018-09,507.1589020836496
2018-10,472.4991328751103
2018-11,454.8141515074028
2018-12,404.70516761513704
2019-01,458.69785781169776
2019-02,436.14134656018666
2019-03,431.87292012830096
2019-04,415.6995196675033
2019-05,383.0641880466067
2019-06,334.09471077553275
2019-07,350.40444594753995
2019-08,341.6475075999291
2019-09,363.04271631225646
2019-10,377.3296518189566
2019-11,443.02626061111084
2019-12,453.71720505926737
2020-01,474.66825657514886
2020-02,450.7067022396378
2020-03,310.5097837130406
2020-04,340.3976184683545
2020-05,308.9038722834626
2020-06,315.0915775997484
2020-07,353.03864366290196
2020-08,362.3325381763436
2020-09,366.68541388091546
2020-10,372.8899601737536
2020-11,376.2378176503406
2020-12,375.75931876183324
2021-01,402.5025957456364
2021-02,363.16357447836646
2021-03,380.2149187918004
2021-04,383.8544112426413
2021-05,406.26447995938116
2021-06,381.7654254135579
2021-07,379.74516038779376
2021-08,353.9964749137765
2021-09,311.1810299577898
2021-10,332.3154625557696
2021-11,311.4239170628095
