Date,JAMAICA
2008-11,1093.1632307410628
2008-12,963.9178347676282
2009-01,976.2703964790444
2009-02,871.0572574823271
2009-03,700.6086873489373
2009-04,738.8785157426571
2009-05,778.7360233836703
2009-06,734.5811070843981
2009-07,718.0845879049945
2009-08,717.2578858344153
2009-09,723.0032129200132
2009-10,723.1739939101702
2009-11,805.5881862090052
2009-12,879.3912720901184
2010-01,751.2928077027697
2010-02,914.4270621142595
2010-03,1050.7545366683719
2010-04,1155.7361173308775
2010-05,1162.8989926096026
2010-06,1201.9433671443273
2010-07,1168.1453863340212
2010-08,1236.9784205564783
2010-09,1089.727557007302
2010-10,1080.1304710732343
2010-11,1229.7073964629917
2010-12,1190.6372539147776
2011-01,1178.510293442164
2011-02,1191.5473237359595
2011-03,1178.945236241047
2011-04,1312.7980209976085
2011-05,1310.6251930779354
2011-06,1320.7264454543745
2011-07,1354.7507026465723
2011-08,1476.938921997672
2011-09,1532.7862118514379
2011-10,1554.0716606025708
2011-11,1592.9871476263127
2011-12,1637.8722115608205
2012-01,1555.9014123206796
2012-02,1494.4883009606413
2012-03,1526.0307982676143
2012-04,1537.8183088554472
2012-05,1531.0182793317726
2012-06,1455.3237874418558
2012-07,1378.6031219277038
2012-08,1397.129252384045
2012-09,1384.7080583368106
2012-10,1297.9162813682424
2012-11,1282.4597398222095
2012-12,1387.8747707786654
2013-01,1252.541479402401
2013-02,1160.4884254829267
2013-03,1112.1563937876165
2013-04,1147.839079644116
2013-05,1209.1946376751137
2013-06,1222.8027883963946
2013-07,1159.3654967482698
2013-08,1197.8687089757814
2013-09,1128.1428182922207
2013-10,1039.972954045695
2013-11,993.4218008865716
2013-12,1001.2155154860501
2014-01,1094.399472615932
2014-02,1077.855970921471
2014-03,1046.3834288385444
2014-04,1021.1398481519889
2014-05,976.9171219773173
2014-06,1001.0601639248054
2014-07,1040.3443628067446
2014-08,1041.9076746177043
2014-09,1107.191094709576
2014-10,1101.267901924489
2014-11,1159.1734370442168
2014-12,1219.8800268157038
2015-01,1342.4203954478817
2015-02,1474.84848125836
2015-03,1686.3792594766646
2015-04,1834.5026061747287
2015-05,1941.933634141618
2015-06,1813.7458572660535
2015-07,1868.7305463228856
2015-08,1797.1383243175067
2015-09,1786.8493644643959
2015-10,2018.2948272484946
2015-11,2283.825772059673
2015-12,2496.751611670956
2016-01,2547.4134469905734
2016-02,2541.823118967679
2016-03,2416.149702894799
2016-04,2367.839392022842
2016-05,2436.645066850086
2016-06,2467.8320375272115
2016-07,2428.5353495368195
2016-08,2400.6278253855694
2016-09,2408.9035302087045
2016-10,2543.4821588416207
2016-11,2892.8165633920435
2016-12,3087.6143240732877
2017-01,3482.641331960858
2017-02,3665.336517847641
2017-03,3600.0728094839255
2017-04,3854.983846270564
2017-05,3870.9809075211756
2017-06,3770.9951765947785
2017-07,3947.5621581224063
2017-08,4118.069327751191
2017-09,4159.22247406856
2017-10,5077.171578327766
2017-11,4558.510750295605
2017-12,4908.653455012844
2018-01,4759.626122110138
2018-02,4763.675327803812
2018-03,4782.159716593959
2018-04,4776.428498495
2018-05,4797.571727480257
2018-06,4799.308088249386
2018-07,4809.792658929058
2018-08,4993.340190162828
2018-09,5576.1145342138025
2018-10,6050.768940352232
2018-11,7196.3760795363705
2018-12,6548.1259689795925
2019-01,6184.691664021134
2019-02,6401.762513481981
2019-03,6600.867167597811
2019-04,6514.3392226038495
2019-05,7068.563839252166
2019-06,8129.742157208931
2019-07,8791.75574051626
2019-08,8951.914458718973
2019-09,9377.804328713111
2019-10,8428.062601957514
2019-11,8748.279128954551
2019-12,8822.3449068326
2020-01,8299.3087245653
2020-02,8275.708688187731
2020-03,6706.300359380817
2020-04,6062.524827334777
2020-05,6125.022404372584
2020-06,6048.707843301487
2020-07,5322.9466397328715
2020-08,5371.2756656767115
2020-09,5628.321314271137
2020-10,5443.732298309603
2020-11,5712.1622721927
2020-12,5617.685017847865
2021-01,5249.690410886836
2021-02,5293.777677354664
2021-03,5538.494038953896
2021-04,5161.010753790024
2021-05,5269.585550854239
2021-06,5494.705088173465
2021-07,5303.022925845143
2021-08,5265.232690231432
2021-09,5362.604468887397
2021-10,5104.175327355899
2021-11,4972.437548583518
2021-12,5101.474987697162
2022-01,5334.899269526882
2022-02,5199.2344399314
2022-03,5009.7661053393485
2022-04,5233.521216440854
2022-05,4998.4635607608625
2022-06,4986.487322264135
2022-07,4865.7135988579375
2022-08,4766.691393574209
2022-09,4787.914338097691
2022-10,4333.842381621901
2022-11,4264.233422219145
2022-12,4216.53355437546
2023-01,3873.7608188408126
2023-02,3871.4025217499625
2023-03,3936.9538683676924
2023-04,3711.470148819784
2023-05,3668.4505289362855
2023-06,3431.034567925781
2023-07,3579.385894500762
