Date,QATAR
2005-05,751.0882316033002
2005-06,937.8523942694585
2005-07,898.5535371384884
2005-08,1075.0541140971663
2005-09,1142.7004865502427
2005-10,1143.5934415749527
2005-11,1000.0
2005-12,1011.0096680294823
2006-01,930.2439804178236
2006-02,770.863972846123
2006-03,786.7186426988889
2006-04,746.9884318212568
2006-05,622.7113407329
2006-06,616.9297099717757
2006-07,635.0653383949314
2006-08,609.5697056742754
2006-09,594.0220354492302
2006-10,564.7985430386838
2006-11,454.8370199332192
2006-12,528.247445477886
2007-01,486.9287055971381
2007-02,492.6103885703364
2007-03,488.75466460201216
2007-04,506.1812638437351
2007-05,580.4962198038959
2007-06,581.9086851751351
2007-07,604.2437607555189
2007-08,593.3590656033263
2007-09,625.1784121910251
2007-10,743.3405292171376
2007-11,723.4223976229334
2007-12,734.527842519293
2008-01,719.1225784448928
2008-02,775.5310348314938
2008-03,679.495969145278
2008-04,853.2072972058419
2008-05,898.904871813427
2008-06,880.2512180645323
2008-07,866.2203698668735
2008-08,810.1070985023911
2008-09,765.7639619128717
2008-10,623.6037821744701
2008-11,522.1000618331822
2008-12,569.1656606502064
2009-01,472.7874912985274
2009-02,418.416236257544
2009-03,450.19983890053686
2009-04,520.9105137350524
2009-05,564.5996678041727
2009-06,573.8455377472217
2009-07,588.8079757535744
2009-08,615.0660796450902
2009-09,623.3934643351265
2009-10,601.7606563676662
2009-11,590.979220000345
2009-12,600.3154244395496
2010-01,593.0916224711008
2010-02,640.4290974485775
2010-03,695.0396506742904
2010-04,744.8283263190726
2010-05,726.397020966797
2010-06,742.4707359774959
2010-07,711.039777562982
2010-08,745.2266832064518
2010-09,734.8790478229324
2010-10,734.9727955608596
2010-11,815.9926645711842
2010-12,842.8788622234866
2011-01,833.9551198905924
2011-02,770.5151175122922
2011-03,807.0356023960679
2011-04,802.5119270221077
2011-05,813.4021061147247
2011-06,805.6642350130201
2011-07,814.2326024059694
2011-08,808.5464502766102
2011-09,875.9364640746963
2011-10,857.201004755875
2011-11,891.0179256419352
2011-12,942.71644625587
2012-01,912.3860100618897
2012-02,925.566059435727
2012-03,955.0420819144192
2012-04,961.2797958014976
2012-05,1009.3502422791813
2012-06,951.7691869785614
2012-07,994.6172259967968
2012-08,986.952612931409
2012-09,964.0913565281135
2012-10,951.1383975724569
2012-11,929.3077674343357
2012-12,909.2297204780809
2013-01,931.4197507708701
2013-02,962.9341999812759
2013-03,1008.0551084252144
2013-04,1005.3326487211997
2013-05,1077.437256432517
2013-06,1080.9680612115712
2013-07,1113.3856045963553
2013-08,1110.3856841259771
2013-09,1077.2538745595557
2013-10,1090.3582756345752
2013-11,1150.5017926222276
2013-12,1130.7824692438571
2014-01,1235.4640980951606
2014-02,1296.330814233552
2014-03,1299.92222470057
2014-04,1405.4089916388364
2014-05,1587.9691558168374
2014-06,1237.8968531996375
2014-07,1423.7023899495643
2014-08,1462.7668929763227
2014-09,1579.0399495801491
2014-10,1571.338361028197
2014-11,1571.256674297034
2014-12,1501.7735642822447
2015-01,1531.1677429808158
2015-02,1625.2033104049108
2015-03,1636.727742337502
2015-04,1607.6821497025448
2015-05,1549.4866024149562
2015-06,1565.062669262256
2015-07,1515.7824270967983
2015-08,1465.8008611555367
2015-09,1459.2719230328732
2015-10,1476.130826654254
2015-11,1329.5360635170268
2015-12,1346.3444361085358
2016-01,1216.3140504526282
2016-02,1307.2724879554469
2016-03,1331.943557703443
2016-04,1307.8738146559654
2016-05,1251.9151229190234
2016-06,1299.7898582426203
2016-07,1398.3012603137229
2016-08,1460.1512953766971
2016-09,1374.0684645483495
2016-10,1379.0645366527967
2016-11,1371.0930764464445
2016-12,1473.5048321800466
2017-01,1455.589835673699
2017-02,1510.2018911358196
2017-03,1480.2026349511598
2017-04,1435.7166662660918
2017-05,1362.3365329477308
2017-06,1237.0504431696415
2017-07,1262.449831312749
2017-08,1169.2716320092163
2017-09,1111.677110153452
2017-10,1105.5172063036891
2017-11,1005.245657288128
2017-12,1145.3300994142785
2018-01,1168.4087132450506
2018-02,1114.2761638607205
2018-03,1146.35681129449
2018-04,1255.8622877829787
2018-05,1256.873791584882
2018-06,1250.111514927928
2018-07,1392.5540860971257
2018-08,1423.0750630106518
2018-09,1417.9101683701508
2018-10,1560.7040892681805
2018-11,1592.5378461120058
2018-12,1562.04579108045
2019-01,1613.8534667100591
2019-02,1545.0847617423083
2019-03,1534.3984709387983
2019-04,1618.295600541021
2019-05,1540.6818086797548
2019-06,1522.182802406989
2019-07,1572.6931408349021
2019-08,1559.0129291212465
2019-09,1586.5562327295524
2019-10,1521.2796944017966
2019-11,1537.0422374576538
2019-12,1575.0020644467813
