Date,QATAR
2020-01,1587.036054772916
2020-02,1493.060564821387
2020-03,1332.8983124194538
2020-04,1401.2967516379206
2020-05,1409.9612098041189
2020-06,1396.0034270277497
2020-07,1369.7768952195743
2020-08,1403.6685985839285
2020-09,1436.829920255782
2020-10,1407.6693994873192
2020-11,1424.2266262896862
2020-12,1409.840384678773
2021-01,1435.0566856630733
2021-02,1394.8991911272042
2021-03,1502.6154326819988
2021-04,1515.167462501133
2021-05,1467.0813652628929
2021-06,1522.146888497141
2021-07,1532.7188769034935
2021-08,1598.9006271592004
2021-09,1671.1461103781485
2021-10,1743.1107092719328
2021-11,1716.2065018015505
2021-12,1746.7563090549177
2022-01,1911.7011880225389
2022-02,1984.1290601706867
2022-03,2133.348329760722
2022-04,2272.7016989252584
2022-05,2105.873183651443
2022-06,2026.4575504082543
2022-07,2205.6817699901103
2022-08,2278.0565110152056
2022-09,2228.7310926941786
2022-10,2169.9768693959227
2022-11,2014.6117925664148
2022-12,1732.9811206981383
2023-01,1737.1373132423223
2023-02,1748.1959620878347
2023-03,1690.79832774623
2023-04,1630.421674945664
2023-05,1694.9961649609172
2023-06,1643.2979694278727
2023-07,1772.8692221698238
