Date,GREECE
1998-12,100.0
1999-01,118.4869671772858
1999-02,120.98397403952735
1999-03,118.76381873758115
1999-04,127.78241053885606
1999-05,135.3414808795675
1999-06,136.03749544465668
1999-07,141.7954525229971
1999-08,166.0939068132568
1999-09,175.60995904810147
1999-10,168.71949539753913
1999-11,178.26195844150809
1999-12,175.3063837307162
2000-01,160.43344612391232
2000-02,167.10677460687887
2000-03,157.99741944181426
2000-04,139.51418629787798
2000-05,151.78095832005243
2000-06,136.15758356314862
2000-07,134.89212212167047
2000-08,118.19736411043708
2000-09,135.88363795728242
2000-10,124.78027479426518
2000-11,105.47959084754855
2000-12,109.24754713195736
2001-01,105.6823261673351
2001-02,101.458646050627
2001-03,99.84824697243802
2001-04,108.48858376263031
2001-05,100.73040734385796
2001-06,88.79400925552333
2001-07,86.22853904904986
2001-08,87.8543010476431
2001-09,70.55534912651547
2001-10,78.5797626015187
2001-11,83.75031966117818
2001-12,81.08860945086428
2002-01,80.68348385861339
2002-02,72.16066760373535
2002-03,70.07462522266988
2002-04,68.11378326069983
2002-05,71.57445436634723
2002-06,69.19246493022243
2002-07,64.59094651716671
2002-08,64.84678465876989
2002-09,55.60904600926931
2002-10,53.24247912227739
2002-11,54.413481285287496
2002-12,51.42265939845777
2003-01,49.90408389816294
2003-02,47.28723946555117
2003-03,42.04001282379513
2003-04,49.756350109233466
2003-05,50.66634344311411
2003-06,57.1477766474979
2003-07,66.10613588301472
2003-08,68.02381518354439
2003-09,62.52474010343207
2003-10,65.58661473818994
2003-11,67.6597428496133
2003-12,72.52250696567057
2004-01,77.67319506777763
2004-02,78.14854181215911
2004-03,76.68975422531912
2004-04,83.36478271207433
2004-05,81.45140911912864
2004-06,80.40620304595802
2004-07,78.82472328366003
2004-08,79.17846800134708
2004-09,80.73449474411574
2004-10,87.08344083754459
2004-11,92.6593362226466
2004-12,98.29543582528106
2005-01,102.48328565372672
2005-02,111.91604446723865
2005-03,101.73092703686041
2005-04,101.84895333295847
2005-05,106.71480668847516
2005-06,111.42804035214118
2005-07,118.66440343809433
2005-08,117.27322051099758
2005-09,121.7673488376375
2005-10,118.95637043362717
2005-11,123.86839819144816
2005-12,131.50684743875175
2006-01,141.59425049455263
2006-02,152.10473592917413
2006-03,147.22801668641304
2006-04,147.24917999473737
2006-05,134.308624582766
2006-06,135.4632040759002
2006-07,137.19176363619673
2006-08,141.32659056868204
