Date,POLAND
1998-12,100.0
1999-01,121.15900489814027
1999-02,100.43055080390775
1999-03,111.27575040000538
1999-04,127.94189618310779
1999-05,130.83457862931434
1999-06,149.00518627222775
1999-07,147.36370723401689
1999-08,145.89510697244293
1999-09,113.69690591847186
1999-10,118.90065942337934
1999-11,128.87549016647952
1999-12,154.05575771877793
2000-01,163.84455877047566
2000-02,191.60939414775382
2000-03,192.00674843482807
2000-04,170.36548315029387
2000-05,166.8786171626343
2000-06,163.52997791436292
2000-07,161.67201423354973
2000-08,160.06308494715762
2000-09,142.38706218754464
2000-10,132.08587959158635
2000-11,141.0732838273747
2000-12,157.83782104084148
2001-01,157.40768791500045
2001-02,140.27767754051968
2001-03,136.01574181455936
2001-04,142.35352084782352
2001-05,151.94338760564958
2001-06,131.3510945538184
2001-07,112.79118522312373
2001-08,103.57983645152618
2001-09,93.0081719159491
2001-10,117.8366064973783
2001-11,121.21118626768386
2001-12,120.75859910159532
2002-01,141.02317770809628
2002-02,130.0249358314671
2002-03,127.61423612393492
2002-04,128.19683178574257
2002-05,127.15638606864907
2002-06,103.63369362277001
2002-07,91.2743940678258
2002-08,98.55125399393847
2002-09,90.8893039612599
2002-10,107.1297644936147
2002-11,109.3390288341437
2002-12,103.75128288504479
2003-01,96.51426038410895
2003-02,92.58196538943952
2003-03,86.28437646484467
2003-04,94.70585825385095
2003-05,98.07825002085677
2003-06,100.47397424707408
2003-07,114.68817231840414
2003-08,133.56027460060454
2003-09,113.14100054964373
2003-10,118.15953534586647
2003-11,109.10496167388997
2003-12,116.94377806817789
2004-01,120.19715101299633
2004-02,125.15523929060545
2004-03,130.1482804942648
2004-04,128.92138145337782
2004-05,128.06251414393648
2004-06,135.34363937573292
2004-07,134.86790123342013
2004-08,136.39502641882711
2004-09,145.68178128712864
2004-10,151.52157865777292
2004-11,157.84416572654726
2004-12,175.28258372080268
2005-01,171.05477996736573
2005-02,200.26877196326836
2005-03,183.18623713823328
2005-04,162.9350777646442
2005-05,176.02113446082626
2005-06,192.94114012033972
2005-07,206.62142353281098
2005-08,215.68973045918435
2005-09,247.38009981126947
2005-10,223.44073250973986
2005-11,239.7319285585864
2005-12,252.3997078565589
2006-01,263.4659486219135
2006-02,268.9721836514097
2006-03,261.5985381366743
2006-04,291.1780995560655
2006-05,252.31459540546211
2006-06,253.60144121541364
2006-07,296.55207380731366
2006-08,272.53076690487353
2006-09,267.9321540839539
2006-10,290.2977345526165
2006-11,308.7740134605433
2006-12,316.41298378432106
2007-01,333.2400441950446
2007-02,308.19446046933075
2007-03,341.52468027812006
2007-04,354.51324010300823
2007-05,362.45650934687507
2007-06,383.0839470950906
2007-07,380.1388865125159
2007-08,361.45758558260127
2007-09,367.3938875980714
2007-10,405.9734821015195
2007-11,369.35596997442906
2007-12,363.5394521654969
2008-01,308.98542006184886
2008-02,312.01090276337726
2008-03,322.4176927267087
2008-04,322.93005855353596
2008-05,333.62410455803797
2008-06,297.9522205931884
2008-07,339.8846976121601
2008-08,311.89570598225885
2008-09,282.7011806089842
2008-10,207.15127169025658
2008-11,182.50324196728693
2008-12,173.99958126745682
2009-01,141.7114707634075
2009-02,113.86217541574236
2009-03,124.88696464022142
2009-04,158.05898461863453
2009-05,153.41051382246107
2009-06,161.9657057182316
2009-07,206.06408281226868
2009-08,216.52052223669568
2009-09,208.92982209411346
2009-10,220.71051014313173
2009-11,235.35357107438935
2009-12,240.2346644554505
2010-01,245.20248925723772
2010-02,237.13044829571606
2010-03,265.5317237233458
2010-04,268.5258702724287
2010-05,248.33867820757828
2010-06,230.03496218878678
2010-07,258.90926500745974
2010-08,256.1723537319172
2010-09,279.8942902458686
2010-10,287.99890224875554
2010-11,278.01809216673456
2010-12,297.68058036172926
2011-01,295.5324342156199
2011-02,295.1375248105174
2011-03,300.8642574550095
2011-04,317.98448960027355
2011-05,317.51841151859026
2011-06,306.7117817298651
2011-07,300.74597089268485
