Date,MALAYSIA
1998-12,100.0
1999-01,104.98228104194664
1999-02,119.63090004071596
1999-03,112.5849592146806
1999-04,159.63044869373837
1999-05,180.68911512237423
1999-06,202.08357258605997
1999-07,185.81941949289538
1999-08,219.84992036570188
1999-09,189.93717914609465
1999-10,217.76497049040964
1999-11,224.7455769920434
1999-12,251.0916425025759
2000-01,295.49598176834155
2000-02,322.41731890942043
2000-03,321.5734984029935
2000-04,311.55407503585207
2000-05,315.6017365720548
2000-06,273.4204281854856
2000-07,269.89051774804614
2000-08,278.8278228103649
2000-09,247.4323522347885
2000-10,274.8369027744951
2000-11,261.3854329141319
2000-12,225.30524166483534
2001-01,245.53610504071088
2001-02,242.57483488434133
2001-03,230.21509474760927
2001-04,206.17791931594337
2001-05,210.74874641606792
2001-06,218.9955389996381
2001-07,239.1443946028806
2001-08,242.03344920237902
2001-09,216.05074724272635
2001-10,212.267804213586
2001-11,227.0039868443369
2001-12,248.39211331455394
2002-01,270.5783646127727
2002-02,264.97687922640455
2002-03,284.1335879217572
2002-04,290.40581544775597
2002-05,261.32722285451706
2002-06,243.76733058958305
2002-07,245.01911893348716
2002-08,242.3872456532641
2002-09,216.00463315667707
2002-10,224.8872529519896
2002-11,214.95040992908466
2002-12,209.3713906271795
2003-01,212.6037735235689
2003-02,205.98381166746816
2003-03,199.06033025229956
2003-04,194.03971221950974
2003-05,196.72194507916822
2003-06,208.88945631944105
2003-07,223.23375407466176
2003-08,235.29144109650045
2003-09,218.27766381422006
2003-10,247.20409583404285
2003-11,230.49793240935517
2003-12,220.54560986654607
2004-01,233.3419549125906
2004-02,251.9483318363074
2004-03,259.48351995263397
2004-04,247.75410307737005
2004-05,232.918369982121
2004-06,236.50895158611416
2004-07,242.50137733748434
2004-08,238.40679196573416
2004-09,240.9427750530869
2004-10,238.4203098112901
2004-11,242.68115476249773
2004-12,235.7034015774591
2005-01,249.7964372930118
2005-02,243.34291582263387
2005-03,238.074919415945
2005-04,241.3432558975308
2005-05,246.7787691693529
2005-06,260.05576269773064
2005-07,278.61441754128265
2005-08,266.26083508433993
2005-09,278.0454847517963
2005-10,273.9869981209698
2005-11,275.0506598817939
2005-12,277.8436353747945
2006-01,278.01366291337126
2006-02,293.1079079839778
2006-03,293.6208050360086
2006-04,294.12528362484284
2006-05,281.6078298839572
2006-06,274.7452501107169
2006-07,282.740891153774
2006-08,289.25004138636064
2006-09,293.68789079159046
2006-10,303.29849777872664
2006-11,324.46376835547403
2006-12,340.83897755274864
2007-01,381.7520545862527
2007-02,377.4431285383154
2007-03,399.4005221296592
2007-04,415.58611571054877
2007-05,436.71350875312265
2007-06,428.38765822661475
2007-07,429.37748340692053
2007-08,395.5956979985394
2007-09,411.03863561809953
2007-10,437.16544273410835
2007-11,420.13364834216566
2007-12,449.04689892833164
2008-01,439.6471517856411
2008-02,427.3839562352134
2008-03,375.6840825394562
2008-04,392.5847787691645
2008-05,381.35900868193306
2008-06,343.4455519559289
2008-07,342.27965572698133
2008-08,331.0124068367473
2008-09,316.4019137221162
2008-10,289.2578884377789
2008-11,285.57622902788626
2008-12,277.663565326126
2009-01,294.61805551034223
2009-02,293.6111681579781
2009-03,281.8374239784893
2009-04,327.82468088371195
2009-05,328.3491168967494
2009-06,341.6104741827675
2009-07,372.8147854553832
2009-08,368.27708035186436
2009-09,376.38942104045145
2009-10,390.27342288855704
2009-11,388.45504411113234
2009-12,409.069013315168
2010-01,418.5492211319243
2010-02,430.01529061286857
2010-03,473.08215632121
2010-04,502.19523527640985
2010-05,506.47509600173964
2010-06,523.7543040894288
2010-07,519.8589473102445
2010-08,567.3562805539065
2010-09,558.521805918308
2010-10,563.1324387843698
2010-11,584.1930201038429
2010-12,599.3822986783549
2011-01,591.6520540341008
2011-02,576.3492187928141
2011-03,590.7262635997411
2011-04,575.8950406303408
2011-05,592.3359683885675
2011-06,598.7075073512892
2011-07,602.877820877959
2011-08,555.5107127111968
2011-09,537.135851919936
2011-10,580.9618987634856
2011-11,574.960860382541
2011-12,620.151750458891
2012-01,642.2732818744931
2012-02,655.5882225720583
2012-03,656.2040913108128
2012-04,655.1064447875182
2012-05,672.1151918939482
2012-06,663.5823328319093
2012-07,704.9966270390499
2012-08,693.131785947074
2012-09,689.4879268303771
2012-10,701.5801858348323
2012-11,679.7896473011302
2012-12,697.7372296363137
2013-01,645.4438128322865
2013-02,680.8080844098503
2013-03,709.9753231542684
2013-04,724.0202898804099
2013-05,758.885903676698
2013-06,745.1703520897426
2013-07,709.9253224776636
2013-08,685.9555078710923
2013-09,694.0728705280732
2013-10,731.023869669549
2013-11,717.1152784769125
2013-12,718.8292543843132
2014-01,693.4862583731691
2014-02,704.5456369242964
2014-03,715.7028595395986
2014-04,720.0232830235708
2014-05,742.4873765702243
2014-06,745.735872719765
2014-07,763.7469189024724
2014-08,785.3750867922968
2014-09,782.60479457119
2014-10,790.2828749503225
2014-11,756.4799042341231
2014-12,731.2872972791051
2015-01,763.9768637078589
2015-02,794.8546623153727
2015-03,810.7017811670988
2015-04,806.244537505702
2015-05,771.6845393446548
2015-06,719.8424239233666
2015-07,723.2591163863474
2015-08,604.8344095700282
2015-09,587.5176751854221
2015-10,627.2489547658104
2015-11,665.2264069685363
2015-12,651.2025711679919
2016-01,669.9729035407227
2016-02,654.1623911935898
2016-03,702.9938554751136
2016-04,681.65035044232
2016-05,649.6028065231998
2016-06,678.3508110803639
2016-07,668.3110707599261
2016-08,686.589940798825
2016-09,660.432804044908
2016-10,676.0202283873535
