Date,CHINA A 50 CONNECT
2021-08,3403.7919920756312
2021-09,3611.5772503292524
2021-10,3783.503071237049
2021-11,3801.7034205866407
2021-12,3830.9284505856294
2022-01,3598.103369678267
2022-02,3639.139444848364
2022-03,3365.2801065277354
2022-04,3276.1001508814174
2022-05,3266.027396884857
2022-06,3714.9296646549096
2022-07,3506.627532461723
2022-08,3417.7717388871465
2022-09,3181.5149474166174
2022-10,2770.3886580542908
2022-11,3025.7689841401784
2022-12,3048.326922581318
2023-01,3320.4838662956276
2023-02,3156.522225415574
2023-03,3054.8374028914295
2023-04,2929.6804535237998
2023-05,2743.403961155463
2023-06,2695.3745294008177
2023-07,2895.8390166001286
