Date,CHINA A INCLUSION RMB
2014-08,564.0426196475997
2014-09,609.7127554740051
2014-10,634.5063582253877
2014-11,711.0401666127773
2014-12,930.6352473491667
2015-01,953.5185530936911
2015-02,987.6234551632905
2015-03,1176.1037357449236
2015-04,1349.6552250649618
2015-05,1362.51762074256
2015-06,1249.012815179948
2015-07,1074.8607105074695
2015-08,911.8290403088479
2015-09,875.4952170597527
2015-10,979.8844556120745
2015-11,1018.9696866998424
2015-12,1013.1189993108638
2016-01,791.6632543107236
2016-02,777.2627206036545
2016-03,838.5450788195475
2016-04,812.5770129988305
2016-05,825.5072261000684
2016-06,823.9009409623602
2016-07,848.4958755910802
2016-08,879.0604218858412
2016-09,849.5267922931113
2016-10,882.9873438002738
2016-11,953.3616616250398
2016-12,896.1914572980022
2017-01,909.9980639592825
2017-02,945.4891043065409
2017-03,937.4856465112905
2017-04,921.5782897570148
2017-05,920.2993522031095
2017-06,961.6060922484406
2017-07,968.8883558802638
2017-08,1000.0
2017-09,1003.9227877714645
2017-10,1067.0353490675152
2017-11,1036.2297000025762
2017-12,1050.5630031733137
2018-01,1113.2022117432462
2018-02,1054.2131084618447
2018-03,1013.5933586297582
2018-04,985.0941130517734
2018-05,1013.2327925264204
2018-06,913.6454892550286
2018-07,897.2262021460456
2018-08,852.9745608909232
2018-09,880.0925223570049
2018-10,816.3997006714336
2018-11,825.6667860977226
2018-12,794.1554357472638
2019-01,863.967693926024
2019-02,988.7720810069411
2019-03,1049.9832834763333
2019-04,1061.3281840195657
2019-05,971.1076743524891
2019-06,1011.4053384945497
2019-07,1043.1127215456202
2019-08,1013.9395604917555
2019-09,1027.5523503628333
2019-10,1038.3515685034956
2019-11,1037.8970889219174
2019-12,1103.043101182178
2020-01,1108.6947434395872
2020-02,1102.13828001474
2020-03,1024.0662070342103
2020-04,1098.567248428653
2020-05,1062.140066592006
2020-06,1159.0590913497797
2020-07,1266.9830630916467
2020-08,1312.3477079788265
2020-09,1276.9442106607594
2020-10,1331.6201219870281
2020-11,1377.3018493547368
2020-12,1442.3406611281603
2021-01,1512.9258318340703
2021-02,1500.6821073795284
2021-03,1449.6119554182892
2021-04,1473.6124317872975
2021-05,1545.6493773717168
2021-06,1568.1762110264417
2021-07,1468.1358245653014
2021-08,1487.051550235498
2021-09,1533.9301186794285
2021-10,1570.3886042423271
2021-11,1610.548554902302
2021-12,1611.0725415839822
2022-01,1497.0478466622233
2022-02,1529.1551506912292
2022-03,1411.3941374245985
2022-04,1354.8623497314559
2022-05,1364.8398569237593
2022-06,1531.655500589942
2022-07,1474.0689748403
2022-08,1436.0161989608557
2022-09,1341.386855895673
2022-10,1202.106863233105
2022-11,1287.4036495952719
2022-12,1271.5446378393428
2023-01,1374.9307279341765
2023-02,1348.281943965344
2023-03,1312.7578661688015
2023-04,1265.3158223235753
2023-05,1210.1779248941784
2023-06,1171.7825220639838
2023-07,1236.2826782657742
